;;;;;https://www.wildberries.ru/seller/32220?sort=popular&page=1&fbrand=19794;;;;;;;;;;;;;
;;;;;https://www.wildberries.ru/seller/koreanbutik;;;;;;;;;;;;;
"Product List
MYUNGIN COSMETICS CO., LTD.";;;;;;;;;;;;;;;;;;
NO.;Image;SKU No.;"SKU No.
(NEW)";Product Name (KOR);Product Name (ENG);TYPE;Volume;"MOQ QTY
(PCS/CT)";CT WEIGHT(kg);CT SIZE(cm); MSRP ;"SUPPLY PRICE
(-VAT)";UPDATED BARCODES;HS코드;REMARKS;;;
19;;SMS001-M;500009;팜스테이 비저블 디퍼런스 마스크 시트 그린티씨드;FARMSTAY VISIBLE DIFFERENCE MASK SHEET GREENTEA SEED;MASK SHEET;1sheet;600;19,1;52* 28* 38; ₩1 000 ; ₩180 ;8800260032030;3307.90.4000;;;;
20;;SMS002-M;500013;팜스테이 비저블 디퍼런스 마스크 시트 스네일;FARMSTAY VISIBLE DIFFERENCE MASK SHEET SNAIL;MASK SHEET;1sheet;600;19,1;52* 28* 38; ₩1 000 ; ₩180 ;8800260032047;3307.90.4000;;;;
21;;SMS003-R;5C0472;팜스테이 비저블 디퍼런스 마스크 시트 아세로라;FARMSTAY VISIBLE DIFFERENCE MASK SHEET ACEROLA;MASK SHEET;1sheet;800;25;70*26.5*35.5; ₩1 000 ; ₩180 ;8809446651942 ;3307.90.4000;;;;
22;;SMS004-M;500016;팜스테이 비저블 디퍼런스 마스크 시트 알로에;FARMSTAY VISIBLE DIFFERENCE MASK SHEET ALOE;MASK SHEET;1sheet;600;19,1;52* 28* 38; ₩1 000 ; ₩180 ;8800260032061;3307.90.4000;;;;
23;;SMS005-M;500015;팜스테이 비저블 디퍼런스 마스크 시트 진주;FARMSTAY VISIBLE DIFFERENCE MASK SHEET PEARL;MASK SHEET;1sheet;600;19,1;52* 28* 38; ₩1 000 ; ₩180 ;8800260032078;3307.90.4000;;;;
24;;SMS006-M;500014;팜스테이 비저블 디퍼런스 마스크 시트 콜라겐;FARMSTAY VISIBLE DIFFERENCE MASK SHEET COLLAGEN;MASK SHEET;1sheet;600;19,1;52* 28* 38; ₩1 000 ; ₩180 ;8800260032085;3307.90.4000;;;;
25;;SMS007-M;500017;팜스테이 비저블 디퍼런스 마스크 시트 홍삼;FARMSTAY VISIBLE DIFFERENCE MASK SHEET RED GINSENG;MASK SHEET;1sheet;600;19,1;52* 28* 38; ₩1 000 ; ₩180 ;8800260032092;3307.90.4000;;;;
26;;SMS008-M;500010;팜스테이 비저블 디퍼런스 마스크 시트 오이;FARMSTAY VISIBLE DIFFERENCE MASK SHEET CUCUMBER;MASK SHEET;1sheet;600;19,1;52* 28* 38; ₩1 000 ; ₩180 ;8800260032108;3307.90.4000;;;;
27;;SMS009-M;500018;팜스테이 비저블 디퍼런스 마스크 시트 버드네스트;FARMSTAY VISIBLE DIFFERENCE BIRDS NEST AQUA MASK PACK ;MASK SHEET;1sheet;600;19,1;52* 28* 38; ₩1 000 ; ₩180 ;8800260032115;3307.90.4000;;;;
28;;SMS010-M;500019;팜스테이 비저블 디퍼런스 마스크 시트 석류;FARMSTAY VISIBLE DIFFERENCE POMEGRANATE MASK PACK ;MASK SHEET;1sheet;600;19,1;52* 28* 38; ₩1 000 ; ₩180 ;8800260032122;3307.90.4000;;;;
29;;CLF001;5C0029;팜스테이 퓨어 클렌징폼 녹차;FARMSTAY GREEN TEA SEED PURE CLEANSING FOAM;CLEANSING ;180ml;100;23;54*33*40; ₩9 000 ; ₩1 930 ;8809317286358 ;3401.30.0000;;;;
30;;CLF002;5C0030;팜스테이 퓨어 클렌징폼 스네일;FARMSTAY SNAIL PURE CLEANSING FOAM;CLEANSING ;180ml;100;23;54*33*40; ₩9 000 ; ₩1 930 ;8809480770852 ;3401.30.0000;37 шт ;;;
31;;CLF003;5C0031;팜스테이 퓨어 클렌징폼 알로에;FARMSTAY ALOE PURE CLEANSING FOAM;CLEANSING ;180ml;100;23;54*33*40; ₩9 000 ; ₩1 930 ;8809317289465 ;3401.30.0000;;;;
32;;CLF004;5C0032;팜스테이 퓨어 클렌징폼 콜라겐;FARMSTAY COLLAGEN PURE CLEANSING FOAM;CLEANSING ;180ml;100;23;54*33*40; ₩9 000 ; ₩1 930 ;8809317289472 ;3401.30.0000;;;;
33;;CLF005;5C0033;팜스테이 퓨어 클렌징폼 석류;FARMSTAY GRANATE PURE CLEANSING FOAM;CLEANSING ;180ml;100;23;54*33.5*41; ₩9 000 ; ₩1 930 ;8809317289618 ;3401.30.0000;;;;
34;;CLF006;5C0034;팜스테이 퓨어 클렌징폼 홍삼;FARMSTAY RED GINSENG PURE CLEANSING FOAM;CLEANSING ;180ml;100;23;54*33.5*41; ₩9 000 ; ₩1 930 ;8809469771245 ;3401.30.0000;;;;
35;;CLF007;5C0035;팜스테이 퓨어 클렌징폼 오이;FARMSTAY CUCUMBER PURE CLEANSING FOAM;CLEANSING ;180ml;100;23;54*33.5*41; ₩9 000 ; ₩1 930 ;8809674692175 ;3401.30.0000;;;;
36;;CLF008;5C0036;팜스테이 올리브 클렌징폼;FARMSTAY OLIVE INTENSIVE MOISTURE FOAM CLEANSER;CLEANSING ;100ml;200;25;50.5*45*34; ₩3 000 ; ₩1 140 ;8809317284781 ;3401.30.0000;;;;
37;;SPA002;5C0567;팜스테이 흑진주＆골드 하이드로겔 아이패치;FARMSTAY BLACK PEARL&GOLD HYDROGEL EYE PATCH;PATCH;90g;100;19,5;45*45*20.5; ₩22 000 ; ₩5 590 ;8809460461107 ;3304.99.1000;;;;
38;;STO002;5C0685;팜스테이 스네일 뮤커스 모이스쳐 토너;FARMSTAY SNAIL MUCUS MOISTURE TONER;TONER;150ml;60;23,3;48*30*22; ₩10 000 ; ₩2 960 ;8809426954513 ;3304.99.1000;;;;
39;;SEM002;5C0383;팜스테이 스네일 뮤커스 모이스쳐 에멀젼;FARMSTAY SNAIL MUCUS MOISTURE EMULSION;EMULSION;150ml;60;23,3;48*30*22; ₩10 000 ; ₩2 960 ;8809426954520 ;3304.99.1000;;;;
40;;SCR004;5C0274;팜스테이 스네일 뮤커스 모이스쳐 크림;FARMSTAY SNAIL MUCUS MOISTURE CREAM;CREAM;50g;100;18;31*31*25; ₩10 000 ; ₩2 740 ;8809317118642 ;3304.99.1000;80 шт ;;;
41;;SCR005;5C0275;팜스테이 에스까르고 노블레스 인텐시브 크림;FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM;CREAM;50g;100;24,5;44*44*28; ₩20 000 ; ₩4 010 ;8809317289274 ;3304.99.1000;;;;
42;;SEC002;5C0348;팜스테이 에스까르고 노블레스 인텐시브 아이크림;FARMSTAY ESCARGOT NOBLESSE INTENSIVE EYE CREAM;EYE CREAM;50g;100;24,5;43*44*28; ₩20 000 ; ₩4 020 ;8809317289281 ;3304.99.1000;58шт ;;;
43;;SAM003-M;500020;팜스테이 콜라겐＆히아루론산 올인원 앰플;FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE;AMPOULE;250ml;40;13,2;35*29*25; ₩25 000 ; ₩4 660 ;8800260032009;3304.99.1000;;;;
44;;SPL003;5C0580;팜스테이 에스까르고 노블레스 인텐시브 필링젤;FARMSTAY ESCARGOT NOBLESSE INTENSIVE PEELING GEL;PEELING;180ml;100;23,7;54*33*40; ₩12 000 ; ₩2 960 ;8809469770040 ;3304.99.1000;;;;
45;;EYE004;5C0120;팜스테이 프린세스 마스카라;FARMSTAY PRINCESS CURL & LONGLASH MASCARA;EYE MAKEUP;12g;300;10,8;36.5*26*34; ₩12 000 ; ₩2 330 ;8809324207315 ;3304.99.1000;;;;
46;;SCR006;5C0276;팜스테이 악어 오일 크림;FARMSTAY CROCODILE OIL CREAM;CREAM;70g;50;16;49*49*20; ₩35 000 ; ₩6 390 ;8809187043075 ;3304.99.1000;;;;
47;;SMS011-M;500011;팜스테이 비저블 디퍼런스 마스크 시트 밀크;FARMSTAY VISIBLE DIFFERENCE MASK SHEET MILK;MASK SHEET;1sheet;600;19,1;52*28*38; ₩1 000 ; ₩180 ;8800260032139;3307.90.4000;;;;
48;;STO004;5C0688;팜스테이 에스까르고 노블레스 인텐시브 토너;FARMSTAY ESCARGOT NOBLESSE INTENSIVE TONER;TONER;150ml;50;21,5;55*31*21; ₩20 000 ; ₩4 190 ;8809317289250 ;3304.99.1000;;;;
49;;SES003;5C0413;팜스테이 골드 에스까르고 노블레스 인텐시브 에센스;FARMSTAY GOLD ESCARGOT NOBLESSE INTENSIVE LIFTING ESSENCE;ESSENCE;150ml;50;21,4;55*31*21; ₩25 000 ; ₩4 660 ;8809809801137 ;3304.99.1000;;;;
50;;SMI001;5C0440;팜스테이 잇츠 리얼 젤 미스트 알로에;FARMSTAY IT IS REAL GEL MIST ALOE;MIST;120ml;50;8,5;46*24*18; ₩8 000 ; ₩2 110 ;8809469771405 ;3304.99.1000;;;;
51;;SMI002;5C0441;팜스테이 잇츠 리얼 젤 미스트 석류;FARMSTAY IT IS REAL GEL MIST POMEGRANATE;MIST;120ml;50;8,5;46*24*18; ₩8 000 ; ₩2 110 ;8809469771399 ;3304.99.1000;;;;
52;;SMI003;5C0442;팜스테이 잇츠 리얼 젤 미스트 콜라겐;FARMSTAY IT IS REAL GEL MIST COLLAGEN;MIST;120ml;50;8,5;46*24*18; ₩8 000 ; ₩2 110 ;8809469771429 ;3304.99.1000;;;;
53;;SMI004;5C0443;팜스테이 잇츠 리얼 젤 미스트 에스까르고;FARMSTAY IT IS REAL GEL MIST ESCARGOT;MIST;120ml;50;8,5;46*24*18; ₩8 000 ; ₩2 110 ;8809469771412 ;3304.99.1000;;;;
54;;STO005;5C0689;팜스테이 비저블 디퍼런스 모이스쳐 밀크 스킨;FARMSTAY VISIBLE DIFFERENCE MOISTURE TONER(MILK);TONER;350ml;40;17;51*30*20; ₩10 000 ; ₩2 110 ;8809809800130 ;3304.99.1000;;;;
55;;STO006;5C0690;팜스테이 비저블 디퍼런스 모이스쳐 석류 스킨;FARMSTAY VISIBLE DIFFERENCE MOISTURE TONER (POMEGRANATE);TONER;350ml;40;17;51*30*20; ₩10 000 ; ₩2 110 ;8809809800147 ;3304.99.1000;;;;
56;;CLF010;5C0038;팜스테이 에스까르고 노블레스 인텐시브 클렌징폼;FARMSTAY ESCARGOT NOBLESSE INTENSIVE CLEANSING FOAM;CLEANSING ;180ml;100;23;54*33*40; ₩15 000 ; ₩2 510 ;8809480773143 ;3401.30.0000;;;;
57;;SHD002;5C0420;팜스테이 비저블 디퍼런스 핸드크림 스네일;FARMSTAY VISIBLE DIFFERENCE HAND CREAM SNAIL;HAND;100ml;200;25;51*44.5*34.5; ₩3 000 ; ₩720 ;8809338560055 ;3304.99.1000;106 ;;;
58;;SHD003;5C0421;팜스테이 비저블 디퍼런스 핸드크림 올리브;FARMSTAY VISIBLE DIFFERENCE HAND CREAM OLIVE;HAND;100ml;200;25;51*44.5*34.5; ₩3 000 ; ₩720 ;8809338560062 ;3304.99.1000;;;;
59;;SHD004;5C0422;팜스테이 비저블 디퍼런스 핸드크림 딸기;FARMSTAY VISIBLE DIFFERENCE HAND CREAM STRAWBERRY;HAND;100ml;200;25;51*44.5*34.5; ₩3 000 ; ₩720 ;8809338560031 ;3304.99.1000;;;;
60;;SHD005;5C0423;팜스테이 비저블 디퍼런스 핸드크림 흑진주;FARMSTAY VISIBLE DIFFERENCE HAND CREAM BLACK PEARL;HAND;100ml;200;25;51*44.5*34.5; ₩3 000 ; ₩720 ;8809338560086 ;3304.99.1000;61 ;;;
61;;SHD007;5C0424;팜스테이 비저블 디퍼런스 핸드크림 알로에;FARMSTAY VISIBLE DIFFERENCE HAND CREAM ALOE;HAND;100ml;200;25;51*44.5*34.5; ₩3 000 ; ₩720 ;8809338560048 ;3304.99.1000;;;;
62;;SHD008;5C0425;팜스테이 비저블 디퍼런스 핸드크림 콜라겐;FARMSTAY VISIBLE DIFFERENCE HAND CREAM COLLAGEN;HAND;100ml;200;25;51*44.5*34.5; ₩3 000 ; ₩720 ;8809338560079 ;3304.99.1000;;;;
