Тип	Контейнер	Отправка	Приход	Артикул_ВБ	Название	Заказ_шт	Сумма_руб	ROI_%
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	2041	0	
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	1471	265574	10.8
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	1471	265574	10.8
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	1471	265574	10.8
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	333318356	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2	1471	265574	10.8
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	1417	0	
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	1417	0	
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	1417	0	
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	1417	0	
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	1265	310747	72.5
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	1265	310747	72.5
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	1265	310747	72.5
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	1265	310747	72.5
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	150925321	Collagen_Enough_Moisture_Foundation_13	1036	224242	53.9
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	150925321	Collagen_Enough_Moisture_Foundation_13	1036	224242	53.9
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	150925321	Collagen_Enough_Moisture_Foundation_13	1036	224242	53.9
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	150925321	Collagen_Enough_Moisture_Foundation_13	1036	224242	53.9
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	198156472	Manyo_Galac_Vita_Serum	981	634540	108.4
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	198156472	Manyo_Galac_Vita_Serum	981	634540	108.4
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	198156472	Manyo_Galac_Vita_Serum	981	634540	108.4
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	198156472	Manyo_Galac_Vita_Serum	981	634540	108.4
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207483179	JIGOTT - Snail Reparing Cream [100ml]	879	163370	32.1
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207483179	JIGOTT - Snail Reparing Cream [100ml]	879	163370	32.1
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207483179	JIGOTT - Snail Reparing Cream [100ml]	879	163370	32.1
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207483179	JIGOTT - Snail Reparing Cream [100ml]	879	163370	32.1
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	214964091	JMSOLUTION - Mask Pack Disney	860	398352	85.3
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	214964091	JMSOLUTION - Mask Pack Disney	860	398352	85.3
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	214964091	JMSOLUTION - Mask Pack Disney	860	398352	85.3
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	214964091	JMSOLUTION - Mask Pack Disney	860	398352	85.3
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	170198835	Enough Collagen Foundation Cover Up Ultra X10 13 тон	836	0	
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	170198835	Enough Collagen Foundation Cover Up Ultra X10 13 тон	836	0	
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	170198835	Enough Collagen Foundation Cover Up Ultra X10 13 тон	836	0	
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	170198835	Enough Collagen Foundation Cover Up Ultra X10 13 тон	836	0	
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	829	424713	32.0
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	829	424713	32.0
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	829	424713	32.0
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml	829	424713	32.0
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	765	296567	46.1
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	765	296567	46.1
