Тип	Контейнер	Отправка	Приход	Артикул_ВБ	Название	Заказ_шт	Сумма_руб	ROI_%
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	150925322	Collagen_Enough_Moisture_Foundation_21	366	88894	-69.7
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	150925322	Collagen_Enough_Moisture_Foundation_21	366	88894	-69.7
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	150925322	Collagen_Enough_Moisture_Foundation_21	366	88894	-69.7
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	366	182026	37.6
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	366	182026	37.6
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	366	182026	37.6
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	366	182026	37.6
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	208202076	EKEL Ampule Сream Сollagen [70ml]	345	49034	97.1
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	208202076	EKEL Ampule Сream Сollagen [70ml]	345	49034	97.1
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	208202076	EKEL Ampule Сream Сollagen [70ml]	345	49034	97.1
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	208202076	EKEL Ampule Сream Сollagen [70ml]	345	49034	97.1
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207464799	HEIMISH - All Clean Balm [120ml]	337	0	
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207464799	HEIMISH - All Clean Balm [120ml]	337	0	
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207464799	HEIMISH - All Clean Balm [120ml]	337	0	
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207464799	HEIMISH - All Clean Balm [120ml]	337	0	
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	212889027	Enoughcollagenwhiteningcovertip	333	61018	76.0
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	212889027	Enoughcollagenwhiteningcovertip	333	61018	76.0
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	212889027	Enoughcollagenwhiteningcovertip	333	61018	76.0
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	212889027	Enoughcollagenwhiteningcovertip	333	61018	76.0
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	151132051	ENOUGH COLLAGEN 3IN1 13	323	76915	87.5
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	151132051	ENOUGH COLLAGEN 3IN1 13	323	76915	87.5
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	151132051	ENOUGH COLLAGEN 3IN1 13	323	76915	87.5
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	151132051	ENOUGH COLLAGEN 3IN1 13	323	76915	87.5
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	317	151579	7.5
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	317	151579	7.5
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	317	151579	7.5
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	317	151579	7.5
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	299	347261	7.1
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	299	347261	7.1
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	299	347261	7.1
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	299	347261	7.1
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	214977901	JMSOLUTION - Mask Pack Black	293	135717	61.7
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	214977901	JMSOLUTION - Mask Pack Black	293	135717	61.7
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	214977901	JMSOLUTION - Mask Pack Black	293	135717	61.7
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	214977901	JMSOLUTION - Mask Pack Black	293	135717	61.7
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207479264	EKEL Ampoule Cream Collagen [50ml]	291	0	
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207479264	EKEL Ampoule Cream Collagen [50ml]	291	0	
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207479264	EKEL Ampoule Cream Collagen [50ml]	291	0	
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207479264	EKEL Ampoule Cream Collagen [50ml]	291	0	
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	283	209394	78.6
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	283	209394	78.6
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	283	209394	78.6
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	283	209394	78.6
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	207465786	HEIMISH - All Clean Balm Mandarin [120ml]	280	191987	28.2
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	207465786	HEIMISH - All Clean Balm Mandarin [120ml]	280	191987	28.2
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	207465786	HEIMISH - All Clean Balm Mandarin [120ml]	280	191987	28.2
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	207465786	HEIMISH - All Clean Balm Mandarin [120ml]	280	191987	28.2
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	268	0	
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	268	0	
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	268	0	
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	268	0	
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	268	104517	26.9
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	268	104517	26.9
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	268	104517	26.9
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	268	104517	26.9
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	232	253566	-40.0
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	232	253566	-40.0
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	232	253566	-40.0
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	232	253566	-40.0
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	212889028	Enoughcollagenwhiteningcovertip03	224	41045	-110.1
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	212889028	Enoughcollagenwhiteningcovertip03	224	41045	-110.1
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	212889028	Enoughcollagenwhiteningcovertip03	224	41045	-110.1
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	212889028	Enoughcollagenwhiteningcovertip03	224	41045	-110.1
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	219	33097	136.8
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	219	33097	136.8
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	219	33097	136.8
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	219	33097	136.8
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	217	0	
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	217	0	
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	217	0	
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	217	0	
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	217	124386	16.7
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	217	124386	16.7
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	217	124386	16.7
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	217	124386	16.7
ТОП (каждые 3 мес)	К1	Июнь 2026	Август 2026	437231408	ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	41	0	
ТОП (каждые 3 мес)	К2	Сентябрь 2026	Ноябрь 2026	437231408	ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	41	0	
ТОП (каждые 3 мес)	К3	Декабрь 2026	Февраль 2027	437231408	ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	41	0	
ТОП (каждые 3 мес)	К4	Март 2027	Май 2027	437231408	ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	41	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	414	172000	14.0
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	414	172000	14.0
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	411	37881	63.6
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	411	37881	63.6
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml	403	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml	403	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	206135397	I'm Sorry For My Skin Age Capture Hydrating	397	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	206135397	I'm Sorry For My Skin Age Capture Hydrating	397	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	395	393716	102.6
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	395	393716	102.6
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	392	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	392	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	180988755	Petitfee B-Glucan Deep Firming Eye Mask	389	189322	59.3
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	180988755	Petitfee B-Glucan Deep Firming Eye Mask	389	189322	59.3
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	378	285991	-0.1
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	378	285991	-0.1
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	204258828	COSRX_Salicylic_Acid_Cleanser	367	126181	21.0
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	204258828	COSRX_Salicylic_Acid_Cleanser	367	126181	21.0
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	364	35286	141.7
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	364	35286	141.7
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	353	103390	50.2
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	353	103390	50.2
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	351	93141	49.9
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	351	93141	49.9
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	198143251	Manyo_Ampoule_Lotion	337	247809	68.5
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	198143251	Manyo_Ampoule_Lotion	337	247809	68.5
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	334	319511	-24.7
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	334	319511	-24.7
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	326	135439	50.8
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	326	135439	50.8
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	210579932	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	323	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	210579932	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	323	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	320	123216	73.8
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	320	123216	73.8
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	320	86358	127.4
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	320	86358	127.4
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	180711104	Petitfee GOLD	312	129623	74.7
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	180711104	Petitfee GOLD	312	129623	74.7
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	302	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	302	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	151132052	ENOUGH COLLAGEN 3IN1 21	287	64101	92.1
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	151132052	ENOUGH COLLAGEN 3IN1 21	287	64101	92.1
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	282	144434	57.6
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	282	144434	57.6
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	611747838	Collagen_Enough_Moisture_Foundation_23	279	67763	85.0
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	611747838	Collagen_Enough_Moisture_Foundation_23	279	67763	85.0
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	212753217	JIGOTT - Collagen Healing Cream [100ml]	259	45433	110.2
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	212753217	JIGOTT - Collagen Healing Cream [100ml]	259	45433	110.2
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	254	208208	6.1
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	254	208208	6.1
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	251	79027	82.0
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	251	79027	82.0
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	248	137932	-552.3
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	248	137932	-552.3
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	240	119649	54.0
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	240	119649	54.0
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	207481714	COSRX AHA/BHA Clarifying Treatment Toner [150ml]	236	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	207481714	COSRX AHA/BHA Clarifying Treatment Toner [150ml]	236	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	232	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	232	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	207796350	ELIZAVECCA - CER-100  [100ml]	204	49414	23.6
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	207796350	ELIZAVECCA - CER-100  [100ml]	204	49414	23.6
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	199	95131	47.8
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	199	95131	47.8
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	185	110002	94.1
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	185	110002	94.1
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	199427475	Dr.Jart_Teatreatment_Toner	182	116095	-193.3
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	199427475	Dr.Jart_Teatreatment_Toner	182	116095	-193.3
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	214312385	THE ORDINARY - Argireline Solution 10% [30ml]	179	129245	-18.4
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	214312385	THE ORDINARY - Argireline Solution 10% [30ml]	179	129245	-18.4
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	174	18818	36.6
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	174	18818	36.6
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	166	68966	70.1
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	166	68966	70.1
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	166	98154	64.2
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	166	98154	64.2
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	160	17304	123.3
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	160	17304	123.3
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	180987509	Petitfee Pink Vita Brightening Eye Mask	155	75436	69.0
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	180987509	Petitfee Pink Vita Brightening Eye Mask	155	75436	69.0
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	190160197	EKEL Ampoule Toner Collagen 150ml	149	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	190160197	EKEL Ampoule Toner Collagen 150ml	149	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	255574453	JIGOTT - MASK 15	132	44094	84.3
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	255574453	JIGOTT - MASK 15	132	44094	84.3
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	132	100825	47.4
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	132	100825	47.4
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	165008074	LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml]	132	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	165008074	LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml]	132	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	127	184122	-52.1
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	127	184122	-52.1
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	207818000	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	121	11988	-106.4
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	207818000	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	121	11988	-106.4
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	119	91035	41.4
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	119	91035	41.4
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	116	42675	125.3
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	116	42675	125.3
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	180711041	Petitfee EGF	91	35039	43.5
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	180711041	Petitfee EGF	91	35039	43.5
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	88	23974	-18.9
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	88	23974	-18.9
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	199367159	Dr.Jart_Dermaclear_Micro_Foam	87	0	
ХВОСТ (каждые 6 мес)	КХ2	Декабрь 2026	Февраль 2027	199367159	Dr.Jart_Dermaclear_Micro_Foam	87	0	
ХВОСТ (каждые 6 мес)	КХ1	Июнь 2026	Август 2026	1126598360	ENOUGH - Collagen Moisture Essential Cream [50ml]	75	0	
