Контейнер	Отправка	Приход	Артикул_ВБ	Название	Ср_продажи_мес	Остаток_WB	Покрытие_мес	Заказ_база	Добор_шт	Заказ_итого	Себест_руб	Сумма_руб	ROI_%
К3	Октябрь 2026	Декабрь 2026	151132051	ENOUGH COLLAGEN 3IN1 13	93.6	15	0.2	215	93	308	238.13	73344	87.5
К3	Октябрь 2026	Декабрь 2026	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	125.2	12	0.1	288	0	288	415.46	119652	39.0
К3	Октябрь 2026	Декабрь 2026	214977901	JMSOLUTION - Mask Pack Black	84.8	72	0.8	195	84	279	463.2	129232	61.7
К3	Октябрь 2026	Декабрь 2026	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	117.2	0	0.0	270	0	270	0.0	0	
К3	Октябрь 2026	Декабрь 2026	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	82.0	46	0.6	189	81	270	739.91	199775	78.6
К3	Октябрь 2026	Декабрь 2026	190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	114.0	0	0.0	262	0	262	283.36	74240	-62.2
К3	Октябрь 2026	Декабрь 2026	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	107.6	0	0.0	247	0	247	315.45	77916	35.5
К3	Октябрь 2026	Декабрь 2026	150925322	Collagen_Enough_Moisture_Foundation_21	106.0	44	0.4	244	0	244	242.88	59262	-69.7
К3	Октябрь 2026	Декабрь 2026	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	106.0	0	0.0	244	0	244	497.34	121350	37.6
К3	Октябрь 2026	Декабрь 2026	207464799	HEIMISH - All Clean Balm [120ml]	97.6	0	0.0	224	0	224	0.0	0	
К3	Октябрь 2026	Декабрь 2026	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	92.0	27	0.3	212	0	212	478.17	101372	7.5
К3	Октябрь 2026	Декабрь 2026	608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	63.6	32	0.5	146	63	209	151.13	31586	136.8
К3	Октябрь 2026	Декабрь 2026	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml	86.8	21	0.2	200	0	200	1161.41	232282	7.1
К3	Октябрь 2026	Декабрь 2026	154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	59.6	84	1.4	137	59	196	92.17	18065	63.6
К3	Октябрь 2026	Декабрь 2026	207479264	EKEL Ampoule Cream Collagen [50ml]	84.4	0	0.0	194	0	194	0.0	0	
К3	Октябрь 2026	Декабрь 2026	868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	57.2	12	0.2	132	57	189	996.75	188385	102.6
К3	Октябрь 2026	Декабрь 2026	207465786	HEIMISH - All Clean Balm Mandarin [120ml]	81.2	62	0.8	187	0	187	685.67	128220	28.2
К3	Октябрь 2026	Декабрь 2026	180988755	Petitfee B-Glucan Deep Firming Eye Mask	56.4	10	0.2	130	56	186	486.69	90524	59.3
К3	Октябрь 2026	Декабрь 2026	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	77.6	0	0.0	178	0	178	0.0	0	
К3	Октябрь 2026	Декабрь 2026	154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	77.6	23	0.3	178	0	178	389.99	69418	26.9
К3	Октябрь 2026	Декабрь 2026	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]	52.8	64	1.2	121	52	173	96.94	16770	141.7
К3	Октябрь 2026	Декабрь 2026	307073881	ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N	51.2	20	0.4	118	51	169	292.89	49498	50.2
К3	Октябрь 2026	Декабрь 2026	212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	50.8	12	0.2	117	50	167	265.36	44315	49.9
К3	Октябрь 2026	Декабрь 2026	198143251	Manyo_Ampoule_Lotion	48.8	0	0.0	112	48	160	735.34	117654	68.5
К3	Октябрь 2026	Декабрь 2026	179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	47.2	14	0.3	109	47	156	415.46	64811	50.8
К3	Октябрь 2026	Декабрь 2026	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	67.2	24	0.4	155	0	155	1092.96	169408	-40.0
К3	Октябрь 2026	Декабрь 2026	608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	46.4	10	0.2	107	46	153	269.87	41290	127.4
К3	Октябрь 2026	Декабрь 2026	179611231	Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch	46.4	14	0.3	107	46	153	385.05	58912	73.8
К3	Октябрь 2026	Декабрь 2026	180711104	Petitfee GOLD	45.2	14	0.3	104	45	149	415.46	61903	74.7
К3	Октябрь 2026	Декабрь 2026	212889028	Enoughcollagenwhiteningcovertip03	64.8	10	0.2	149	0	149	183.24	27302	-110.1
К3	Октябрь 2026	Декабрь 2026	165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	63.0	0	0.0	145	0	145	0.0	0	
К3	Октябрь 2026	Декабрь 2026	206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	62.8	25	0.4	144	0	144	573.21	82542	16.7
К3	Октябрь 2026	Декабрь 2026	179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	60.0	0	0.0	138	0	138	415.46	57333	14.0
К3	Октябрь 2026	Декабрь 2026	151132052	ENOUGH COLLAGEN 3IN1 21	41.6	21	0.5	96	41	137	223.35	30598	92.1
К3	Октябрь 2026	Декабрь 2026	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	40.8	17	0.4	94	40	134	512.18	68632	57.6
К3	Октябрь 2026	Декабрь 2026	437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml	58.4	0	0.0	134	0	134	0.0	0	
К3	Октябрь 2026	Декабрь 2026	611747838	Collagen_Enough_Moisture_Foundation_23	40.4	0	0.0	93	40	133	242.88	32303	85.0
К3	Октябрь 2026	Декабрь 2026	206135397	I'm Sorry For My Skin Age Capture Hydrating	57.6	0	0.0	132	0	132	0.0	0	
К3	Октябрь 2026	Декабрь 2026	212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	56.8	0	0.0	131	0	131	0.0	0	
К3	Октябрь 2026	Декабрь 2026	207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	54.8	16	0.3	126	0	126	756.59	95330	-0.1
К3	Октябрь 2026	Декабрь 2026	212753217	JIGOTT - Collagen Healing Cream [100ml]	37.6	7	0.2	86	37	123	175.42	21576	110.2
К3	Октябрь 2026	Декабрь 2026	204258828	COSRX_Salicylic_Acid_Cleanser	53.2	18	0.3	122	0	122	343.82	41946	21.0
К3	Октябрь 2026	Декабрь 2026	608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	36.4	10	0.3	84	36	120	314.85	37782	82.0
К3	Октябрь 2026	Декабрь 2026	226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs]	34.8	0	0.0	80	34	114	498.54	56833	54.0
К3	Октябрь 2026	Декабрь 2026	437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	48.4	27	0.6	111	0	111	956.62	106184	-24.7
К3	Октябрь 2026	Декабрь 2026	210579932	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	46.8	0	0.0	108	0	108	0.0	0	
К3	Октябрь 2026	Декабрь 2026	214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	43.8	0	0.0	101	0	101	0.0	0	
К3	Октябрь 2026	Декабрь 2026	226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs]	28.8	0	0.0	66	28	94	478.05	44936	47.8
К3	Октябрь 2026	Декабрь 2026	214304883	DEOPROCE - SNAIL RECOVERY CREAM [100g]	26.8	11	0.4	62	26	88	594.61	52325	94.1
К3	Октябрь 2026	Декабрь 2026	437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml	36.8	13	0.4	85	0	85	819.72	69676	6.1
К3	Октябрь 2026	Декабрь 2026	551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	36.0	146	4.1	83	0	83	556.18	46162	-552.3
К3	Октябрь 2026	Декабрь 2026	207481714	COSRX AHA/BHA Clarifying Treatment Toner [150ml]	34.2	0	0.0	79	0	79	0.0	0	
К3	Октябрь 2026	Декабрь 2026	180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	24.0	6	0.2	55	24	79	591.29	46711	64.2
К3	Октябрь 2026	Декабрь 2026	179611304	Petitfee Cacao Energizing Hydrogel Eye Patch	24.0	39	1.6	55	24	79	415.46	32821	70.1
К3	Октябрь 2026	Декабрь 2026	226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	33.6	0	0.0	77	0	77	0.0	0	
К3	Октябрь 2026	Декабрь 2026	207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	23.2	18	0.8	53	23	76	108.15	8219	123.3
К3	Октябрь 2026	Декабрь 2026	180987509	Petitfee Pink Vita Brightening Eye Mask	22.4	0	0.0	52	22	74	486.69	36015	69.0
К3	Октябрь 2026	Декабрь 2026	207796350	ELIZAVECCA - CER-100  [100ml]	29.6	155	5.2	68	0	68	242.23	16471	23.6
К3	Октябрь 2026	Декабрь 2026	255574453	JIGOTT - MASK 15	19.2	4	0.2	44	19	63	334.05	21045	84.3
К3	Октябрь 2026	Декабрь 2026	551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	19.2	35	1.8	44	19	63	763.83	48121	47.4
К3	Октябрь 2026	Декабрь 2026	199427475	Dr.Jart_Teatreatment_Toner	26.4	30	1.1	61	0	61	637.89	38911	-193.3
К3	Октябрь 2026	Декабрь 2026	214312385	THE ORDINARY - Argireline Solution 10% [30ml]	26.0	22	0.8	60	0	60	722.04	43322	-18.4
К3	Октябрь 2026	Декабрь 2026	210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	25.2	17	0.7	58	0	58	108.15	6272	36.6
К3	Октябрь 2026	Декабрь 2026	437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	17.2	6	0.3	40	17	57	765.0	43605	41.4
К3	Октябрь 2026	Декабрь 2026	214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	16.8	2	0.1	39	16	55	367.89	20233	125.3
К3	Октябрь 2026	Декабрь 2026	190160197	EKEL Ampoule Toner Collagen 150ml	21.6	0	0.0	50	0	50	0.0	0	
К3	Октябрь 2026	Декабрь 2026	165008074	LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml]	19.2	0	0.0	44	0	44	0.0	0	
К3	Октябрь 2026	Декабрь 2026	180711041	Petitfee EGF	13.2	0	0.0	30	13	43	385.05	16557	43.5
К3	Октябрь 2026	Декабрь 2026	212719009	DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml]	18.4	0	0.0	42	0	42	1449.78	60890	-52.1
К3	Октябрь 2026	Декабрь 2026	207818000	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	17.6	2	0.1	40	0	40	99.08	3963	-106.4
К3	Октябрь 2026	Декабрь 2026	551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	9.2	68	7.4	21	9	30	864.11	25923	62.8
К3	Октябрь 2026	Декабрь 2026	611744611	ENOUGH Collagen whitening cover tip concealer #02	9.2	0	0.0	21	9	30	183.24	5497	175.1
К3	Октябрь 2026	Декабрь 2026	551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	12.8	39	3.0	29	0	29	272.44	7900	-18.9
К3	Октябрь 2026	Декабрь 2026	199367159	Dr.Jart_Dermaclear_Micro_Foam	12.6	0	0.0	29	0	29	0.0	0	
К3	Октябрь 2026	Декабрь 2026	437231408	ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	12.0	0	0.0	28	0	28	0.0	0	
К3	Октябрь 2026	Декабрь 2026	551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	8.0	48	6.0	18	8	26	623.43	16209	122.9
К3	Октябрь 2026	Декабрь 2026	1126598360	ENOUGH - Collagen Moisture Essential Cream [50ml]	10.8	227	21.0	25	0	25	0.0	0	
К3	Октябрь 2026	Декабрь 2026	248929125	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	10.4	19	1.8	24	0	24	1057.2	25372	30.9
К3	Октябрь 2026	Декабрь 2026	214312149	SKIN1004 - Madagascar Centella Hyalu-Cica Sleeping Pack [30ml]	7.2	6	0.8	17	7	24	294.15	7059	66.5
К3	Октябрь 2026	Декабрь 2026	551616449	CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml]	7.2	0	0.0	17	7	24	634.34	15224	79.3
К3	Октябрь 2026	Декабрь 2026	551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	6.0	31	5.2	14	6	20	687.58	13751	77.0
К3	Октябрь 2026	Декабрь 2026	214301052	DEOPROCE - AC CICA CALMING BOOSTING TONER [150ml]	8.4	0	0.0	19	0	19	0.0	0	
К3	Октябрь 2026	Декабрь 2026	236825103	JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea]	5.6	1	0.2	13	5	18	367.85	6621	90.8
К3	Октябрь 2026	Декабрь 2026	1126568337	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml] 2	7.2	123	17.1	17	0	17	0.0	0	
К3	Октябрь 2026	Декабрь 2026	247275092	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	7.6	15	2.0	17	0	17	845.49	14373	-40.9
К3	Октябрь 2026	Декабрь 2026	340752919	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	7.6	13	1.7	17	0	17	142.48	2422	-36.2
К3	Октябрь 2026	Декабрь 2026	611717011	ENOUGH Collagen whitening cover tip concealer #01	7.2	0	0.0	17	0	17	0.0	0	
К3	Октябрь 2026	Декабрь 2026	206058262	ELIZAVECCA_galactomyces_Ample	5.2	16	3.1	12	5	17	447.64	7609	82.6
К3	Октябрь 2026	Декабрь 2026	248928046	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g]	4.4	0	0.0	10	4	14	549.71	7695	58.0
К3	Октябрь 2026	Декабрь 2026	207817787	ISNTREE - Chestnut AHA 8% Clear Essence [100ml]	5.4	6	1.1	12	0	12	540.42	6485	-45.4
К3	Октябрь 2026	Декабрь 2026	1139030037	JIGOTT - Birds Nest Firming Cream [70ml] 2	4.8	99	20.6	11	0	11	0.0	0	
К3	Октябрь 2026	Декабрь 2026	1126645805	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml] 2	4.8	138	28.8	11	0	11	0.0	0	
К3	Октябрь 2026	Декабрь 2026	1123574113	Round Lab 1025 Dokdo Toner	3.6	10	2.8	8	3	11	484.93	5334	110.3
К3	Октябрь 2026	Декабрь 2026	1139005708	JIGOTT - Snail Lifting Cream [70ml] 2	3.6	157	43.6	8	0	8	0.0	0	
К3	Октябрь 2026	Декабрь 2026	1126626550	ETUDE - Baking Powder Crunch Pore Scrub [200ml]	3.6	146	40.6	8	0	8	0.0	0	
К3	Октябрь 2026	Декабрь 2026	1126690112	MANYO - Bifida Biome Complex Ampoule [50ml]	3.6	172	47.8	8	0	8	0.0	0	
К3	Октябрь 2026	Декабрь 2026	333321028	ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash2	3.6	0	0.0	8	0	8	0.0	0	
К3	Октябрь 2026	Декабрь 2026	190160008	Elizavecca Milky Piggy EGF elastic retinol [100ml]	3.6	2	0.6	8	0	8	602.18	4817	-114.1
К3	Октябрь 2026	Декабрь 2026	551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	2.8	11	3.9	6	2	8	719.58	5756	78.5
К3	Октябрь 2026	Декабрь 2026	212720615	ISNTREE - Onion Newpair Gel Cream [50ml]	2.8	38	13.6	6	0	6	1072.67	6436	-21.4
К3	Октябрь 2026	Декабрь 2026	1139014717	JIGOTT - Snail Reparing Cream [100ml] 2	2.4	117	48.8	6	0	6	0.0	0	
К3	Октябрь 2026	Декабрь 2026	1126531855	ROUND LAB 1025 DOKDO CLEANSER_150ml 2	2.4	157	65.4	6	0	6	0.0	0	
К3	Октябрь 2026	Декабрь 2026	248928555	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Acne Clear Body Cleanser [400g]	2.4	0	0.0	6	0	6	0.0	0	
К3	Октябрь 2026	Декабрь 2026	663654300	videokamera4gneww	2.4	19	7.9	6	0	6	2048.85	12293	23.8
К3	Октябрь 2026	Декабрь 2026	1126874288	MANYO - Galac Whitening Vita Serum [50ml]	2.4	128	53.3	6	0	6	0.0	0	
К3	Октябрь 2026	Декабрь 2026	611745490	ENOUGH Collagen whitening cover tip concealer #03	1.8	0	0.0	4	1	5	183.24	916	177.0
К3	Октябрь 2026	Декабрь 2026	199425671	Dr.Jart_Teatreatment_Soothing_Spot	1.8	0	0.0	4	0	4	0.0	0	
К3	Октябрь 2026	Декабрь 2026	154163936	Elizavecca Hell-Pore Control Hyaluronic Acid 97%	1.6	0	0.0	4	0	4	0.0	0	
К3	Октябрь 2026	Декабрь 2026	1139040138	JIGOTT - Ultimate Real Collagen Toner [300ml] 2	1.2	190	158.3	3	0	3	0.0	0	
К3	Октябрь 2026	Декабрь 2026	226322576	ELIZAVECCA - (х2) Witch Piggy hell pore blemish spot patch	1.2	0	0.0	3	0	3	0.0	0	
К3	Октябрь 2026	Декабрь 2026	437248870	ROUND LAB MUGWORT CALMING SOOTHING GEL_150ml	1.2	0	0.0	3	0	3	0.0	0	
К3	Октябрь 2026	Декабрь 2026	1139230773	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] 2	1.2	59	49.2	3	0	3	0.0	0	
К3	Октябрь 2026	Декабрь 2026	214312837	THE SAEM Saemmul Perfect Curling Mascara [8ml]	1.2	0	0.0	3	0	3	0.0	0	
К3	Октябрь 2026	Декабрь 2026	206125905	I'm Sorry for My Skin Крем Age Capture Skin Relief	1.2	0	0.0	3	0	3	0.0	0	
К3	Октябрь 2026	Декабрь 2026	206122859	I'm Sorry for My Skin Age Крем Capture Firming Enriched	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	207795785	ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	437203627	ROUND LAB BIRCH JUICE MOISTURIZING CLEANSER_150ml	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	333259566	JMSOLUTION - Mask Pack Black [8pcs]	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	307071318	Elizavecca Milky Piggy Carbonated Bubble Clay Mask N	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	165008162	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml]	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	212713617	JMSOLUTION - Black Cocoon Home Esthetic Eye Patch [60ea]	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	664171647	PETITFEE - MASK 6	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	212717820	JMSOLUTION - Prime Gold Eye Patch [60ea]	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	214304289	DEOPROCE - REAL FRESH VEGAN CALMING TONER [200ml]	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	664171648	PETITFEE - MASK 5	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	149971127	Etude Baking Powder Crunch Pore Scrub 1	0.0	0	99.0	1	0	1	0.0	0	
К3	Октябрь 2026	Декабрь 2026	149197341	ENOUGH - Collagen Moisture Essential Cream [50ml] N 1	0.0	0	99.0	1	0	1	0.0	0	
К4	Декабрь 2026	Февраль 2027	868516027	Celimax Dual Barrier Creamy Toner	4282.8	211	0.0	9850	8564	18414	663.86	12224318	58.9
К4	Декабрь 2026	Февраль 2027	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml	2709.6	291	0.1	6232	4188	10420	463.19	4826439	85.1
К4	Декабрь 2026	Февраль 2027	238415286	ENOUGH - Collagen Moisture Essential Cream [50ml] N	1577.6	469	0.3	3628	0	3628	161.3	585196	34.8
К4	Декабрь 2026	Февраль 2027	151313163	Etude Baking Powder Crunch Pore Scrub	918.8	111	0.1	2113	918	3031	361.03	1094281	49.8
К4	Декабрь 2026	Февраль 2027	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]	742.0	146	0.2	1707	742	2449	532.1	1303112	69.9
К4	Декабрь 2026	Февраль 2027	238358954	ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	646.8	105	0.2	1488	646	2134	203.11	433436	53.7
К4	Декабрь 2026	Февраль 2027	207482718	JIGOTT - Snail Lifting Cream [70ml]	850.4	172	0.2	1956	0	1956	202.27	395640	9.5
К4	Декабрь 2026	Февраль 2027	238359757	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N	597.0	0	0.0	1373	0	1373	0.0	0	
К4	Декабрь 2026	Февраль 2027	238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	591.6	0	0.0	1361	0	1361	0.0	0	
К4	Декабрь 2026	Февраль 2027	207796789	ENOUGH - Gold Snail Moisture Foundation [Tone 13]	366.8	51	0.1	844	366	1210	245.65	297236	72.5
