Срочность	Артикул_ВБ	Название	Ср_продажи_мес	Годовой_спрос	Остаток_шт	Покрытие_мес	Заказ_шт	Себест_руб	Сумма_заказа_руб	ROI_%	Маржа_на_ед_руб
1_СРОЧНО	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	88.3	1463.0	0.0	0.0	1463.0	497.34	727608.0	37.62	187.1
1_СРОЧНО	207465786	HEIMISH - All Clean Balm Mandarin [120ml]	67.7	1121.0	62.0	0.9	1059.0	685.67	726125.0	28.24	193.65
1_СРОЧНО	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	104.3	1728.0	12.0	0.1	1716.0	415.46	712929.0	39.03	162.14
1_СРОЧНО	169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	156.7	2594.0	0.0	0.0	2594.0	260.26	675114.0	-11.76	-30.62
1_СРОЧНО	207483179	JIGOTT - Snail Reparing Cream [100ml]	212.3	3516.0	27.0	0.1	3489.0	185.86	648466.0	32.11	59.67
1_СРОЧНО	437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	40.3	668.0	27.0	0.7	641.0	956.62	613193.0	-24.66	-235.89
1_СРОЧНО	170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	139.0	2302.0	30.0	0.2	2272.0	269.65	612645.0	56.64	152.74
1_СРОЧНО	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	76.7	1270.0	27.0	0.4	1243.0	478.17	594365.0	7.55	36.08
1_СРОЧНО	206057411	ELIZAVECCA_fruit_toner	104.7	1733.0	9.0	0.1	1724.0	328.19	565800.0	40.69	133.53
1_СРОЧНО	212757456	JIGOTT - Daily Real Cica Toner [300ml]	131.7	2180.0	67.0	0.5	2113.0	265.36	560706.0	12.95	34.36
1_СРОЧНО	207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	45.7	756.0	16.0	0.4	740.0	756.59	559877.0	-0.1	-0.72
1_СРОЧНО	170198109	Enough Rich Gold Double Wea Radiance Foundation 21 тон	125.0	2070.0	54.0	0.4	2016.0	269.65	543614.0	75.99	204.9
1_СРОЧНО	214977901	JMSOLUTION - Mask Pack Black	70.7	1170.0	72.0	1.0	1098.0	463.2	508594.0	61.71	285.85
1_СРОЧНО	198143251	Manyo_Ampoule_Lotion	40.7	673.0	0.0	0.0	673.0	735.34	494884.0	68.46	503.38
1_СРОЧНО	206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	52.3	867.0	25.0	0.5	842.0	573.21	482643.0	16.7	95.73
