Артикул_ВБ	Название	Штрафы_руб	Штраф_Габариты	Штраф_ПовышЛог	Другие_штрафы	Доплаты	Брак_шт	Брак_руб	Компенсация
207464799	HEIMISH - All Clean Balm [120ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	2566.99
207465786	HEIMISH - All Clean Balm Mandarin [120ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	2626.65
207466866	HEIMISH - Artless Glow Base SPF50+ [40ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	1120.29
207469760	FARMSTAY - Gold Snail Premium Cream [50ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	-697.45
207472742	FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	50.00	0.00	0.00	50.00	0.00	0	0.00	16287.39
207475898	FARMSTAY - Collagen Water Full Shampoo & Conditioner [530ml]	766.00	696.00	0.00	70.00	0.00	0	0.00	8086.59
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	70.00	0.00	0.00	70.00	0.00	0	0.00	3313.37
207477077	FARMSTAY - Collagen Water Full Moist Cream [100g]	0.00	0.00	0.00	0.00	0.00	0	0.00	800.91
207479264	EKEL Ampoule Cream Collagen [50ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	584.64
207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	5836.58
207481714	COSRX AHA/BHA Clarifying Treatment Toner [150ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	1717.88
207482718	JIGOTT - Snail Lifting Cream [70ml]	47686.00	0.00	0.00	47686.00	0.00	0	0.00	3951.30
207483179	JIGOTT - Snail Reparing Cream [100ml]	602.00	0.00	0.00	602.00	0.00	0	0.00	467.00
207483780	JIGOTT - Birds Nest Firming Cream [70ml]	20.00	0.00	0.00	20.00	0.00	0	0.00	472.82
207795785	ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash	0.00	0.00	0.00	0.00	0.00	0	0.00	1545.68
207796350	ELIZAVECCA - CER-100  [100ml]	0.00	0.00	0.00	0.00	0.00	0	0.00	440.07
207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	0.00	0.00	0.00	0.00	0.00	0	0.00	3072.75
