Уровень	Артикул_ВБ_или_Регион	Название	Индекс_локализации_%	КТР	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_шт	Заказы_локально_%	Заказы_нелокально_%
	214305722	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml]	B	94	65		45	100	
	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	B	94	53		45	100	
	150925322	Collagen_Enough_Moisture_Foundation_21	Collagen_Enough_Moisture_Foundation_21	B	93	322		42	100	
	208202076	EKEL Ampule Сream Сollagen [70ml]	EKEL Ampule Сream Сollagen [70ml]	B	98	79		42	100	
	207483780	JIGOTT - Birds Nest Firming Cream [70ml]	JIGOTT - Birds Nest Firming Cream [70ml]	B	99	25		41	100	
	207465786	HEIMISH - All Clean Balm Mandarin [120ml]	HEIMISH - All Clean Balm Mandarin [120ml]	B	97	78		40	100	
	212760119	JIGOTT - Ultimate Real Collagen Toner [300ml]	JIGOTT - Ultimate Real Collagen Toner [300ml]	B	98	103		38	100	
	190159348	Elizavecca 24k gold snail Cleansing Foam 180ml	Elizavecca 24k gold snail Cleansing Foam 180ml	B	97	31		37	100	
	198156698	Manyo_Pure_Cleansing_Oil	Manyo_Pure_Cleansing_Oil	B	92	48		31	86.11	13.89
	206057411	ELIZAVECCA_fruit_toner	ELIZAVECCA_fruit_toner	B	98	9		35	100	
	207796898	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	ENOUGH - Gold Snail Moisture Foundation [Tone 21]	A	97	70		34	100	
	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	B	91			33	100	
	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml	B	89	71		33	100	
	198143251	Manyo_Ampoule_Lotion	Manyo_Ampoule_Lotion	B	90			27	84.38	15.63
	212889027	Enoughcollagenwhiteningcovertip	Enoughcollagenwhiteningcovertip	B	81	39		32	100	
	170198876	Enough Collagen Foundation Cover Up Ultra X10 21 тон	Enough Collagen Foundation Cover Up Ultra X10 21 тон	B	93	29		31	100	
	179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	B	98	12		24	77.42	22.58
	207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	ELIZAVECCA - Natural 90% Olive Cleansing Oil	B	95			18	60	40
	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	A	96			23	79.31	20.69
	238416010	Enough Collagen Whitening Moisture Cream 3in1 50 N	Enough Collagen Whitening Moisture Cream 3in1 50 N	B	98	52		29	100	
	238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	B	96	399		28	100	
	179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	Petitfee Chamomile Lightening Hydrogel Eye Mask	B	95	9		26	96.30	3.70
	151132051	ENOUGH COLLAGEN 3IN1 13	ENOUGH COLLAGEN 3IN1 13	B	90	15		21	80.77	19.23
	180988755	Petitfee B-Glucan Deep Firming Eye Mask	Petitfee B-Glucan Deep Firming Eye Mask	C	97	12		26	100	
	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]	B	94	176		19	73.08	26.92
	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml]	B	94	68		26	100	
	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	B	97			11	44	56
	212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	C	97	53		21	87.50	12.50
	207796350	ELIZAVECCA - CER-100  [100ml]	ELIZAVECCA - CER-100  [100ml]	C	93	162		23	100	
	437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	B	89	27		21	95.45	4.55
	611747838	Collagen_Enough_Moisture_Foundation_23	Collagen_Enough_Moisture_Foundation_23	C	90	33		22	100	
	179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	Petitfee Artichoke Soothing Hydrogel Eye Mask	C	97	21		13	61.90	38.10
	207479264	EKEL Ampoule Cream Collagen [50ml]	EKEL Ampoule Cream Collagen [50ml]	B	98					100
	176944957	sBotW300	sBotW300	B	97	24		20	100	
	207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	B	98	22		20	100	
	608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	B	94	47		20	100	
	154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	Baking Powder BB Deep Cleansing Foam 3в1 30	B	94	157		19	100	
	154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	Etude Baking Powder Crunch Pore Scrub треугольники 30	B	90	26		19	100	
	199427475	Dr.Jart_Teatreatment_Toner	Dr.Jart_Teatreatment_Toner	C	94	49		19	100	
	608624295	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком	C	97	10		19	100	
	608837066	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка	C	98	10		18	94.74	5.26
	212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	B	91	23		18	100	
	868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml]	B	86	35		18	100	
	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	B	100			13	76.47	23.53
	206126372	I'm Sorry for My Skin Крем Age Capture Vitalizer	I'm Sorry for My Skin Крем Age Capture Vitalizer	B	93	35		16	100	
	212889028	Enoughcollagenwhiteningcovertip03	Enoughcollagenwhiteningcovertip03	B	86	35		16	100	
