Артикул_ВБ	Название	Остаток_шт	Выкуп_ФинОтчет_%	Выкуп_API_%	Выкуп_ЛК_%	Выкуп_АВТО_%	Возврат_ФинОтчет_%	Возврат_API_%	Возврат_АВТО_%	Продаж_ФинОтчет	Возвратов_ФинОтчет	Заказов_API	Продаж_API
226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs]	64	94.57	100	97.78	94.57				87		88	88
207796439	ELIZAVECCA - Natural 90% Olive Cleansing Oil	6	94.90	100	100	94.90				93		83	91
437797551	ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml	90	87.18	85.37	80.46	87.18				68		82	70
238413828	ENOUGH collagen moisture BB Cream SPF47 PA+++ N	678	94.62	100	100	94.62				88		78	90
226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]		93.55	100	100	93.55				116		78	105
212885914	FARMSTAY - Collagen Water Full Moist Rolling Eye Serum [25ml]	123	95.74	80	78.87	95.74				45		70	56
154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	50	87.69	91.43	91.43	87.69				57		70	64
611747838	Collagen_Enough_Moisture_Foundation_23	78	88.46	76.47	74.29	88.46				46		68	52
212889028	Enoughcollagenwhiteningcovertip03	76	85.48	83.58	87.50	85.48				53		67	56
226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs]	5	94.59	100	100	94.59				70		66	69
608841921	DEOPROCE SHAMPOO - BLACK GARLIC[200ml]	114	88.52	80.95	82.26	88.52				54		63	51
179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	16	96.92	91.67	87.30	96.92				63		60	55
551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]	555	87.50	70.18	66.67	87.50				35		57	40
207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	52	92	89.29	87.72	92				46		56	50
240311751	Робот мойщик окон sBot w250	9	80.95	87.27	84.21	80.95				50		55	48
154159632	Baking Powder BB Deep Cleansing Foam 3в1 30	193	88.89	96.08	92.45	88.89				48		51	49
179611278	Petitfee Artichoke Soothing Hydrogel Eye Mask	115	92.31	80.39	80.39	92.31				36		51	41
179611318	Petitfee Chamomile Lightening Hydrogel Eye Mask	72	95.65	90.20	93.88	95.65				44		51	46
180988755	Petitfee B-Glucan Deep Firming Eye Mask	85	97.67	86	87.76	97.67				42		50	43
212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]		95.35	84	80.77	95.35				41		50	42
212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml]	94	89.58	95.92	95.92	89.58				43		49	47
