Артикул_ВБ	Название	Остаток_шт	Объем_л	Цена_с_СПП	Себестоимость	Комиссия_ФБО_%	Выкуп_%	Реклама_на_ед	Хранение_на_ед	Объем_на_ед_л	Эквайринг_%	Себест_в_остатке	ДРР_%	Хранение_ВБ_остаток	Комиссия_остаток	Налог_остаток	НДС	ROI_API_%	Маржа_на_ед	Маржинальность_счет_%	Маржинальность_постав_%
199427475	Dr.Jart_Teatreatment_Toner	52	16.90	1222	637.89	32.50	94	1734.81	2.79	0.33	2.44	104000		145.08	33800	4750.95	4157.08	-193.32	-1233.15	-97.60	-61.66
207481251	COSRX Advanced Snail 96 Mucin Power Essence [100ml]	52	20.80	1425	756.59	32.50	98	516.74	3.81	0.40	2.44	121264		198.12	39410.80	5540.19	4847.66	-0.10	-0.72	-0.05	-0.03
154160085	Etude Baking Powder Crunch Pore Scrub треугольники 30	50	137.20	1025	389.99	32.50	90	200.58	8.70	2.74	2.44	74200		435	24115	3831.78	3352.80	26.95	105.11	12.14	7.08
1177994944	PETITFEE MASK 5	50	57.60	980	488	32	100		3.45	1.15	2.44	70950		172.50	22704	3663.55	3205.61	57.88	282.44	32.42	19.90
210575566	LEBELAGE - Dr. Peptide Derma Eye Cream [40ml]	49	13.33	444	108.15	32.50	100	154.97	2.97	0.27	2.44	35084		145.53	11402.30	1626.62	1423.29	36.64	39.63	9.67	5.53
214311963	SKIN1004 - Madagascar Centella Ampoule [30ml]	48	8.45	1198	367.89	32.50	86	236.91	3	0.18	2.44	94128		144	30591.60	4299.36	3761.94	125.31	460.99	36.95	23.51
1175175447	PETITFEE MASK 6	44	50.69	993	593	32	100		3.45	1.15	2.44	63228		151.80	20232.96	3266.69	2858.36	31.77	188.39	21.33	13.11
207476309	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml]	41	51.66	886	400.76	31	97	206.58	4.11	1.26	2.44	53382		168.51	16548.42	2715.96	2376.47	8.48	33.99	4.28	2.61
207818642	LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml]	41	11.15	396	108.15	32.50	100		3.12	0.27	2.44	26117		127.92	8488.03	1213.91	1062.17	123.33	133.38	38.78	20.94
151175880	Petitfee Black Pearl & Gold hydrogel Eye Patch	40	16.20	825	387.67	32.50	97		3.15	0.41	2.44	47120		126	15314	2467.29	2158.88	46.11	178.75	25.13	15.17
437850261	ROUND LAB SOYBEAN CLEANSING OIL_200ml	40	41.16	1381	765	32.50	67		3.12	1.03	2.44	84840		124.80	27573	4130.09	3613.83	41.41	316.79	24.71	14.94
