Уровень 1	Уровень 2	Уровень 3	Уровень 4	Уровень 5	Путь	Конечная категория	FBY %	FBS %	Express %	DBS %	FBS минус FBY, п.п.
Товары для красоты					Товары для красоты	нет	55.0	62.0	55.0	62.0	7.0
Товары для красоты	Косметика, парфюмерия и уход				Товары для красоты > Косметика, парфюмерия и уход	нет	49.0	56.0	49.0	56.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия			Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия	нет	47.5	54.5	47.5	54.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары		Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары	нет	47.5	54.5	47.5	54.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Аромакулоны	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Аромакулоны	да	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Аромалампы	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Аромалампы	да	47.5	54.5	47.5	54.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Аромасветильники	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Аромасветильники	да	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Благовония	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Благовония	да	46.0	53.0	46.0	53.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Инструменты для благовоний	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Инструменты для благовоний	да	46.0	53.0	46.0	53.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Конусы для формовки благовоний	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Конусы для формовки благовоний	да	45.0	52.0	45.0	52.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Курильницы для благовоний	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Курильницы для благовоний	да	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Наборы для ароматерапии	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Наборы для ароматерапии	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Подставки для благовоний	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Подставки для благовоний	да	46.0	53.0	46.0	53.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Стенды под благовония	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Стенды под благовония	да	45.0	52.0	45.0	52.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Аксессуары	Флаконы для аромамасел	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Аксессуары > Флаконы для аромамасел	да	46.5	53.5	46.5	53.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Эфирные масла		Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Эфирные масла	нет	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Эфирные масла	Ароматические масла	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Эфирные масла > Ароматические масла	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Эфирные масла	Смеси эфирных масел	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Эфирные масла > Смеси эфирных масел	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Ароматерапия	Эфирные масла	Эфирные масла	Товары для красоты > Косметика, парфюмерия и уход > Ароматерапия > Эфирные масла > Эфирные масла	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Косметика для детей			Товары для красоты > Косметика, парфюмерия и уход > Косметика для детей	нет	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Косметика для детей	Детская косметика и духи		Товары для красоты > Косметика, парфюмерия и уход > Косметика для детей > Детская косметика и духи	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж			Товары для красоты > Косметика, парфюмерия и уход > Макияж	нет	49.0	56.0	49.0	56.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары		Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары	нет	49.0	56.0	49.0	56.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Зеркала косметические	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Зеркала косметические	да	46.0	53.0	46.0	53.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы	нет	49.0	56.0	49.0	56.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Аппликаторы косметические	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Брашгарды для кистей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Кисти косметические	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Наборы аксессуаров для макияжа	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Наборы косметических кистей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Органайзеры для косметики и аксессуаров	да	49.0	56.0	49.0	56.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Очистители для кистей электрические	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Пуховки	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Спонжи косметические	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Кисти, спонжи и аппликаторы	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Кисти, спонжи и аппликаторы > Средства для очищения косметических принадлежностей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Мелочи для макияжа	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Мелочи для макияжа	нет	43.0	50.0	43.0	50.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Мелочи для макияжа	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Мелочи для макияжа > Аксессуары для макияжа	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Мелочи для макияжа	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Мелочи для макияжа > Плойки для завивки ресниц	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Мелочи для макияжа	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Мелочи для макияжа > Стразы для лица	да	43.0	50.0	43.0	50.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Мелочи для макияжа	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Мелочи для макияжа > Щипцы для завивки ресниц	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Пинцеты косметические	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Пинцеты косметические	нет	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Пинцеты косметические	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Пинцеты косметические > Наборы для коррекции бровей	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Пинцеты косметические	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Пинцеты косметические > Нити для тридинга	да	39.0	46.0	39.0	46.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Пинцеты косметические	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Пинцеты косметические > Ножницы для бровей	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Пинцеты косметические	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Пинцеты косметические > Пинцеты косметические	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Пинцеты косметические	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Пинцеты косметические > Триммеры для бровей	да	37.0	44.0	37.0	44.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Ресницы и клей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Ресницы и клей	нет	42.0	49.0	42.0	49.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Ресницы и клей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Ресницы и клей > Аксессуары для ламинирования ресниц	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Ресницы и клей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Ресницы и клей > Аксессуары для наращивания ресниц	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Ресницы и клей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Ресницы и клей > Ресницы для наращивания	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Ресницы и клей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Ресницы и клей > Ресницы накладные	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Ресницы и клей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Ресницы и клей > Средства для ламинирования ресниц	да	42.0	49.0	42.0	49.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Аксессуары	Ресницы и клей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Аксессуары > Ресницы и клей > Средства для наращивания ресниц	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей		Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей	нет	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Карандаши для бровей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Карандаши для бровей	нет	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Карандаши для бровей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Карандаши для бровей > Карандаши для бровей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Карандаши для бровей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Карандаши для бровей > Консилеры для бровей	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Карандаши для бровей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Карандаши для бровей > Маркеры для бровей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Карандаши для бровей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Карандаши для бровей > Тинты для бровей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц	нет	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Инструменты для окрашивания бровей	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Краски для бровей	да	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Лампы для заваривания хны	да	38.0	45.0	38.0	45.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Наборы для окрашивания бровей	да	43.0	50.0	43.0	50.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Нити для разметки бровей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Обезжириватели для бровей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Окислители для краски для бровей	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Осветлители для краски для бровей	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Средства для защиты кожи при окрашивании бровей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Средства для окрашивания бровей	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Средства для снятия краски для бровей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Краска для бровей и ресниц	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Краска для бровей и ресниц > Хна для бровей	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Тени для бровей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Тени для бровей	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для бровей	Тушь и гель для бровей	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для бровей > Тушь и гель для бровей	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для глаз		Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для глаз	нет	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для глаз	Карандаши и подводки для глаз	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для глаз > Карандаши и подводки для глаз	нет	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для глаз	Карандаши и подводки для глаз	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для глаз > Карандаши и подводки для глаз > Карандаши для глаз	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для глаз	Карандаши и подводки для глаз	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для глаз > Карандаши и подводки для глаз > Подводки для глаз	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для глаз	Карандаши и подводки для глаз	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для глаз > Карандаши и подводки для глаз > Сурьма	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для глаз	Тени	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для глаз > Тени	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для глаз	Тушь	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для глаз > Тушь	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для губ		Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для губ	нет	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для губ	Блески и тинты	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для губ > Блески и тинты	нет	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для губ	Блески и тинты	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для губ > Блески и тинты > Блески для губ	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для губ	Блески и тинты	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для губ > Блески и тинты > Тинты для губ	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для губ	Карандаши для губ	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для губ > Карандаши для губ	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для губ	Помада	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для губ > Помада	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица		Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица	нет	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Корректоры и консилеры	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Корректоры и консилеры	нет	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Корректоры и консилеры	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Корректоры и консилеры > Консилеры для лица	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Корректоры и консилеры	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Корректоры и консилеры > Корректоры для лица	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Основа и фиксаторы для макияжа	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Основа и фиксаторы для макияжа	нет	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Основа и фиксаторы для макияжа	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Основа и фиксаторы для макияжа > Основы под макияж	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Основа и фиксаторы для макияжа	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Основа и фиксаторы для макияжа > Фиксаторы макияжа	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Пудра	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Пудра	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Румяна и бронзеры	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Румяна и бронзеры	нет	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Румяна и бронзеры	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Румяна и бронзеры > Бронзеры	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Румяна и бронзеры	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Румяна и бронзеры > Румяна	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Тональные средства	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Тональные средства	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Хайлайтеры и контуринг	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Хайлайтеры и контуринг	нет	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Хайлайтеры и контуринг	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Хайлайтеры и контуринг > Глиттеры для лица	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Хайлайтеры и контуринг	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Хайлайтеры и контуринг > Наборы для контуринга	да	38.0	45.0	38.0	45.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Хайлайтеры и контуринг	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Хайлайтеры и контуринг > Скульпторы для лица	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Хайлайтеры и контуринг	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Хайлайтеры и контуринг > Хайлайтеры	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Для лица	Хайлайтеры и контуринг	Товары для красоты > Косметика, парфюмерия и уход > Макияж > Для лица > Хайлайтеры и контуринг > Шиммеры для лица	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Макияж	Наборы		Товары для красоты > Косметика, парфюмерия и уход > Макияж > Наборы	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам			Товары для красоты > Косметика, парфюмерия и уход > Мужчинам	нет	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Бритвы и лезвия		Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Бритвы и лезвия	нет	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Бритвы и лезвия	Аксессуары для мужских бритв	Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Бритвы и лезвия > Аксессуары для мужских бритв	да	44.0	51.0	44.0	51.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Бритвы и лезвия	Бритвенные станки мужские	Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Бритвы и лезвия > Бритвенные станки мужские	да	44.0	51.0	44.0	51.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Бритвы и лезвия	Лезвия для опасных бритв	Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Бритвы и лезвия > Лезвия для опасных бритв	да	41.0	48.0	41.0	48.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Бритвы и лезвия	Лезвия классические	Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Бритвы и лезвия > Лезвия классические	да	47.0	54.0	47.0	54.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Бритвы и лезвия	Помазки	Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Бритвы и лезвия > Помазки	да	44.0	51.0	44.0	51.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Бритвы и лезвия	Сменные кассеты для мужских бритв	Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Бритвы и лезвия > Сменные кассеты для мужских бритв	да	44.0	51.0	44.0	51.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Дезодоранты		Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Дезодоранты	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Для бороды и усов		Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Для бороды и усов	нет	40.5	47.5	40.5	47.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Для бороды и усов	Краска для бороды	Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Для бороды и усов > Краска для бороды	да	40.0	47.0	40.0	47.0	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Для бороды и усов	Наборы средств для ухода за бородой	Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Для бороды и усов > Наборы средств для ухода за бородой	да	40.5	47.5	40.5	47.5	7.0
Товары для красоты	Косметика, парфюмерия и уход	Мужчинам	Для бороды и усов	Средства для ухода за бородой	Товары для красоты > Косметика, парфюмерия и уход > Мужчинам > Для бороды и усов > Средства для ухода за бородой	да	40.5	47.5	40.5	47.5	7.0
