Артикул (offer_id)	product_id	Наименование	Категория	Цена, ₽	Объёмный вес, л	Комиссия FBO, %	Комиссия FBS, %	FBO обработка, ₽	FBO логистика (мин), ₽	FBO логистика (макс), ₽	FBO последняя миля, ₽	FBO обратная логистика, ₽	FBS первая миля, ₽	FBS логистика (мин), ₽	FBS логистика (макс), ₽	FBS последняя миля, ₽	FBS обратная логистика, ₽
dm7dm1	2881287934	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	1200	1.2	47	53		89	377	25	108	0	89	377	25	377
dm7dm10	2881288008	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	1000	1.2	47	53		89	377	25	108	0	89	377	25	377
dm7dm11	2881287920	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	1200	1.2	47	53		89	377	25	108	0	89	377	25	377
dm7dm12	2881287883	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	1500	1.2	47	53		89	377	25	108	0	89	377	25	377
dm7dm13	2881287925	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	1000	1.2	47	53		89	377	25	108	0	89	377	25	377
dm7dm3	2881287960	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	1200	1.2	47	53		89	377	25	108	0	89	377	25	377
dm7dm5	2881287871	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	1200	1.2	47	53		89	377	25	108	0	89	377	25	377
dm7dm6	2881287841	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	1200	1.2	47	53		89	377	25	108	0	89	377	25	377
dm7dm9	2881287872	Новогодняя игрушка Дед Мороз под елку 35 см / Санта Клаус	Декор и интерьер	1200	1.2	47	53		89	377	25	108	0	89	377	25	377
Celimax Dual Barrier Creamy Toner	5737542836	Кремовый тонер с молочной текстурой Dual Barrier	Косметика для ухода	2500	0.2	41	47		67	154	25	81	0	67	154	25	154
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE	5738658556	Сыворотка для лица увлажняющая 3в1 с коллагеном	Косметика для ухода	2500	0.3	41	47		67	168	25	81	0	67	168	25	168
ROUND LAB 1025 DOKDO CLEANSER_150ml	5738375811	Увлажняющая пенка для умывания лица Корея	Косметика для ухода	2500	0.3	41	47		74	218	25	89	0	74	218	25	218
