SKU	Наименование	Выручка, ₽	Заказано, шт	Доставлено, шт	Возвраты	Отмены	Показы	В корзину	Сессии с товаром	Конв. в корзину	Позиция в категории
5371038616	Патчи для глаз Корея антивозрастные жемчуг и золото Petitfee	0	0	0	0	0	822	0	712	0	159.56012658227849
5371039884	Гидрогелевые патчи для глаз от отеков и морщин Petitfee	0	0	0	0	0	43	0	34	0	89.13636363636364
5371039909	Патчи под глаза гидрогелевые с артишоком Petitfee	0	0	0	0	0	864	0	735	0	99.911051212938
5371040627	Гидрогелевые патчи для глаз Корея от отеков Petitfee	0	0	0	0	0	1146	3	980	0.3	171.1602564102564
5371040749	Антивозрастные гидрогелевые патчи с золотом и EGF Petitfee	0	0	0	0	0	467	4	410	0.97	205.21014492753622
5371041239	Охлаждающие гидрогелевые патчи для области вокруг глаз Petitfee	0	0	0	0	0	588	0	467	0	109.12169312169313
5371132804	Гидрогелевые патчи для глаз Корея антивозрастные от отеков Petitfee	0	0	0	0	0	1270	3	1076	0.27	157.0018484288355
5371600719	Корейские гидрогелевые маски для лица охлаждающие с агавой Petitfee	0	0	0	0	0	709	1	626	0.15	84.92073170731707
5371601871	Корейские гидрогелевые маски для лица против морщин Petitfee	0	0	0	0	0	856	4	664	0.6	258.34082397003743
5371602089	Маски для лица с золотом Petitfee	0	0	0	0	0	434	0	387	0	238.60169491525423
5371663067	Корейские гидрогелевые маски для лица с золотом и жемчугом Petitfee	0	0	0	0	0	437	1	391	0.25	184.5
5371663198	Корейские гидрогелевые маски для лица тонизирующие Petitfee	0	0	0	0	0	681	1	595	0.16	166.98265895953756
5371663601	Корейские гидрогелевые маски для лица с артишоком Petitfee	0	0	0	0	0	645	1	555	0.18	156.91625615763547
5371663643	Корейские гидрогелевые маски для лица с ромашкой Petitfee	0	0	0	0	0	302	0	270	0	119.30147058823529
5430012407	FarmStay Шампунь кондиционер для волос увлажняющий с коллагеном FARMSTAY, 530 мл	0	0	0	0	0	358	3	288	1.04	187.65502183406113
5499689689	Отбеливающие тонер пэды для лица Celimax	0	0	0	0	0	3021	22	2346	0.93	110.36722797927462
5513079596	Шампунь для волос женский c черным чесноком DEOPROCE, 600 мл	0	0	0	0	0	1491	0	1251	0	81.21960297766749
5513328528	Шампунь для волос женский c черным DEOPROCE, 600 мл	0	0	0	0	0	1252	0	1038	0	101.71706586826348
5677079501	Сыворотка для ухода за кожей	0	0	0	0	0	9	0	9	0	0
5677140999	Тоник для ухода за кожей	0	0	0	0	0	1	0	1	0	0
5677161049	тоник для ухода за кожей	0	0	0	0	0	41	0	28	0	0
5677165168	Средство для умывания	0	0	0	0	0	26	0	20	0	0
5677167748	Крем для ухода за кожей	0	0	0	0	0	9	0	7	0	0
5677223292	Сыворотка для ухода за кожей	0	0	0	0	0	8	0	5	0	0
5677226862	Тоник для ухода за кожей	0	0	0	0	0	1	0	1	0	0
