Артикул WB,Артикул продавца,Название,Предмет,Бренд,Продаж_строк,Розничная_сумма_период,Логистика_период,Переплата_ИРП_период,Косметика,Переплата_ИРП_месяц,Доля_переплаты_в_логистике_%
212889027,Enoughcollagenwhiteningcovertip,Консилер для лица плотный 02 корректор,Корректоры,ENOUGH,106,112435.56,8312.34,674.6133600000001,True,374.78520000000003,8.115805657612658
150925321,Collagen_Enough_Moisture_Foundation_13,Тональный крем для лица коллаген №13,Тональные кремы,ENOUGH,112,112189.21,8781.710000000001,673.13526,True,373.96403333333336,7.6651957306720435
214305705,DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml],Шампунь для волос с аргановым маслом,Шампуни,DEOPROCE,88,108707.62,15092.75,652.24572,True,362.35873333333336,4.321583011710921
207481714,COSRX AHA/BHA Clarifying Treatment Toner [150ml],Мягкий тонер для лица с кислотами AHA BHA,Тоники,COSRX,57,108702.28,6118.13,652.2136800000001,True,362.3409333333334,10.660343601721442
180711104,Petitfee GOLD,Гидрогелевые патчи для глаз с золотом,Патчи,Petitfee,75,107163.02,5716.4,642.97812,True,357.2100666666667,11.247955356518089
204258828,COSRX_Salicylic_Acid_Cleanser,Пенка для умывания от прыщей,Скрабы,COSRX,81,102642.71,6019.05,615.85626,True,342.1423666666667,10.231785082363496
179611231,Petitfee 98% Collagen & CoQ10 Hydro Gel Eye Patch,Гидрогелевые патчи для глаз Корея от отеков,Патчи,Petitfee,75,102255.0,5348.26,613.5300000000001,True,340.8500000000001,11.471581411524497
238413828,ENOUGH collagen moisture BB Cream SPF47 PA+++ N,BB-крем тональный увлажняющий для лица с коллагеном,Кремы,ENOUGH,182,101606.52,10036.49,609.63912,True,338.68840000000006,6.074226348055944
868761530,LANEIGE LIP SLEEPING MASK-BERRY [3g],Бальзам маска для губ Lip Sleeping Mask Berry,Бальзамы,LANEIGE,154,99310.22,11061.42,595.86132,True,331.03406666666666,5.3868429189019125
214304883,DEOPROCE - SNAIL RECOVERY CREAM [100g],Корейский крем для лица антивозрастной,Кремы,DEOPROCE,46,97520.0,3474.48,585.12,True,325.06666666666666,16.840505629619397
208202076,EKEL Ampule Сream Сollagen [70ml],Увлажняющий крем для лица с коллагеном ампульный,Кремы,EKEL,137,95840.22,8694.94,575.04132,True,319.46740000000005,6.613516827028134
437776835,ROUND LAB PINE CALMING CICA AMPOULE_30ml,Сыворотка для жирной кожи лица увлажняющая с центеллой,Сыворотки,round lab,42,95023.55,3377.73,570.1413,True,316.7451666666667,16.879421978666144
212719009,DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml],Корректирующий СС крем для лица тональный,CC-кремы,dr.Jart+,23,92667.0,1940.55,556.002,True,308.89,28.651773981603153
212759698,JIGOTT - Moisture Real Aloe Vera Toner [300ml],Корейский успокаивающий тонер с алоэ,Тоники,Jigott,90,91589.94,7878.43,549.5396400000001,True,305.29980000000006,6.975243037001028
437254254,ROUND LAB SOYBEAN PANTHENOL CREAM_80ml,Крем для лица с чёрной соей и пантенолом успокаивающий Корея,Кремы,round lab,36,88199.68,2567.9900000000002,529.19808,True,293.99893333333335,20.60748211636338
437190353,ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml,Увлажняющий крем для лица с берёзовым соком Корея,Кремы,round lab,35,87591.96,2671.32,525.5517600000001,True,291.9732,19.673860114100894
179611278,Petitfee Artichoke Soothing Hydrogel Eye Mask,Патчи под глаза гидрогелевые с артишоком,Патчи,Petitfee,66,84926.52,4932.5199999999995,509.55912,True,283.08840000000004,10.330604234752217
551387355,CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml],Крем-Бустер для лица с микроиглами и ретинолом,Кремы,Celimax,39,74227.52,2510.49,445.36512,True,247.42506666666668,17.74016705902035
608837066,DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка,Шампунь для волос женский c черным чесноком,Шампуни,DEOPROCE,68,71399.13,9168.22,428.39477999999997,True,237.9971,4.672605805707105
212889028,Enoughcollagenwhiteningcovertip03,Консилер для лица плотный 03 корректор,Корректоры,ENOUGH,74,70543.45,5699.74,423.26070000000004,True,235.14483333333337,7.425965044019553
437797551,ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml,Сыворотка для лица c витамином С и ниацинамидом,Сыворотки,round lab,30,68784.78,2222.85,412.70868,True,229.28260000000003,18.566645522639856
608841921,DEOPROCE SHAMPOO - BLACK GARLIC[200ml],Шампунь для волос женский c черным чесноком,Шампуни,DEOPROCE,100,68693.42,6679.32,412.16052,True,228.97806666666668,6.170695819334903
212883090,JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml],Увлажняюший тонер для лица с гиалуроновой кислотой,Тоники,Jigott,67,68204.57,4775.2,409.22742000000005,True,227.3485666666667,8.569848802144413
214312385,THE ORDINARY - Argireline Solution 10% [30ml],Антивозрастная сыворотка для лица с аргирелином 10%,Сыворотки,The ordinary,36,65265.73,2397.55,391.59438,True,217.55243333333334,16.33310587891806
207476777,FARMSTAY - Collagen Pure Cleansing Foam [180ml],Корейская пенка для умывания лица увлажняющая,Скрабы,Farm Stay,88,65123.81,5713.43,390.74285999999995,True,217.07936666666666,6.839024193873031
180992464,PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal,Охлаждающие гидрогелевые патчи для области вокруг глаз,Патчи,Petitfee,35,64471.34,2531.98,386.82804,True,214.90446666666668,15.277689397230626
180987509,Petitfee Pink Vita Brightening Eye Mask,Тканевые патчи под глаза от темных кругов,Патчи,Petitfee,36,57240.0,2588.85,343.44000000000005,True,190.80000000000004,13.266122023292198
165002270,ENOUGH collagen moisture BB Cream SPF47 PA+++ BB,BB крем тональный солнцезащитный с коллагеном,Кремы,ENOUGH,100,56956.82,4850.72,341.74092,True,189.8560666666667,7.045158656859188
154159632,Baking Powder BB Deep Cleansing Foam 3в1 30,Очищающая пенка для снятия макияжа Baking Powder 30ml,Скрабы,Etude house,87,55416.08,5299.94,332.49648,True,184.72026666666667,6.2735895123341034
437850261,ROUND LAB SOYBEAN CLEANSING OIL_200ml,Гидрофильное масло для лица для умывания Корея,Гидрофильные масла,round lab,26,55112.0,3301.85,330.672,True,183.70666666666668,10.014749307206568
190160197,EKEL Ampoule Toner Collagen 150ml,Увлажняющий тоник для лица с коллагеном ампульный,Тоники,EKEL,63,53158.4,4315.7699999999995,318.9504,True,177.19466666666668,7.3903474930313715
214311963,SKIN1004 - Madagascar Centella Ampoule [30ml],Сыворотка Корея увлажняющая против морщин,Сыворотки,SKIN1004,27,52973.83,1778.6599999999999,317.84298,True,176.57943333333336,17.869799736880577
608624295,DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком,Шампунь для волос женский c черным,Шампуни,DEOPROCE,46,52626.85,5642.13,315.7611,True,175.42283333333333,5.596487496743252
151132052, ENOUGH COLLAGEN 3IN1 21,Отбеливающий тональный крем для лица 3в1 тон 21,Тональные кремы,ENOUGH,54,51569.29,3641.77,309.41574,True,171.89763333333335,8.496300974526125
210579932,LEBELAGE - Dr. Snail Derma Eye Cream [40ml],Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,89,49168.44,5327.53,295.01064,True,163.89480000000003,5.537474964946233
