Артикул продавца,Артикул WB,Название,Предмет,Бренд,Размер,"Итог, ₽","Итог, ₽ (предыдущий период)","Выкупы, ₽","Выкупы, ₽ (предыдущий период)","Выкупы, шт","Выкупы, шт (предыдущий период)","Возвраты, ₽","Возвраты, ₽ (предыдущий период)","Возвраты, шт","Возвраты, шт (предыдущий период)","Логистика, ₽","Логистика, ₽ (предыдущий период)","Штрафы, ₽","Штрафы, ₽ (предыдущий период)","Комиссия WB, ₽","Комиссия WB, ₽ (предыдущий период)","Эквайринг, ₽","Эквайринг, ₽ (предыдущий период)","Потери, подмены и товары с дефектами, ₽","Потери, подмены и товары с дефектами, ₽ (предыдущий период)","Доплаты, ₽","Доплаты, ₽ (предыдущий период)","Программа лояльности, ₽","Программа лояльности, ₽ (предыдущий период)",nm,cost,net_units,cogs,profit_after_cogs_before_storage_ads,profit_per_unit_after_cogs_before_storage_ads,wb_costs
JIGOTT - Snail Lifting Cream [70ml],207482718,Крем для лица антивозрастной Snail Lifting Cream,Кремы,Jigott,-,522453.29,1071318.9,1025953.71,1907560.07,1383,2725,-2968.0,0.0,4,0,-100834.73,-164519.98,-41302,-5642,-332470.07,-619956.16,-25925.62,-46123.03,0.0,0.0,0,0,0,0,207482718,202.27,1379,278930.33,243522.95999999996,176.59387962291513,-500532.42
JIGOTT - Snail Reparing Cream [100ml],207483179,Восстанавливающий крем для лица антивозрастной,Кремы,Jigott,-,175894.39,68272.53,315260.94,122888.36,425,174,0.0,0.0,0,0,-28925.86,-11573.99,0,0,-102459.69,-39938.58,-7981.0,-3103.26,0.0,0.0,0,0,0,0,207483179,185.86,425,78990.5,96903.89000000001,228.0091529411765,-139366.55
JIGOTT - Birds Nest Firming Cream [70ml],207483780,Корейский крем для лица антивозрастной от морщин,Кремы,Jigott,-,98768.0,136595.63,171721.33,239850.97,216,323,0.0,0.0,0,0,-12797.95,-20639.53,-20,0,-55808.36,-77632.2,-4327.02,-5456.43,0.0,472.82,0,0,0,0,207483780,202.27,216,43690.32,55077.68,254.98925925925926,-72953.33
ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash,207795785,Корейская энзимная пудра для снятия макияжа,Скрабы,Elizavecca,-,0.0,12523.78,0.0,21261.7,0,24,0.0,0.0,0,0,0.0,-1374.39,0,0,0.0,-6910.05,0.0,-453.48,0.0,0.0,0,0,0,0,207795785,531.71,0,0.0,0.0,,0.0
ELIZAVECCA - CER-100  [100ml],207796350,Маска для волос увлажняющая с коллагеном,Маски косметические,Elizavecca,-,15843.08,26892.84,27666.26,47463.25,29,53,0.0,0.0,0,0,-2281.31,-4160.85,0,0,-8853.16,-15188.22,-688.71,-1221.34,0.0,0.0,0,0,0,0,207796350,242.23,29,7024.67,8818.41,304.08310344827584,-11823.18
ELIZAVECCA - Natural 90% Olive Cleansing Oil,207796439,Корейское гидрофильное масло для умывания,Гидрофильные масла,Elizavecca,-,250631.97,258986.04,419318.89,429466.44,258,274,0.0,0.0,0,0,-21579.3,-20511.88,0,0,-136278.59,-139576.49,-10829.03,-10392.03,0.0,0.0,0,0,0,0,207796439,671.73,258,173306.34,77325.63,299.71174418604653,-168686.91999999998
ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream,207796563,Крем для лица Aqua Hyaluronic Acid Water Drop,Кремы,Elizavecca,-,122825.85,92555.18,209931.33,158993.04,233,176,0.0,0.0,0,0,-13586.2,-10822.74,0,0,-68226.5,-51671.87,-5292.78,-3943.25,0.0,0.0,0,0,0,0,207796563,281.34,233,65552.22,57273.630000000005,245.80957081545066,-87105.48
ENOUGH - Gold Snail Moisture Foundation [Tone 13],207796789,Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,-,271756.91,352422.73,477321.05,615487.93,485,663,-1971.92,0.0,2,0,-38313.14,-47786.84,-20,0,-154009.36,-200033.23,-11959.19,-15245.13,709.47,0.0,0,0,0,0,207796789,245.65,483,118648.95,153107.95999999996,316.99370600414073,-203592.22
ENOUGH - Gold Snail Moisture Foundation [Tone 21],207796898,Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,-,197058.7,229672.41,344396.35,407192.93,387,483,0.0,-2520.0,0,3,-26635.25,-33361.64,-30,-60,-111928.61,-131518.4,-8743.79,-10060.48,0.0,0.0,0,0,0,0,207796898,270.81,387,104803.47,92255.23000000001,238.38560723514215,-147337.65
ISNTREE - Chestnut AHA 8% Clear Essence [100ml],207817787,Сыворотка для глубокого очищения лица,Сыворотки,,-,6056.92,7478.38,9886.0,12296.0,6,8,0.0,0.0,0,0,-404.28,-528.4,0,0,-3212.92,-3996.2,-211.88,-293.02,0.0,0.0,0,0,0,0,207817787,540.42,6,3242.5199999999995,2814.4000000000005,469.0666666666668,-3829.08
ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml],207818000,Сыворотка для глубокого очищения лица,Сыворотки,,-,6409.0,9824.23,11845.41,18811.84,23,41,0.0,0.0,0,0,-1290.91,-2453.27,0,0,-3849.64,-6113.74,-295.86,-420.6,0.0,0.0,0,0,0,0,207818000,99.08,23,2278.84,4130.16,179.57217391304349,-5436.41
LEBELAGE - Dr. Hyaluronic Derma Eye Cream [40ml],207818642,Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,-,13883.18,19725.42,25959.08,36232.43,47,69,0.0,0.0,0,0,-2969.57,-3854.74,0,0,-8436.47,-11775.49,-669.86,-876.78,0.0,0.0,0,0,0,0,207818642,108.15,47,5083.05,8800.130000000001,187.23680851063833,-12075.9
EKEL Ampule Сream Сollagen [70ml],208202076,Увлажняющий крем для лица с коллагеном ампульный,Кремы,EKEL,-,53484.69,110729.8,95840.22,198602.98,137,302,0.0,0.0,0,0,-8793.5,-18538.87,0,0,-31148.05,-64545.85,-2413.98,-4788.46,0.0,0.0,0,0,0,0,208202076,142.13,137,19471.809999999998,34012.880000000005,248.269197080292,-42355.530000000006
Рация_UV-82 (1 шт),208208674,Электронная рация baofeng UV-82,Радиостанции,Baofeng,-,10598.2,19401.95,15978.0,29250.0,5,9,0.0,0.0,0,0,-644.05,-1415.83,0,0,-4393.95,-8043.75,-341.8,-388.47,0.0,0.0,0,0,0,0,208208674,840.75,5,4203.75,6394.450000000001,1278.89,-5379.8
LEBELAGE - Dr. Peptide Derma Eye Cream [40ml],210575566,Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,-,15544.26,18046.08,27924.78,32971.31,39,52,0.0,0.0,0,0,-2587.11,-3397.08,0,0,-9075.54,-10715.66,-717.87,-812.49,0.0,0.0,0,0,0,0,210575566,108.15,39,4217.85,11326.41,290.4207692307692,-12380.520000000002
LEBELAGE - Dr. Snail Derma Eye Cream [40ml],210579932,Увлажняющий крем для кожи вокруг глаз,Кремы,Lebelage,-,26620.49,44460.21,49168.44,81722.34,89,156,0.0,0.0,0,0,-5327.53,-8700.77,0,0,-15979.3,-26559.69,-1241.12,-2001.67,0.0,0.0,0,0,0,0,210579932,108.15,89,9625.35,16995.14,190.95662921348313,-22547.949999999997
JMSOLUTION - Black Cocoon Home Esthetic Eye Patch [60ea],212713617,Увлажняющие патчи для глаз от отеков,Патчи,JMSolution,-,0.0,16416.69,0.0,27567.1,0,27,0.0,0.0,0,0,0.0,-1540.84,0,0,0.0,-8959.17,0.0,-650.4,0.0,0.0,0,0,0,0,212713617,376.24,0,0.0,0.0,,0.0
JMSOLUTION - Prime Gold Eye Patch [60ea],212717820,Гидрогелевые патчи под глаза с золотом,Патчи,JMSolution,-,0.0,31845.51,0.0,52129.95,0,40,0.0,0.0,0,0,0.0,-2175.17,0,0,0.0,-16942.21,0.0,-1167.06,0.0,0.0,0,0,0,0,212717820,427.75,0,0.0,0.0,,0.0
DR. JART - Cicapair Tiger Grass Color Correcting Treatment [50ml],212719009,Корректирующий СС крем для лица тональный,CC-кремы,dr.Jart+,-,57964.04,50172.83,92667.0,79149.0,23,21,0.0,0.0,0,0,-2041.51,-1531.12,0,0,-30116.66,-25723.33,-2544.79,-1721.72,0.0,0.0,0,0,0,0,212719009,1449.78,23,33344.94,24619.1,1070.395652173913,-34702.96
ISNTREE - Onion Newpair Gel Cream [50ml],212720615,Успокаивающий крем-гель для лица,Кремы,Isntree,-,5219.24,8554.94,8586.0,13500.0,3,5,0.0,0.0,0,0,-317.95,-280.85,0,0,-2790.45,-4387.5,-258.36,-276.71,0.0,0.0,0,0,0,0,212720615,1072.67,3,3218.01,2001.2299999999996,667.0766666666665,-3366.7599999999998
JIGOTT - Collagen Healing Cream [100ml],212753217,Крем для лица с коллагеном,Кремы,Jigott,-,26549.63,64380.89,46882.71,112506.05,59,150,0.0,0.0,0,0,-3960.38,-8827.71,0,0,-15236.58,-36564.41,-1136.12,-2733.04,0.0,0.0,0,0,0,0,212753217,175.42,59,10349.779999999999,16199.850000000002,274.57372881355934,-20333.079999999998
JIGOTT - Daily Real Cica Toner [300ml],212757456,Корейский тонер для лица увлажняющий с центеллой,Тоники,Jigott,-,86992.96,37359.12,160841.18,67022.02,158,82,0.0,0.0,0,0,-17586.04,-6223.98,0,0,-52273.34,-21782.12,-3988.84,-1656.8,0.0,0.0,0,0,0,0,212757456,265.36,158,41926.880000000005,45066.08,285.22835443037974,-73848.22
JIGOTT - Moisture Real Aloe Vera Toner [300ml],212759698,Корейский успокаивающий тонер с алоэ,Тоники,Jigott,-,51484.42,174073.43,91589.94,312859.42,90,408,0.0,0.0,0,0,-7990.59,-29755.86,0,0,-29766.7,-101679.18,-2348.23,-7350.95,0.0,0.0,0,0,0,0,212759698,166.42,90,14977.8,36506.619999999995,405.62911111111106,-40105.520000000004
