Артикул продавца,Артикул WB,Название,Предмет,Бренд,Размер,"Итог, ₽","Итог, ₽ (предыдущий период)","Выкупы, ₽","Выкупы, ₽ (предыдущий период)","Выкупы, шт","Выкупы, шт (предыдущий период)","Возвраты, ₽","Возвраты, ₽ (предыдущий период)","Возвраты, шт","Возвраты, шт (предыдущий период)","Логистика, ₽","Логистика, ₽ (предыдущий период)","Штрафы, ₽","Штрафы, ₽ (предыдущий период)","Комиссия WB, ₽","Комиссия WB, ₽ (предыдущий период)","Эквайринг, ₽","Эквайринг, ₽ (предыдущий период)","Потери, подмены и товары с дефектами, ₽","Потери, подмены и товары с дефектами, ₽ (предыдущий период)","Доплаты, ₽","Доплаты, ₽ (предыдущий период)","Программа лояльности, ₽","Программа лояльности, ₽ (предыдущий период)",nm,cost,net_units,cogs,profit_after_cogs_before_storage_ads,profit_per_unit_after_cogs_before_storage_ads,wb_costs
PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs],226115248,Корейские гидрогелевые маски для лица тонизирующие,Маски гидрогелевые,Petitfee,-,810.48,295276.99,1364.0,496177.21,1,391,0.0,0.0,0,0,-69.76,-27875.04,0,0,-443.3,-161257.53,-40.46,-11767.65,0.0,0.0,0,0,0,0,226115248,479.27,1,479.27,331.21000000000004,331.21000000000004,-553.5200000000001
PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs],226115324,Корейские гидрогелевые маски для лица охлаждающие с агавой,Маски гидрогелевые,Petitfee,-,325382.67,110242.69,564908.95,184211.8,370,131,0.0,0.0,0,0,-41641.28,-9553.72,0,0,-183593.58,-59868.23,-14291.42,-4547.16,0.0,0.0,0,0,0,0,226115324,479.27,370,177329.9,148052.77,400.1426216216216,-239526.28
PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs],226115478,Корейские гидрогелевые маски для лица с золотом и жемчугом,Маски гидрогелевые,Petitfee,-,1681.2,267922.4,2822.0,449451.5,2,320,0.0,0.0,0,0,-155.22,-24781.46,0,0,-917.14,-146070.13,-68.44,-10677.51,0.0,0.0,0,0,0,0,226115478,457.75,2,915.5,765.7,382.85,-1140.8
PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs],226117746,Корейские гидрогелевые маски для лица с ромашкой,Маски гидрогелевые,Petitfee,-,154217.0,127300.09,261242.48,212274.29,187,161,0.0,0.0,0,0,-15912.9,-11316.96,0,0,-84902.85,-68989.07,-6209.73,-4668.17,0.0,0.0,0,0,0,0,226117746,479.27,187,89623.48999999999,64593.51000000001,345.4198395721926,-107025.48
ELIZAVECCA - (х2) Witch Piggy hell pore blemish spot patch,226322576,Патчи от прыщей Корея прозрачные 88 шт.,Пластыри косметические,Elizavecca,-,279.18,0.0,518.0,0.0,1,0,0.0,0.0,0,0,-55.87,0.0,0,0,-168.35,0.0,-14.6,0.0,0.0,0.0,0,0,0,0,226322576,212.62,1,212.62,66.56,66.56,-238.82
JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea],236825103,Трехшаговый набор тканевых масок для лица 10 шт.,Маски тканевые косметические,JMSolution,-,7838.64,20999.79,14210.0,37188.53,10,28,0.0,0.0,0,0,-1367.48,-3249.87,0,0,-4618.2,-12086.13,-385.68,-852.74,0.0,0.0,0,0,0,0,236825103,367.85,10,3678.5,4160.14,416.014,-6371.360000000001
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N,238358009,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,-,357704.77,340568.68,649168.84,622928.44,1144,1051,-581.0,0.0,1,0,-62829.05,-60007.6,-622,-4214,-210785.55,-202451.29,-16646.47,-15686.87,0.0,0.0,0,0,0,0,238358009,180.54,1143,206357.22,151347.55000000002,132.41255468066493,-290883.06999999995
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N,238358954,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,-,614110.97,703470.55,1067441.8,1231773.22,1231,1645,0.0,0.0,0,0,-80293.79,-96874.27,0,0,-346918.11,-400324.79,-26118.93,-31103.61,0.0,0.0,0,0,0,0,238358954,203.11,1231,250028.41,364082.55999999994,295.76162469536956,-453330.82999999996
LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N,238359400,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,-,254616.1,21838.45,506286.8,40577.83,1420,91,-1770.0,0.0,5,0,-74641.55,-4552.19,0,0,-163967.48,-13187.77,-11291.67,-999.42,0.0,0.0,0,0,0,0,238359400,,1415,,,,-249900.70000000004
LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N,238359757,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,-,233531.58,76390.3,443690.72,144088.87,994,332,0.0,0.0,0,0,-56044.97,-17500.25,0,0,-144194.73,-46828.16,-9919.44,-3370.16,0.0,0.0,0,0,0,0,238359757,,994,,,,-210159.14
ENOUGH collagen moisture BB Cream SPF47 PA+++ N,238413828,BB-крем тональный увлажняющий для лица с коллагеном,Кремы,ENOUGH,-,55856.51,27345.85,101606.52,48587.66,182,76,0.0,0.0,0,0,-10199.18,-4310.54,0,0,-33021.46,-15790.96,-2529.37,-1140.31,0.0,0.0,0,0,0,0,238413828,,182,,,,-45750.01
ENOUGH - Collagen Moisture Essential Cream [50ml] N,238415286,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,-,948279.67,1429838.01,1747912.73,2628243.39,2638,4182,0.0,0.0,0,0,-187456.59,-279394.38,0,-20,-568058.56,-854176.55,-44117.91,-64814.45,0.0,0.0,0,0,0,0,238415286,161.3,2638,425509.4,522770.27,198.1691698256255,-799633.06
Enough Collagen Whitening Moisture Cream 3in1 50 N,238416010,Корейский крем для лица отбеливающий 3в1 коллаген,Кремы,ENOUGH,-,84618.49,105169.11,152746.2,193125.41,225,304,0.0,0.0,0,0,-14809.62,-20494.39,0,0,-49641.4,-62765.4,-3676.69,-4696.51,0.0,0.0,0,0,0,0,238416010,183.88,225,41373.0,43245.490000000005,192.2021777777778,-68127.71
Робот мойщик окон sBot w250,240311751,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,-,1055195.97,1337890.74,1669990.99,1945435.53,294,231,-11387.0,0.0,2,0,-136472.86,-96703.65,0,0,-422943.01,-496086.01,-43992.15,-14755.13,0.0,0.0,0,0,0,0,240311751,2988.586437908497,292,872667.2398692811,182528.7301307189,625.0983908586264,-603408.02
THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml],247275092,Кислотный тоник для лица от прыщей Glycolic Acid 7%,Тоники,The ordinary,-,18196.29,19043.24,29744.79,30424.95,11,12,0.0,0.0,0,0,-1118.65,-764.89,0,0,-9667.05,-9888.05,-762.8,-728.77,0.0,0.0,0,0,0,0,247275092,845.49,11,9300.39,8895.900000000001,808.718181818182,-11548.499999999998
SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cleansing Bar [106g],248928046,Корейское мыло для лица от прыщей,Мыло косметическое,Some by mi,-,847.42,3013.58,1583.0,4800.0,1,3,0.0,0.0,0,0,-165.67,-168.88,0,0,-514.47,-1560.0,-55.44,-57.54,0.0,0.0,0,0,0,0,248928046,549.71,1,549.71,297.7099999999999,297.7099999999999,-735.5799999999999
SOME BY MI - AHA-BHA-PHA 30 Days Miracle Acne Clear Body Cleanser [400g],248928555,Гель для душа против прыщей,Скрабы,Some by mi,-,1345.39,58741.92,2700.0,96727.59,1,38,0.0,0.0,0,0,-393.27,-4512.96,0,0,-877.5,-31436.43,-83.84,-2036.28,0.0,0.0,0,0,0,0,248928555,984.2,1,984.2,361.19000000000005,361.19000000000005,-1354.61
SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g],248929125,Крем для лица от прыщей для проблемной кожи,Кремы,Some by mi,-,22243.41,17569.9,35616.0,28168.0,12,10,0.0,0.0,0,0,-845.81,-684.07,0,0,-11575.2,-9154.6,-951.58,-759.43,0.0,0.0,0,0,0,0,248929125,1057.2,12,12686.400000000001,9557.009999999998,796.4174999999999,-13372.59
JIGOTT - MASK 15,255574453,Увлажняющие тканевые маски для лица Корея 15 штук,Маски тканевые косметические,Jigott,-,19794.38,26852.01,35580.07,50571.2,28,61,0.0,0.0,0,0,-3194.53,-6989.49,0,0,-11563.52,-16033.62,-1027.64,-1291.29,0.0,595.21,0,0,0,0,255574453,334.05,28,9353.4,10440.980000000001,372.8921428571429,-15785.69
Elizavecca Milky Piggy Carbonated Bubble Clay Mask N,307071318,Маска для лица пузырьковая глиняная,Маски косметические,Elizavecca,-,0.0,36120.5,0.0,66775.04,0,62,0.0,0.0,0,0,0.0,-7736.99,0,0,0.0,-21368.01,0.0,-1549.54,0.0,0.0,0,0,0,0,307071318,512.19,0,0.0,0.0,,0.0
ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N,307073881,Очищающая пенка для снятия макияжа Baking Powder 160ml,Скрабы,Etude house,-,78265.95,348010.19,135473.95,601692.17,122,597,0.0,0.0,0,0,-9536.75,-43621.07,0,0,-44028.45,-195549.73,-3642.8,-14511.18,0.0,0.0,0,0,0,0,307073881,292.89,122,35732.58,42533.369999999995,348.6341803278688,-57208.0
Триммер Золото,315688951,Триммер для бритья бороды мужской,Триммеры,Триммер для бороды,-,948.66,0.0,1666.0,0.0,2,0,0.0,0.0,0,0,-238.8,0.0,0,0,-424.82,0.0,-53.72,0.0,0.0,0.0,0,0,0,0,315688951,,2,,,,-717.34
JMSOLUTION - Mask Pack Black [8pcs],333259566,Маски для лица тканевые,Маски тканевые косметические,JMSolution,-,352.76,5098.74,631.89,9479.93,1,15,0.0,0.0,0,0,-61.41,-1085.74,0,0,-205.36,-3080.97,-12.36,-214.48,0.0,0.0,0,0,0,0,333259566,,1,,,,-279.13
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2,333318356,Солнцезащитный крем для лица спф 50,Кремы,ENOUGH,-,159405.99,55322.69,290952.84,99747.5,552,169,0.0,0.0,0,0,-29741.61,-9496.73,0,0,-94559.5,-32417.89,-7245.74,-2510.19,0.0,0.0,0,0,0,0,333318356,,552,,,,-131546.85
PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch,340752919,Патчи для глаз Корея комплект,Патчи,Petitfee,-,1697.55,925.5,4010.0,2274.0,10,6,0.0,0.0,0,0,-903.88,-551.81,0,0,-1303.2,-739.02,-105.37,-57.67,0.0,0.0,0,0,0,0,340752919,,10,,,,-2312.45
FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE,419630142,Сыворотка для лица увлажняющая c муцыном улитки,Сыворотки,Farm Stay,-,236828.71,113666.16,408231.56,196392.26,364,207,0.0,0.0,0,0,-28865.66,-14119.62,0,0,-132675.18,-63827.43,-9862.01,-4779.05,0.0,0.0,0,0,0,0,419630142,390.46,364,142127.44,94701.26999999999,260.1683241758241,-171402.85
ROUND LAB 1025 DOKDO CLEANSER_150ml,437154709,Увлажняющая пенка для умывания лица Корея,Пенки,round lab,-,1712506.03,3515422.44,3039939.94,6148440.2,1930,4144,-3148.0,-1485.0,2,1,-255602.09,-496082.53,0,0,-986956.75,-1997742.22,-81727.07,-137708.02,0.0,0.0,0,0,0,0,437154709,463.19,1928,893030.32,819475.7100000001,425.0392686721992,-1324285.9100000001
ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml,437190353,Увлажняющий крем для лица с берёзовым соком Корея,Кремы,round lab,-,53956.29,11775.98,87591.96,19610.03,35,9,0.0,0.0,0,0,-2888.72,-1031.94,0,0,-28467.22,-6373.25,-2279.73,-428.86,0.0,0.0,0,0,0,0,437190353,1093.2,35,38262.0,15694.29,448.40828571428574,-33635.670000000006
ROUND LAB BIRCH JUICE MOISTURIZING CLEANSER_150ml,437203627,Гель для умывания лица увлажняющий Корея,Пенки,round lab,-,2115.76,176085.28,3607.0,306220.2,2,191,0.0,0.0,0,0,-207.69,-24582.17,0,0,-1172.27,-99520.64,-111.28,-6032.11,0.0,0.0,0,0,0,0,437203627,512.44,2,1024.88,1090.88,545.44,-1491.24
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml,437231408,Солнцезащитный крем spf 50 для лица с спф,Кремы,round lab,-,18584.24,1525870.36,31193.12,2503253.57,17,1442,0.0,0.0,0,0,-1700.68,-104493.97,0,0,-10137.76,-813556.83,-770.44,-59332.41,0.0,0.0,0,0,0,0,437231408,853.87,17,14515.79,4068.4500000000007,239.32058823529417,-12608.880000000001
ROUND LAB MUGWORT CALMING TONER_300ml,437238521,Тоник для лица увлажняющий успокаивающий Корея,Тоники,round lab,-,0.0,5681.7,0.0,3280.72,0,3,0.0,0.0,0,0,0.0,-531.91,0,0,0.0,593.78,0.0,-120.17,0.0,2459.28,0,0,0,0,437238521,819.9,0,0.0,0.0,,0.0
ROUND LAB MUGWORT CALMING CLEANSER_150ml,437242640,Очищающая пенка для умывания лица от прыщей и акне Корея,Пенки,round lab,-,102546.96,10052.84,173286.59,14145.21,115,11,0.0,0.0,0,0,-9819.86,-1128.9,0,0,-56317.6,-3810.23,-4602.17,-319.03,0.0,1165.79,0,0,0,0,437242640,512.32,115,58916.8,43630.16,379.3926956521739,-70739.62999999999
ROUND LAB MUGWORT CALMING SOOTHING GEL_150ml,437248870,Увлажняющий крем гель для лица и тела от воспалений Корея,Кремы,round lab,-,894.44,105384.87,1501.0,176746.46,1,124,0.0,0.0,0,0,-80.46,-10872.81,0,0,-487.82,-57441.99,-38.28,-3046.79,0.0,0.0,0,0,0,0,437248870,622.16,1,622.16,272.2800000000001,272.2800000000001,-606.56
ROUND LAB SOYBEAN PANTHENOL CREAM_80ml,437254254,Крем для лица с чёрной соей и пантенолом успокаивающий Корея,Кремы,round lab,-,54653.06,2915.77,88199.68,4573.0,36,2,0.0,0.0,0,0,-2752.23,-104.83,0,0,-28664.89,-1486.22,-2129.5,-66.18,0.0,0.0,0,0,0,0,437254254,1161.41,36,41810.76,12842.299999999996,356.73055555555544,-33546.619999999995
ROUND LAB PINE CALMING CICA AMPOULE_30ml,437776835,Сыворотка для жирной кожи лица увлажняющая с центеллой,Сыворотки,round lab,-,58172.71,157315.63,95023.55,252837.43,42,118,0.0,0.0,0,0,-3584.89,-8017.84,0,0,-30882.47,-82172.09,-2383.48,-5331.87,0.0,0.0,0,0,0,0,437776835,819.72,42,34428.24,23744.47,565.3445238095238,-36850.840000000004
ROUND LAB VITA NIACINAMIDE DARK SPOT SERUM 30ml,437797551,Сыворотка для лица c витамином С и ниацинамидом,Сыворотки,round lab,-,42005.59,222789.07,68784.78,359711.23,30,181,0.0,0.0,0,0,-2731.44,-12581.42,0,0,-22354.9,-116905.25,-1692.85,-7435.49,0.0,0.0,0,0,0,0,437797551,956.62,30,28698.6,13306.989999999998,443.56633333333326,-26779.19
ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml,437845041,Крем для лица с ниацинамидом от чёрных точек Корея,Кремы,round lab,-,200324.52,229510.64,326749.52,371998.2,137,166,0.0,0.0,0,0,-11959.56,-12938.06,0,0,-106193.57,-120898.71,-8271.87,-8650.79,0.0,0.0,0,0,0,0,437845041,1024.65,137,140377.05000000002,59947.46999999997,437.5727737226275,-126425.0
ROUND LAB SOYBEAN CLEANSING OIL_200ml,437850261,Гидрофильное масло для лица для умывания Корея,Гидрофильные масла,round lab,-,32211.52,42978.65,55112.0,75515.43,26,38,0.0,-2001.9,0,1,-3590.87,-5019.01,0,0,-17911.4,-23891.86,-1398.21,-1624.01,0.0,0.0,0,0,0,0,437850261,,26,,,,-22900.48
CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml],551387355,Крем-Бустер для лица с микроиглами и ретинолом,Кремы,Celimax,-,45580.73,69645.71,74227.52,113038.88,39,62,0.0,0.0,0,0,-2684.79,-3985.9,0,0,-24123.93,-36737.41,-1838.07,-2669.86,0.0,0.0,0,0,0,0,551387355,492.13,39,19193.07,26387.660000000003,676.6066666666668,-28646.79
CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml],551392965,Крем для восстановления барьера лица,Кремы,Celimax,-,18295.42,12022.94,29593.16,19200.0,12,8,0.0,0.0,0,0,-962.08,-457.44,0,0,-9617.72,-6240.0,-717.94,-479.62,0.0,0.0,0,0,0,0,551392965,864.11,12,10369.32,7926.0999999999985,660.5083333333332,-11297.74
CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml],551447345,Отбеливающий крем для выравнивания тона и микрорельефа,Кремы,Celimax,-,15458.09,20214.71,25120.92,32373.98,10,14,0.0,0.0,0,0,-855.06,-1040.99,0,0,-8164.29,-10521.54,-643.48,-596.74,0.0,0.0,0,0,0,0,551447345,623.43,10,6234.299999999999,9223.79,922.3790000000001,-9662.83
CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml],551465879,Лифтинг-сыворотка для лица с микроиглами и ретинолом,Сыворотки,Celimax,-,954879.02,583044.81,1565948.75,945162.35,782,477,-3869.95,0.0,2,0,-61961.79,-32322.79,0,0,-507671.73,-307175.46,-37566.26,-22619.29,0.0,0.0,0,0,0,0,551465879,525.94,780,410233.20000000007,544645.82,698.2638717948718,-607199.78
CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml],551472457,Сыворотка для лица с экстрактом нони,Сыворотки,Celimax,-,5831.06,16074.98,9445.0,25739.67,5,13,0.0,0.0,0,0,-318.68,-747.92,0,0,-3069.6,-8365.38,-225.66,-551.39,0.0,0.0,0,0,0,0,551472457,763.83,5,3819.15,2011.9100000000003,402.38200000000006,-3613.9399999999996
CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml],551482493,Сыворотка для лица отбеливающая,Сыворотки,Celimax,-,11598.53,18864.93,18568.0,30353.0,8,14,0.0,0.0,0,0,-518.03,-943.67,0,0,-6034.56,-9864.71,-416.88,-679.69,0.0,0.0,0,0,0,0,551482493,687.58,8,5500.64,6097.89,762.23625,-6969.47
CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml],551490295,Сыворотка для лица осветляющая,Сыворотки,Celimax,-,3643.43,7927.94,6996.0,15198.0,11,25,0.0,0.0,0,0,-912.99,-1945.78,0,0,-2273.7,-4939.35,-165.88,-384.93,0.0,0.0,0,0,0,0,551490295,272.44,11,2996.84,646.5899999999997,58.78090909090906,-3352.5699999999997
CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml],551518955,Увлажняющий тонер для лица с экстрактом нони,Тоники,Celimax,-,7174.47,11023.09,11607.0,17772.0,5,8,0.0,0.0,0,0,-414.02,-634.36,0,0,-3772.25,-5775.86,-246.26,-338.69,0.0,0.0,0,0,0,0,551518955,719.58,5,3597.9,3576.57,715.3140000000001,-4432.530000000001
CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads],551540924,Отбеливающие тонер пэды для лица,Пэды косметические,Celimax,-,80397.31,421571.93,129996.11,694255.03,71,396,0.0,0.0,0,0,-6322.78,-30336.99,0,-40,-41333.73,-225632.64,-3297.35,-16673.47,1355.06,0.0,0,0,0,0,551540924,556.18,71,39488.78,40908.53,576.1764788732394,-49598.8
CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml],551600265,Успокаивающие тонер пэды для лица с кислотами,Пэды косметические,Celimax,-,0.0,9905.72,0.0,19577.55,0,41,0.0,0.0,0,0,0.0,-2891.51,0,0,0.0,-6362.68,0.0,-417.64,0.0,0.0,0,0,0,0,551600265,96.94,0,0.0,0.0,,0.0
CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads],551607905,Успокаивающие тонер пэды для лица с кислотами,Пэды косметические,Celimax,-,298558.94,306163.36,498471.44,502127.69,260,256,-1890.0,0.0,1,0,-24063.81,-20744.85,0,0,-161388.91,-163191.43,-12569.78,-12028.05,0.0,0.0,0,0,0,0,551607905,707.88,259,183340.92,115218.01999999999,444.85722007722006,-198022.5
CELIMAX THE REAL NONI STARTER KIT (NEW) [30ml+10ml+10ml],551616449,Увлажняющий набор уходовых средств для лица,Косметические наборы для ухода,Celimax,-,14219.95,114236.42,23968.0,197363.5,11,122,0.0,0.0,0,0,-1357.21,-15476.02,0,0,-7789.6,-64143.11,-601.24,-3507.95,0.0,0.0,0,0,0,0,551616449,634.34,11,6977.740000000001,7242.21,658.3827272727273,-9748.050000000001
CELIMAX DUAL BARRIER TRIAL KIT [20ml+10ml],551626041,Набор уходовых средств для лица для защиты барьера,Косметические наборы для ухода,Celimax,-,0.0,2572.91,0.0,1529.15,0,2,0.0,0.0,0,0,0.0,-129.92,0,0,0.0,193.45,0.0,-42.62,0.0,1022.85,0,0,0,0,551626041,484.71,0,0.0,0.0,,0.0
dm7dm11-45,555134309,Дед Мороз под елку 45 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,0.0,242.44,0.0,1428.0,0,1,0.0,0.0,0,0,0.0,-738.3,0,0,0.0,-421.26,0.0,-26.0,0.0,0.0,0,0,0,0,555134309,452.43,0,0.0,0.0,,0.0
dm7dm11-50,555135716,Дед Мороз под елку 50 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,0.0,-133.78,0.0,3472.0,0,2,0.0,0.0,0,0,0.0,-2491.26,0,0,0.0,-1024.24,0.0,-90.28,0.0,0.0,0,0,0,0,555135716,506.68,0,0.0,0.0,,0.0
dm7dm3-45,555204573,Дед Мороз под елку 45 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,868.49,3515.77,2915.0,14849.86,2,10,0.0,0.0,0,0,-1109.51,-6699.3,0,0,-859.92,-4380.66,-77.08,-254.13,0.0,0.0,0,0,0,0,555204573,452.43,2,904.86,-36.370000000000005,-18.185000000000002,-2046.5099999999998
dm7dm3-50,555208894,Дед Мороз под елку 50 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,0.0,-15.82,0.0,7192.0,0,4,0.0,-1798.0,0,1,0.0,-3706.2,0,0,0.0,-1591.23,0.0,-112.39,0.0,0.0,0,0,0,0,555208894,506.68,0,0.0,0.0,,0.0
dm7dm5-45,555212357,Дед Мороз под елку 45 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,0.0,1029.22,0.0,2407.6,0,2,0.0,0.0,0,0,0.0,-620.44,0,0,0.0,-710.24,0.0,-47.7,0.0,0.0,0,0,0,0,555212357,452.43,0,0.0,0.0,,0.0
dm7dm5-50,555213580,Дед Мороз под елку 50 см,Фигурки и статуэтки,Дед Мороз Фигурка,-,492.2,2465.88,1488.0,-128.81,1,1,0.0,0.0,0,0,-517.64,-496.58,0,0,-438.96,1308.98,-39.2,-20.52,0.0,1802.81,0,0,0,0,555213580,506.68,1,506.68,-14.480000000000018,-14.480000000000018,-995.8
DEOPROCE SHAMPOO - BLACK GARLIC[600ml] с колпачком,608624295,Шампунь для волос женский c черным,Шампуни,DEOPROCE,-,29260.16,37501.72,52626.85,70619.91,46,65,0.0,0.0,0,0,-5800.3,-9534.3,0,0,-16171.17,-21892.15,-1395.22,-1691.74,0.0,0.0,0,0,0,0,608624295,314.85,46,14483.1,14777.06,321.2404347826087,-23366.690000000002
DEOPROCE SHAMPOO - BLACK GARLIC[600ml] без колпачка,608837066,Шампунь для волос женский c черным чесноком,Шампуни,DEOPROCE,-,38514.09,41173.06,71399.13,77970.34,68,78,0.0,0.0,0,0,-9168.22,-10662.18,0,0,-21923.72,-24170.8,-1793.1,-1964.3,0.0,0.0,0,0,0,0,608837066,269.87,68,18351.16,20162.929999999997,296.51367647058817,-32885.04
DEOPROCE SHAMPOO - BLACK GARLIC[200ml],608841921,Шампунь для волос женский c черным чесноком,Шампуни,DEOPROCE,-,40273.75,47950.78,66982.57,84810.18,96,126,0.0,0.0,0,0,-7082.04,-9754.32,0,0,-19458.8,-25745.84,-1878.83,-2149.49,1710.85,790.25,0,0,0,0,608841921,151.13,96,14508.48,25765.27,268.3882291666667,-26708.82
ENOUGH Collagen whitening cover tip concealer #01,611717011,"Консилер для лица плотный 01, корректор светлый",Корректоры,ENOUGH,-,5274.49,8145.32,9328.0,14472.46,11,18,0.0,0.0,0,0,-766.95,-1284.89,0,0,-3031.6,-4703.54,-254.96,-338.71,0.0,0.0,0,0,0,0,611717011,183.24,11,2015.64,3258.8499999999995,296.25909090909084,-4053.51
ENOUGH Collagen whitening cover tip concealer #02,611744611,"Консилер для лица плотный 02, корректор светлый",Корректоры,ENOUGH,-,4312.43,1957.77,7632.39,3600.0,8,4,0.0,0.0,0,0,-618.12,-388.49,0,0,-2480.52,-1170.0,-221.32,-83.74,0.0,0.0,0,0,0,0,611744611,183.24,8,1465.92,2846.51,355.81375,-3319.96
ENOUGH Collagen whitening cover tip concealer #03,611745490,Консилер для лица плотный 03,Корректоры,ENOUGH,-,1509.14,1066.92,2862.0,1800.0,3,2,0.0,0.0,0,0,-344.91,-97.0,0,0,-930.15,-585.0,-77.8,-51.08,0.0,0.0,0,0,0,0,611745490,183.24,3,549.72,959.4200000000001,319.8066666666667,-1352.86
Collagen_Enough_Moisture_Foundation_23,611747838,Увлажняющий тональный крем для лица тон 23,Тональные кремы,ENOUGH,-,15334.22,47108.09,27024.37,82497.47,27,87,0.0,0.0,0,0,-2240.48,-6601.51,0,0,-8782.92,-26811.26,-666.75,-1976.61,0.0,0.0,0,0,0,0,611747838,242.88,27,6557.76,8776.46,325.05407407407404,-11690.15
videokamera4gneww,663654300,Камера видеонаблюдения уличная от сим карты 4G,Камеры видеонаблюдения,Камера видеонаблюдения IP Wi-Fi,-,4407.57,47544.38,10878.0,68894.0,3,19,-3626.0,0.0,1,0,-824.37,-3903.6,-30,0,-1776.74,-16879.03,-213.32,-566.99,0.0,0.0,0,0,0,0,663654300,,2,,,,-2844.4300000000003
PETITFEE - MASK 6,664171647,Гидрогелевые маски для лица набор 6 шт.,Маски гидрогелевые,Petitfee,-,0.0,43919.19,0.0,72083.57,0,49,0.0,0.0,0,0,0.0,-5473.41,0,-30,0.0,-22631.72,0.0,-1207.68,0.0,1178.43,0,0,0,0,664171647,,0,,,,0.0
PETITFEE - MASK 5,664171648,Гидрогелевые маски для лица набор 5 шт.,Маски гидрогелевые,Petitfee,-,0.0,25229.14,0.0,43085.68,0,35,0.0,0.0,0,0,0.0,-3180.8,0,0,0.0,-14002.69,0.0,-673.05,0.0,0.0,0,0,0,0,664171648,,0,,,,0.0
Celimax Dual Barrier Creamy Toner,868516027,Кремовый тонер с молочной текстурой Dual Barrier,Тоники,Celimax,-,5615431.08,0.0,9691176.75,0.0,5380,0,-3600.0,0.0,2,0,-678281.99,0.0,0,0,-3148438.56,0.0,-245425.12,0.0,0.0,0.0,0,0,0,0,868516027,663.86,5378,3570239.08,2045192.0,380.28858311640016,-4072145.67
MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml],868575374,Гель пенка для умывания Bifida Complex Ampoule Gel Cleanser,Пенки,manyo,-,137101.95,0.0,228000.0,0.0,76,0,0.0,0.0,0,0,-11225.68,0.0,0,0,-74100.0,0.0,-5572.37,0.0,0.0,0.0,0,0,0,0,868575374,739.91,76,56233.159999999996,80868.79000000001,1064.0630263157896,-90898.04999999999
MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml],868700077,Сыворотка с микроиглами 1Dx для интенсивного ухода,Сыворотки,manyo,-,194390.27,6480.23,311715.0,10000.0,77,1,0.0,0.0,0,0,-8706.73,-50.57,-10,0,-101307.37,-3250.0,-7300.63,-219.2,0.0,0.0,0,0,0,0,868700077,996.75,77,76749.75,117640.51999999999,1527.798961038961,-117324.73
