Артикул WB,Артикул продавца,Название,Предмет,Бренд,Регион,"Итого заказов, шт","Итого заказов по товарам локально, шт","Итого заказов по товарам не локально, шт",Локальность_региона_%,"Остатки склад ВБ, шт",Целевой_остаток_30дней_с_буфером,Рекомендовано_поставить_шт,Первая_волна_14дней_шт,Прибыль_на_шт_до_рекламы,Прибыль_если_рекомендованный_объем_продастся,Потенциал_прибыли_от_возврата_спроса,Потенциал_экономии_ИРП_мес,Потенциал_прибыли_SKU_по_упущенным_выкупам,Упущенные_выкупы_SKU_очищено,Упущенные_выкупы_руб_SKU_очищено,Переплата_ИРП_SKU_мес,Время доставки
179611207,Petitfee GOLD & SNAIL HYDROGEL EYE PATCH,Гидрогелевые патчи для глаз Корея антивозрастные от отеков,Патчи,Petitfee,Северо-Западный,16,0,16,0.0,0,19.0,19.0,9.0,231.08691050583653,4390.651299610894,0.0,215.77439248826295,0.0,0.0,0.0,957.4988666666668,2д 5ч
868575374,MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml],Гель пенка для умывания Bifida Complex Ampoule Gel Cleanser,Пенки,manyo,Дальневосточный и Сибирский,16,0,16,0.0,0,19.0,19.0,9.0,1051.631846391579,19981.005081440002,0.0,248.16326530612244,0.0,0.0,0.0,760.0,4д 6ч
170198109,Enough Rich Gold Double Wea Radiance Foundation 21 тон,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,Дальневосточный и Сибирский,16,0,16,0.0,0,19.0,19.0,9.0,305.791677631579,5810.041875000001,0.0,172.75731063829787,0.0,0.0,0.0,507.4746,3д 10ч
151175877,Petitfee Agave Cooling Hydrogel Eye Mask,Гидрогелевые патчи от отеков и мешков под глазами,Патчи,Petitfee,Дальневосточный и Сибирский,16,0,16,0.0,0,19.0,19.0,9.0,327.8344297520661,6228.854165289256,0.0,356.8057043478261,0.0,0.0,0.0,1025.8164000000002,5д 14ч
190159348,Elizavecca 24k gold snail Cleansing Foam 180ml,Очищающая пенка для лица с настоящим золотом,Скрабы,Elizavecca,Дальневосточный и Сибирский,16,0,16,0.0,0,19.0,19.0,9.0,321.8532823529411,6115.212364705881,0.0,231.82398699186996,0.0,0.0,0.0,594.0489666666667,5д 10ч
212757456,JIGOTT - Daily Real Cica Toner [300ml],Корейский тонер для лица увлажняющий с центеллой,Тоники,Jigott,Дальневосточный и Сибирский,16,0,16,0.0,1,19.0,18.0,9.0,270.08717030622785,4861.569065512102,0.0,209.2242991869919,0.0,0.0,0.0,536.1372666666667,4д 11ч
238359757,LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,Уральский,17,2,15,11.76470588235294,0,20.0,20.0,10.0,,,,116.14940314136126,,231.92,99464.83,1478.9690666666668,2д 13ч
333318356,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N2,Солнцезащитный крем для лица спф 50,Кремы,ENOUGH,Уральский,16,1,15,6.25,0,19.0,19.0,9.0,,,,51.770967971530254,,0.0,0.0,969.8428,1д 20ч
207477077,FARMSTAY - Collagen Water Full Moist Cream [100g],Увлажняющий крем для лица с коллагеном,Кремы,farmstay,Уральский,17,3,14,17.647058823529413,2,20.0,18.0,9.0,472.08865277777767,8497.595749999999,794.2125205303028,254.27614444444447,7194.631068333331,15.24,23430.47,1525.656866666667,2д 14ч
207796898,ENOUGH - Gold Snail Moisture Foundation [Tone 21],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,Северо-Западный,15,0,15,0.0,0,18.0,18.0,9.0,235.31848578811372,4235.732744186047,576.5971420234321,141.1460450819672,6765.40646640827,28.75,24748.18,1147.9878333333334,2д 5ч
214305722,DEOPROCE SHAMPOO+BALSAM - BLACK GARLIC[2000ml],Шампунь для волос женский и бальзам c черным чесноком набор,Шампуни,DEOPROCE,Дальневосточный и Сибирский,15,0,15,0.0,0,18.0,18.0,9.0,749.8959690666666,13498.1274432,481.00470015847617,403.9289183673469,3367.032901109333,4.49,11456.08,1319.5011333333332,3д 13ч
437154709,ROUND LAB 1025 DOKDO CLEANSER_150ml,Увлажняющая пенка для умывания лица Корея,Пенки,round lab,Казахстан,15,0,15,0.0,0,18.0,18.0,9.0,420.85823596836104,7575.448247430499,0.0,300.0782549407115,0.0,0.0,0.0,10122.6398,4д 0ч
169198316,Etude House Baking Powder Pore Cleansing Foam 160 ml белая,Пенка для умывания от черных точек Baking Powder 160ml,Скрабы,Etude house,Северо-Западный,15,0,15,0.0,0,18.0,18.0,9.0,347.5031120996441,6255.056017793594,0.0,173.44908139534886,0.0,0.0,0.0,994.4414,1д 18ч
207479264,EKEL Ampoule Cream Collagen [50ml],Ампульный крем для лица с коллагеном,Кремы,EKEL,Дальневосточный и Сибирский,15,0,15,0.0,0,18.0,18.0,9.0,296.70775000000003,5340.739500000001,0.0,90.10057692307693,0.0,0.0,0.0,468.523,4д 9ч
204258828,COSRX_Salicylic_Acid_Cleanser,Пенка для умывания от прыщей,Скрабы,COSRX,Дальневосточный и Сибирский,15,0,15,0.0,0,18.0,18.0,9.0,384.536525,6921.65745,0.0,244.3874047619048,0.0,0.0,0.0,342.1423666666667,4д 3ч
212757456,JIGOTT - Daily Real Cica Toner [300ml],Корейский тонер для лица увлажняющий с центеллой,Тоники,Jigott,Северо-Западный,18,3,15,16.666666666666664,10,21.0,11.0,6.0,270.08717030622785,2970.9588733685064,0.0,196.1477804878049,0.0,0.0,0.0,536.1372666666667,1д 13ч
226115141,PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица против морщин,Маски гидрогелевые,Petitfee,Северо-Западный,16,3,13,18.75,0,19.0,19.0,9.0,424.03981954887223,8056.756571428572,0.0,319.04879259259263,0.0,0.0,0.0,662.6398000000002,1д 14ч
238358009,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,Беларусь,14,0,14,0.0,0,17.0,17.0,8.0,130.97546981627298,2226.5829868766405,1537.8266496027998,155.21760273504273,32953.42820577428,251.6,141184.38,2161.9594666666667,2д 0ч
238358954,ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,Беларусь,14,0,14,0.0,0,17.0,17.0,8.0,290.6899179528838,4941.728605199024,0.0,398.5116053333333,0.0,0.0,0.0,3558.139333333333,1д 15ч
212889025,Enoughcollagenwhiteningcovertip01,"Консилер для лица плотный 01, корректор светлый",Корректоры,ENOUGH,Северо-Западный,14,0,14,0.0,0,17.0,17.0,8.0,439.6868034188035,7474.67565811966,0.0,120.65905833333336,0.0,0.0,0.0,413.68820000000005,2д 6ч
437190353,ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml,Увлажняющий крем для лица с берёзовым соком Корея,Кремы,round lab,Дальневосточный и Сибирский,14,0,14,0.0,0,17.0,17.0,8.0,394.77308571428574,6711.142457142858,0.0,194.6488,0.0,0.0,0.0,291.9732,4д 5ч
165002270,ENOUGH collagen moisture BB Cream SPF47 PA+++ BB,BB крем тональный солнцезащитный с коллагеном,Кремы,ENOUGH,Дальневосточный и Сибирский,14,0,14,0.0,0,17.0,17.0,8.0,,,,64.82890081300815,,5.0,2754.08,189.8560666666667,4д 13ч
170198180,Enough Rich Gold Double Wea Radiance Foundation 13 тон,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,Северо-Западный,14,1,13,7.142857142857142,0,17.0,17.0,8.0,267.357252631579,4545.073294736843,0.0,132.0113129943503,0.0,0.0,0.0,599.1282666666667,1д 12ч
207469760,FARMSTAY - Gold Snail Premium Cream [50ml],Корейский крем для лица антивозрастной премиум,Кремы,farmstay,Беларусь,13,0,13,0.0,0,16.0,16.0,8.0,336.3342913000978,5381.348660801565,1038.7610176562082,244.8287141843972,45146.15192121212,134.23,186692.52,4425.749833333334,1д 17ч
207476309,FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml],Корейский шампунь для волос с аргановым маслом,Шампуни,Farm Stay,Беларусь,13,0,13,0.0,0,16.0,16.0,8.0,309.1380939084022,4946.209502534435,0.0,305.3998437659033,0.0,0.0,0.0,3077.4907333333335,1д 9ч
868761530,LANEIGE LIP SLEEPING MASK-BERRY [3g],Бальзам маска для губ Lip Sleeping Mask Berry,Бальзамы,LANEIGE,Северо-Западный,13,0,13,0.0,0,16.0,16.0,8.0,234.72627272727271,3755.6203636363634,0.0,46.77655289855072,0.0,0.0,0.0,331.03406666666666,1д 21ч
212889027,Enoughcollagenwhiteningcovertip,Консилер для лица плотный 02 корректор,Корректоры,ENOUGH,Дальневосточный и Сибирский,13,0,13,0.0,0,16.0,16.0,8.0,414.2283443396226,6627.6535094339615,0.0,162.40691999999999,0.0,0.0,0.0,374.7852,3д 15ч
238413828,ENOUGH collagen moisture BB Cream SPF47 PA+++ N,BB-крем тональный увлажняющий для лица с коллагеном,Кремы,ENOUGH,Северо-Западный,15,2,13,13.333333333333334,6,18.0,12.0,6.0,,,,118.99862702702706,,0.0,0.0,338.68840000000006,1д 17ч
868575374,MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml],Гель пенка для умывания Bifida Complex Ampoule Gel Cleanser,Пенки,manyo,Северо-Западный,13,1,12,7.6923076923076925,0,16.0,16.0,8.0,1051.631846391579,16826.109542265265,0.0,186.12244897959184,0.0,0.0,0.0,760.0,2д 4ч
170198738,Enough 8 Peptide Full Cover Perfect Foundation 13 тон,Корейский тональный крем с пептидами 13 тон,Тональные кремы,ENOUGH,Северо-Западный,13,1,12,7.6923076923076925,0,16.0,16.0,8.0,375.7061985815604,6011.299177304966,0.0,146.2459744680851,0.0,0.0,0.0,572.7967333333333,2д 0ч
212889027,Enoughcollagenwhiteningcovertip,Консилер для лица плотный 02 корректор,Корректоры,ENOUGH,Северо-Западный,15,3,12,20.0,8,18.0,10.0,5.0,414.2283443396226,4142.283443396226,0.0,149.91407999999998,0.0,0.0,0.0,374.7852,1д 23ч
238358009,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,Уральский,12,0,12,0.0,0,14.0,14.0,7.0,130.97546981627298,1833.6565774278217,1318.1371282309713,133.0436594871795,32953.42820577428,251.6,141184.38,2161.9594666666667,3д 1ч
238415286,ENOUGH - Collagen Moisture Essential Cream [50ml] N,Увлажняющий крем для лица Корея Collagen,Кремы,ENOUGH,Казахстан,12,0,12,0.0,0,14.0,14.0,7.0,195.04518119787718,2730.6325367702807,784.4485450929672,110.80270871632331,79229.30305438969,406.21,269315.31,5826.375766666667,3д 16ч
168956391,FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE,Сыворотка для лица увлажняющая 3в1 с коллагеном,Сыворотки,Farm Stay,Казахстан,12,0,12,0.0,0,14.0,14.0,7.0,394.5441277777778,5523.61778888889,0.0,241.27938163265313,0.0,0.0,0.0,11822.689700000004,4д 8ч
551465879,CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml],Лифтинг-сыворотка для лица с микроиглами и ретинолом,Сыворотки,Celimax,Беларусь,12,0,12,0.0,0,14.0,14.0,7.0,691.1290038461539,9675.806053846154,0.0,368.4585294117647,0.0,0.0,0.0,5219.829166666666,1д 8ч
179611207,Petitfee GOLD & SNAIL HYDROGEL EYE PATCH,Гидрогелевые патчи для глаз Корея антивозрастные от отеков,Патчи,Petitfee,Дальневосточный и Сибирский,12,0,12,0.0,0,14.0,14.0,7.0,231.08691050583653,3235.216747081711,0.0,161.8307943661972,0.0,0.0,0.0,957.4988666666668,3д 12ч
190159348,Elizavecca 24k gold snail Cleansing Foam 180ml,Очищающая пенка для лица с настоящим золотом,Скрабы,Elizavecca,Северо-Западный,12,0,12,0.0,0,14.0,14.0,7.0,321.8532823529411,4505.945952941175,0.0,173.86799024390245,0.0,0.0,0.0,594.0489666666667,1д 18ч
208202076,EKEL Ampule Сream Сollagen [70ml],Увлажняющий крем для лица с коллагеном ампульный,Кремы,EKEL,Северо-Западный,12,0,12,0.0,0,14.0,14.0,7.0,226.76133941605843,3174.658751824818,0.0,93.5026536585366,0.0,0.0,0.0,319.46740000000005,3д 14ч
206126372,I'm Sorry for My Skin Крем Age Capture Vitalizer,Крем для лица с витамином C осветляющий,Кремы,I'm Sorry for My Skin,Северо-Западный,12,0,12,0.0,0,14.0,14.0,7.0,374.59847252747255,5244.378615384616,0.0,186.5239096774194,0.0,0.0,0.0,481.85343333333344,2д 10ч
