Артикул продавца	Название	Артикул WB	Размер	Предмет	Бренд	Регион	Время доставки	Итого заказов, шт	Итого заказов по товарам локально, шт	Итого заказов по товарам не локально, шт	Итого заказы по товарам не локально, %	Заказы со склада WB локально, шт	Заказы со склада WB не локально, шт	Заказы со склада WB не локально, %	Заказы Маркетплейс локально, шт	Заказы Маркетплейс не локально, шт	Заказы Маркетплейс не локально, %	Остатки склад WB, шт	Остатки МП, шт
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Дальневосточный и Сибирский	5д 22ч	3953	152	3801	96	152	3801	96	0	0	0	1	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Приволжский	1д 15ч	2076	845	1231	59	845	1231	59	0	0	0	649	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Северо-Западный	2д 3ч	1265	260	1005	79	260	1005	79	0	0	0	232	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Южный и Северо-Кавказский	1д 20ч	2866	1946	920	32	1946	920	32	0	0	0	390	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Уральский	2д 10ч	1083	437	646	60	437	646	60	0	0	0	527	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Беларусь	1д 20ч	312	0	312	100	0	312	100	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Центральный	1д 5ч	3414	3115	299	9	3115	299	9	0	0	0	1007	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Казахстан	4д 5ч	209	12	197	94	12	197	94	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Армения	8д 21ч	62	9	53	85	9	53	85	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Кыргызстан	7д 19ч	18	0	18	100	0	18	100	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Грузия	6д 21ч	9	0	9	100	0	9	100	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Таджикистан	6д 17ч	9	0	9	100	0	9	100	0	0	0	0	0
ROUND LAB 1025 DOKDO CLEANSER_150ml	Увлажняющая пенка для умывания лица Корея	437154709	-	Пенки	round lab	Узбекистан	8д 23ч	7	0	7	100	0	7	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Южный и Северо-Кавказский	1д 22ч	2866	1396	1470	51	1396	1470	51	0	0	0	109	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Дальневосточный и Сибирский	4д 11ч	1319	30	1289	98	30	1289	98	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Приволжский	1д 16ч	1392	477	915	66	477	915	66	0	0	0	56	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Северо-Западный	1д 18ч	988	298	690	70	298	690	70	0	0	0	133	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Беларусь	1д 16ч	450	1	449	100	1	449	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Уральский	2д 1ч	683	268	415	61	268	415	61	0	0	0	230	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Армения	7д 11ч	126	15	111	88	15	111	88	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Центральный	1д 3ч	3145	3060	85	3	3060	85	3	0	0	0	263	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Казахстан	4д 2ч	40	0	40	100	0	40	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Грузия	6д 19ч	29	0	29	100	0	29	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Узбекистан	9д 10ч	5	0	5	100	0	5	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Кыргызстан	7д 9ч	4	0	4	100	0	4	100	0	0	0	0	0
Celimax Dual Barrier Creamy Toner	Кремовый тонер с молочной текстурой Dual Barrier	868516027	-	Тоники	Celimax	Таджикистан	5д 13ч	3	0	3	100	0	3	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Дальневосточный и Сибирский	5д 0ч	1839	36	1803	98	36	1803	98	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Приволжский	1д 13ч	1970	1029	941	48	1029	941	48	0	0	0	203	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Северо-Западный	1д 18ч	968	266	702	73	266	702	73	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Уральский	2д 0ч	996	454	542	54	454	542	54	0	0	0	64	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Беларусь	1д 16ч	300	0	300	100	0	300	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Южный и Северо-Кавказский	1д 13ч	2257	1966	291	13	1966	291	13	0	0	0	252	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Казахстан	4д 2ч	109	2	107	98	2	107	98	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Армения	7д 6ч	92	24	68	74	24	68	74	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Центральный	1д 3ч	3666	3634	32	1	3634	32	1	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Узбекистан	11д 10ч	14	0	14	100	0	14	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Кыргызстан	6д 21ч	8	0	8	100	0	8	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Грузия	7д 4ч	5	0	5	100	0	5	100	0	0	0	0	0
FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE	Сыворотка для лица увлажняющая 3в1 с коллагеном	168956391	-	Сыворотки	Farm Stay	Таджикистан	8д 22ч	2	0	2	100	0	2	100	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Дальневосточный и Сибирский	4д 5ч	1666	19	1647	99	19	1647	99	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Северо-Западный	1д 19ч	931	170	761	82	170	761	82	0	0	0	300	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Беларусь	1д 19ч	393	0	393	100	0	393	100	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Приволжский	1д 9ч	1680	1301	379	23	1301	379	23	0	0	0	450	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Уральский	1д 16ч	815	512	303	37	512	303	37	0	0	0	182	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Центральный	1д 4ч	3866	3675	191	5	3675	191	5	0	0	0	422	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Южный и Северо-Кавказский	1д 13ч	2093	1945	148	7	1945	148	7	0	0	0	164	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Армения	9д 13ч	146	17	129	88	17	129	88	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Казахстан	3д 22ч	126	2	124	98	2	124	98	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Кыргызстан	7д 10ч	6	0	6	100	0	6	100	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Грузия	9д 15ч	4	0	4	100	0	4	100	0	0	0	0	0
ENOUGH - Collagen Moisture Essential Cream [50ml] N	Увлажняющий крем для лица Корея Collagen	238415286	-	Кремы	ENOUGH	Таджикистан	6д 13ч	2	0	2	100	0	2	100	0	0	0	0	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Дальневосточный и Сибирский	4д 19ч	1322	11	1311	99	11	1311	99	0	0	0	0	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Северо-Западный	1д 22ч	563	97	466	83	97	466	83	0	0	0	124	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Приволжский	1д 13ч	1088	645	443	41	645	443	41	0	0	0	16	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Уральский	1д 22ч	556	278	278	50	278	278	50	0	0	0	75	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Беларусь	1д 17ч	222	0	222	100	0	222	100	0	0	0	0	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Южный и Северо-Кавказский	1д 14ч	1372	1161	211	15	1161	211	15	0	0	0	1	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Казахстан	4д 8ч	86	2	84	98	2	84	98	0	0	0	0	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Армения	11д 9ч	24	1	23	96	1	23	96	0	0	0	0	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Узбекистан	9д 17ч	9	0	9	100	0	9	100	0	0	0	0	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Таджикистан	6д 12ч	4	0	4	100	0	4	100	0	0	0	0	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Грузия	6д 11ч	2	0	2	100	0	2	100	0	0	0	0	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Кыргызстан	4д 20ч	2	0	2	100	0	2	100	0	0	0	0	0
JIGOTT - Snail Lifting Cream [70ml]	Крем для лица антивозрастной Snail Lifting Cream	207482718	-	Кремы	Jigott	Центральный	1д 4ч	2453	2453	0	0	2453	0	0	0	0	0	197	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Дальневосточный и Сибирский	3д 15ч	1077	14	1063	99	14	1063	99	0	0	0	0	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Северо-Западный	1д 16ч	654	162	492	75	162	492	75	0	0	0	127	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Приволжский	1д 11ч	1037	749	288	28	749	288	28	0	0	0	212	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Беларусь	1д 16ч	265	0	265	100	0	265	100	0	0	0	0	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Уральский	1д 19ч	407	195	212	52	195	212	52	0	0	0	106	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Южный и Северо-Кавказский	1д 12ч	1610	1411	199	12	1411	199	12	0	0	0	200	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Армения	11д 0ч	55	6	49	89	6	49	89	0	0	0	0	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Казахстан	4д 15ч	48	1	47	98	1	47	98	0	0	0	0	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Центральный	1д 2ч	3525	3509	16	0	3509	16	0	0	0	0	129	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Кыргызстан	7д 8ч	9	0	9	100	0	9	100	0	0	0	0	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Узбекистан	8д 18ч	3	0	3	100	0	3	100	0	0	0	0	0
FARMSTAY - Black Garlic Nourishing Shampoo [530ml]	Корейский шампунь против выпадения волос с черным чесноком	207472742	-	Шампуни	Farm Stay	Грузия	6д 13ч	2	0	2	100	0	2	100	0	0	0	0	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Дальневосточный и Сибирский	5д 2ч	1398	26	1372	98	26	1372	98	0	0	0	0	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Северо-Западный	1д 22ч	624	117	507	81	117	507	81	0	0	0	7	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Уральский	1д 23ч	586	301	285	49	301	285	49	0	0	0	115	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Приволжский	1д 8ч	1044	844	200	19	844	200	19	0	0	0	118	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Беларусь	1д 16ч	74	0	74	100	0	74	100	0	0	0	0	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Казахстан	4д 2ч	58	0	58	100	0	58	100	0	0	0	0	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Южный и Северо-Кавказский	1д 9ч	1470	1443	27	2	1443	27	2	0	0	0	42	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Армения	10д 13ч	26	5	21	81	5	21	81	0	0	0	0	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Кыргызстан	6д 8ч	5	0	5	100	0	5	100	0	0	0	0	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Центральный	1д 4ч	2368	2365	3	0	2365	3	0	0	0	0	34	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Грузия	7д 15ч	2	0	2	100	0	2	100	0	0	0	0	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Таджикистан	5д 2ч	1	0	1	100	0	1	100	0	0	0	0	0
Etude Baking Powder Crunch Pore Scrub	Скраб для лица Baking Powder с содой Корейский	151313163	-	Скрабы	Etude house	Узбекистан	11д 5ч	1	0	1	100	0	1	100	0	0	0	0	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Дальневосточный и Сибирский	4д 21ч	476	3	473	99	3	473	99	0	0	0	0	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Северо-Западный	1д 19ч	260	74	186	72	74	186	72	0	0	0	79	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Беларусь	1д 21ч	174	0	174	100	0	174	100	0	0	0	0	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Южный и Северо-Кавказский	1д 15ч	1067	909	158	15	909	158	15	0	0	0	42	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Приволжский	1д 12ч	586	438	148	25	438	148	25	0	0	0	29	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Уральский	2д 0ч	195	92	103	53	92	103	53	0	0	0	47	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Центральный	1д 4ч	1079	986	93	9	986	93	9	0	0	0	96	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Казахстан	3д 23ч	52	3	49	94	3	49	94	0	0	0	0	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Армения	9д 17ч	44	8	36	82	8	36	82	0	0	0	0	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Кыргызстан	8д 12ч	10	0	10	100	0	10	100	0	0	0	0	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Узбекистан	7д 15ч	10	1	9	90	1	9	90	0	0	0	0	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Грузия	6д 8ч	4	0	4	100	0	4	100	0	0	0	0	0
ENOUGH - Collagen 3in1 Sun Cream SPF50 PA++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358954	-	Кремы	ENOUGH	Таджикистан	7д 2ч	4	0	4	100	0	4	100	0	0	0	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Дальневосточный и Сибирский	5д 22ч	356	9	347	97	9	332	93	0	15	4	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Приволжский	1д 22ч	276	82	194	70	82	185	67	0	9	3	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Северо-Западный	2д 8ч	177	1	176	99	1	171	97	0	5	3	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Южный и Северо-Кавказский	1д 22ч	517	359	158	31	359	138	27	0	20	4	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Беларусь	2д 1ч	124	0	124	100	0	121	98	0	3	2	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Уральский	2д 11ч	115	19	96	83	19	89	77	0	7	6	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Центральный	1д 9ч	572	491	81	14	478	81	14	13	0	0	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Армения	10д 19ч	28	0	28	100	0	26	93	0	2	7	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Казахстан	5д 7ч	23	2	21	91	2	21	91	0	0	0	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Узбекистан	8д 21ч	6	0	6	100	0	6	100	0	0	0	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Грузия	7д 8ч	5	0	5	100	0	5	100	0	0	0	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Кыргызстан	8д 2ч	3	0	3	100	0	3	100	0	0	0	0	0
ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	Солнцезащитный крем spf 50 для лица с спф	437231408	-	Кремы	round lab	Таджикистан	8д 19ч	2	0	2	100	0	1	50	0	1	50	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Дальневосточный и Сибирский	4д 21ч	383	2	381	99	2	381	99	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Приволжский	1д 15ч	436	244	192	44	244	192	44	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Северо-Западный	2д 2ч	169	0	169	100	0	169	100	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Южный и Северо-Кавказский	1д 16ч	653	508	145	22	508	145	22	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Уральский	2д 5ч	163	39	124	76	39	124	76	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Беларусь	1д 18ч	86	0	86	100	0	86	100	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Казахстан	4д 1ч	25	1	24	96	1	24	96	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Армения	11д 1ч	25	3	22	88	3	22	88	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Центральный	1д 4ч	736	716	20	3	716	20	3	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Кыргызстан	9д 6ч	6	0	6	100	0	6	100	0	0	0	0	0
ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	Солнцезащитный крем СПФ 50 для лица и тела	238358009	-	Кремы	ENOUGH	Узбекистан	8д 7ч	5	0	5	100	0	5	100	0	0	0	0	0
