Артикул WB,Артикул продавца,Название,Предмет,Бренд,Остаток_шт,Стоимость_остатка,Заказали_шт,Выкупили_шт,Оборачиваемость_текущих,Оборачиваемость_средних
207481714,COSRX AHA/BHA Clarifying Treatment Toner [150ml],Мягкий тонер для лица с кислотами AHA BHA,Тоники,COSRX,0,0,3,3,0.0,0.0
103426811,dm7dm8,Дед Мороз Игрушка / Фигурка Дед Мороз / 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
102256288,hot /3х3/,Гирлянда штора на Новый Год 3х3 желтая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
102258119,white /1.5х1.5/,"Новогодняя гирлянда штора на окно 1,5х1,5 белая",Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
102258255,white /2х2/,Новогодняя гирлянда на окно 2х2 холодный белый,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
102258636,white /3х2/,Новогодняя гирлянда штора 3х2 белая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
102259020,white /3х3/,Гирлянда штора 3х3 на Новый Год белая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
102261589,multi /1.5х1.5/,"Гирлянда штора на Новый Год мультиколор 1,5х1,5",Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
102263707,multi /2х2/,Гирлянда штора 2х2 на Новый Год разноцветная,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
102264249,multi  /3х2/,Новогодняя гирлянда штора 3х2 разноцветная с удлинителем,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
102264744,multi  /3х3/,Гирлянда штора 3х3 разноцветная,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
103431810,dm7dm10,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,1,1,0.0,0.0
102254770,hot /2х2/,Гирлянда штора на Новый Год 2х2 согревающий желтый,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
103441912,dm7dm12,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
103442522,dm7dm13,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
103442628,dm7dm14,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
103442939,dm7dm15,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед мороз под елку,0,0,0,0,0.0,0.0
104590122,dm7dm11,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,2,1,0.0,0.0
105911397,i100_v2,Беспроводные наушники Pods,Наушники,Xiaomi,0,0,0,0,0.0,0.0
122223609,P36_122223609_122223609,Наушники беспроводные К-55,Наушники,Xiaomi,0,0,0,0,0.0,0.0
133070643,СГ3Б,Снегурочка Игрушка / Фигурка Снегурочка / 30 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
133070645,СГ2Б,Снегурочка Игрушка / Фигурка Снегурочка / 41 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
102255837,hot /3х2/,Новогодняя гирлянда штора 3х2 желтая,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
100680844,sBotW100_100680844,Робот мойщик окон мощный,Роботы-стеклоочистители,SKL TECH,0,0,1,1,0.0,0.0
207469760,FARMSTAY - Gold Snail Premium Cream [50ml],Корейский крем для лица антивозрастной премиум,Кремы,farmstay,0,0,565,513,0.0,0.0
59758724,NAUSHNIK/DETY/SIREN/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0,0.0,0.0
48906211,dm7dm2,Дед Мороз Игрушка / Фигурка Дед Мороз / 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
48906308,dm7dm3,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
48906602,dm7dm4,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
48906952,dm7dm5,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
48909005,dm7dm7,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
59729264,NAUSHNIK/DETY/ROSE/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0,0.0,0.0
59758721,NAUSHNIK/DETY/BLACK/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0,0.0,0.0
59758722,NAUSHNIK/DETY/BLUE/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0,0.0,0.0
59758723,NAUSHNIK/DETY/MENTOL/,Наушники с ушками и микрофоном беспроводные детские,Наушники,Наушники с ушками CAT,0,0,0,0,0.0,0.0
78053293,ushi2,Беспроводные наушники PRO 5 S,Наушники,Xiaomi,0,0,0,0,0.0,0.0
94237840,м19,Беспроводные наушники M19,Наушники,SKL TECH,0,0,0,0,0.0,0.0
78454688,i12,Беспроводные наушники,Наушники,Xiaomi,0,0,0,0,0.0,0.0
78454766,pro4white,Беспроводные наушники PRO 4,Наушники,Xiaomi,0,0,0,0,0.0,0.0
78454814,pro4black,Беспроводные наушники PRO 4 BLACK,Наушники,Xiaomi,0,0,0,0,0.0,0.0
78836747,i100,Беспроводные наушники Pods,Наушники,Xiaomi,0,0,0,0,0.0,0.0
78838371,PRO,Беспроводные наушники PRO,Наушники,Xiaomi,0,0,0,0,0.0,0.0
79868118,m10,Беспроводные наушники M10,Наушники,SKL TECH,0,0,0,0,0.0,0.0
80222900,f--9,Беспроводные наушники F-9,Наушники,SKL TECH,0,0,0,0,0.0,0.0
80222948,f9tws,Беспроводные наушники F-9 TWS,Наушники,SKL TECH,0,0,0,0,0.0,0.0
93302814,hocopro2,Беспроводные наушники Pods 2,Наушники,Xiaomi,0,0,0,0,0.0,0.0
133070647,СГ3К,Снегурочка Игрушка / Фигурка Снегурочка / 30 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
133070648,СГ1С,Снегурочка Игрушка / Фигурка Снегурочка / 23 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
133070650,СГ1Б,Снегурочка Игрушка / Фигурка Снегурочка / 23 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
198143251,Manyo_Ampoule_Lotion,Лосьон для лица Bifida Biome Ampoule Lotion,Тоники,manyo,0,0,0,0,0.0,0.0
182111724,Триммер Золотой,"Триммер для бритья, для бороды и волос",Фены,Фен для волос,0,0,0,0,0.0,0.0
182994855,Liquid10,Маска для волос профессиональная прикорневой объем 10 стиков,Маски косметические,MASIL,0,0,0,0,0.0,0.0
182996309,Liquid5,Маска для волос профессиональная прикорневой объем 5 стиков,Маски косметические,MASIL,0,0,0,0,0.0,0.0
183001649,Liquid20,Маска для волос профессиональная прикорневой объем 20 стиков,Маски косметические,MASIL,0,0,0,0,0.0,0.0
183127934,SuperMild10,Корейская маска для ослабленных волос 10 стиков,Маски косметические,MASIL,0,0,0,0,0.0,0.0
190158097,MASIL 5 PROBIOTICS SCALP SCALING SHAMPOO 300ml,Корейский шампунь для глубокого очищения,Шампуни,MASIL,0,0,0,0,0.0,0.0
190160197,EKEL Ampoule Toner Collagen 150ml,Увлажняющий тоник для лица с коллагеном ампульный,Тоники,EKEL,0,0,0,0,0.0,0.0
190314349,СГ-Красная,Снегурочка под елку 33 см на Новый Год,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
195286371,Rosa 20m hot,Новогодняя гирлянда роса 20 метров желтый,Гирлянды интерьерные,Новогодняя гирлянда светодиодная,0,0,0,0,0.0,0.0
198620664,Lamp_RGB_33cm,Кольцевая лампа цветная RGB 33 см свет для фото,Кольцевые лампы,кольцевая лампа со штативом,0,0,0,0,0.0,0.0
133070651,СГ1К,Снегурочка Игрушка / Фигурка Снегурочка / 23 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
48905926,dm7dm1,Дед Мороз под елку 35 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
199367159,Dr.Jart_Dermaclear_Micro_Foam,Пенка для умывания Dermaclear Micro Foam,Скрабы,dr.Jart+,0,0,3,3,0.0,0.0
199425671,Dr.Jart_Teatreatment_Soothing_Spot,Корректор для лица от прыщей точечный,Сыворотки,dr.Jart+,0,0,1,1,0.0,0.0
199427475,Dr.Jart_Teatreatment_Toner,Тоник для лица увлажняющий Teatreatment Toner,Тоники,dr.Jart+,0,0,0,0,0.0,0.0
206122859,I'm Sorry for My Skin Age Крем Capture Firming Enriched,Крем для лица увлажняющий,Кремы,I'm Sorry for My Skin,0,0,0,0,0.0,0.0
206125905,I'm Sorry for My Skin Крем Age Capture Skin Relief,Крем для лица антивозрастной,Кремы,I'm Sorry for My Skin,0,0,0,0,0.0,0.0
206135397,I'm Sorry For My Skin Age Capture Hydrating,Крем для лица увлажняющий ежедневный,Кремы,I'm Sorry for My Skin,0,0,16,15,0.0,0.0
207464799,HEIMISH - All Clean Balm [120ml],Гидрофильное масло бальзам для лица очищающее,Гидрофильные масла,Heimish,0,0,5,4,0.0,0.0
207466866,HEIMISH - Artless Glow Base SPF50+ [40ml],Корейская база под макияж с шиммером,Основы под макияж,Heimish,0,0,0,0,0.0,0.0
180852722,Коврик массажный фиолетовый v1,Аппликатор Кузнецова ортопедический коврик массажный,Аппликаторы Кузнецова,Аппликатор Кузнецова,0,0,0,0,0.0,0.0
179611207,Petitfee GOLD & SNAIL HYDROGEL EYE PATCH,Гидрогелевые патчи для глаз Корея антивозрастные от отеков,Патчи,Petitfee,0,0,119,106,0.0,0.0
176945700,sBotW400,Квадратный робот мойщик квадратный с распылением,Роботы-стеклоочистители,SKL TECH,0,0,21,19,0.0,0.0
170198835,Enough Collagen Foundation Cover Up Ultra X10 13 тон,Тональный крем для лица увлажняющий матовый коллаген,Тональные кремы,ENOUGH,0,0,181,170,0.0,0.0
144518874,Маски100шт,Маски медицинские одноразовые трехслойные защитные для лица,Маски одноразовые,Мedical mask,0,0,0,0,0.0,0.0
147602778,GAMEstick64,Игровая приставка консоль для детей и взрослых портативная,Игровые консоли,Игровая приставка,0,0,0,0,0.0,0.0
151298064,Elizavecca Witch Piggy Hell Pore Blemish Spot Patch,Корейские патчи от прыщей прозрачные,Пластыри косметические,Elizavecca,0,0,0,0,0.0,0.0
152115510,sBotW200,Робот мойщик окон с распылением мощный,Роботы-стеклоочистители,SKL TECH,0,0,3,3,0.0,0.0
154158805,Enough Collagen Moisture Essential Cream,Корейский крем для лица увлажняющий с коллагеном,Кремы,ENOUGH,0,0,0,0,0.0,0.0
154163936,Elizavecca Hell-Pore Control Hyaluronic Acid 97%,Сыворотка для лица увлажняющая с гиалуроновой кислотой,Сыворотки,Elizavecca,0,0,2,2,0.0,0.0
154519502,Планшет для рисования 12 случайный цвет,Графический электронный планшет для рисования,Электронные планшеты для рисования,Планшет для рисования LCD/Планшет для детей,0,0,0,0,0.0,0.0
154522116,Микрофон-колонка розовый,Детский микрофон караоке беспроводной,Микрофоны,Детский микрофон караоке,0,0,0,0,0.0,0.0
154989140,Салфетки для робота мойщика окон 12шт,Сменные салфетки для робота sBot 12 шт.,Роботы-стеклоочистители,SKL TECH,0,0,0,0,0.0,0.0
164999335,Moisture Sun Cream Enough Collagen spf 50 +,Cолнцезащитный крем для лица 50 SPF с коллагеном,Кремы,ENOUGH,0,0,0,0,0.0,0.0
165007944,LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml],Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,0,0,0,0,0.0,0.0
165008074,LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml],Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,0,0,0,0,0.0,0.0
165009038,FARMSTAY ALOEVERA PERFECT SUN CREAM 70g,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Farm Stay,0,0,0,0,0.0,0.0
165299450,Masil 8 Seconds Salon Hair Mask Stick Pouch 8 ml 5шт,Маска для волос с кератином увлажняющая восстанавливающая,Маски косметические,MASIL,0,0,0,0,0.0,0.0
165299669,8 Seconds Salon Hair Mask Stick Pouch 8 ml 10шт,Маска для волос с кератином увлажняющая восстанавливающая,Маски косметические,MASIL,0,0,0,0,0.0,0.0
165299885,8 Seconds Salon Hair Mask Stick Pouch 8 ml 20шт,Маска для волос с кератином увлажняющая восстанавливающая,Маски косметические,MASIL,0,0,0,0,0.0,0.0
168956857,10 PREMIUM REPAIR HAIR MASK,Корейская маска для волос профессиональная Premium Repair,Кремы,MASIL,0,0,0,0,0.0,0.0
169074006,9 Protein Perfume Silk Balm ,Бальзам для волос несмываемый парфюмированный,Бальзамы,MASIL,0,0,0,0,0.0,0.0
169076150,FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM,Антивозрастной крем для лица от морщин,Кремы,farmstay,0,0,414,399,0.0,0.0
198940045,Camera_WiFi_v1,Wi Fi камера видеонаблюдения умный дом,Камеры видеонаблюдения,Камера видеонаблюдения IP Wi-Fi,0,0,0,0,0.0,0.0
