nm,Артикул продавца,Название_sku,Предмет_sku,Бренд_sku,recommended_supply_qty,first_wave_14d_qty,regions,nonlocal_orders,current_wb_stock_regions,allocated_lost_profit,profit_if_recommended_qty_sells,allocated_irp_saving_month,profit_per_unit,missed_profit_sku,missed_buyouts_sku,missed_buyouts_amount_sku,irp_saving_sku_month
170198738,Enough 8 Peptide Full Cover Perfect Foundation 13 тон,Корейский тональный крем с пептидами 13 тон,Тональные кремы,ENOUGH,41.0,20.0,"Дальневосточный и Сибирский, Северо-Западный",33,0,0.0,15403.954141843977,402.17642978723404,375.7061985815604,0.0,0.0,0.0,572.7967333333333
198156472,Manyo_Galac_Vita_Serum,Отбеливающая сыворотка для лица с витамином С,Сыворотки,manyo,41.0,20.0,Дальневосточный и Сибирский,35,0,0.0,30592.206074941445,2131.359317610063,746.1513676814986,0.0,0.0,0.0,3227.486966666667
151132051, ENOUGH COLLAGEN 3IN1 13,Отбеливающий тональный крем для лица 3в1 тон 13,Тональные кремы,ENOUGH,40.0,20.0,"Южный и Северо-Кавказский, Приволжский",22,0,0.0,12825.751260504197,221.60897192982455,320.64378151260496,0.0,0.0,0.0,382.77913333333333
208202076,EKEL Ampule Сream Сollagen [70ml],Увлажняющий крем для лица с коллагеном ампульный,Кремы,EKEL,39.0,19.0,"Дальневосточный и Сибирский, Северо-Западный",33,0,0.0,8843.692237226278,257.13229756097564,226.76133941605843,0.0,0.0,0.0,319.46740000000005
207483780,JIGOTT - Birds Nest Firming Cream [70ml],Корейский крем для лица антивозрастной от морщин,Кремы,Jigott,35.0,17.0,"Дальневосточный и Сибирский, Северо-Западный",30,2,0.0,8574.101828703704,365.36453191489363,244.97433796296298,0.0,0.0,0.0,572.4044333333334
206126372,I'm Sorry for My Skin Крем Age Capture Vitalizer,Крем для лица с витамином C осветляющий,Кремы,I'm Sorry for My Skin,34.0,17.0,"Дальневосточный и Сибирский, Северо-Западный",29,0,0.0,12736.348065934068,450.76611505376354,374.59847252747255,0.0,0.0,0.0,481.85343333333344
238416010,Enough Collagen Whitening Moisture Cream 3in1 50 N,Корейский крем для лица отбеливающий 3в1 коллаген,Кремы,ENOUGH,34.0,16.0,Дальневосточный и Сибирский,29,0,0.0,6097.609035555556,301.33604081632654,179.34144222222224,0.0,0.0,0.0,509.154
226114935,PETITFEE - Gold Hydrogel Mask Pack [5pcs],Маски для лица с золотом,Маски гидрогелевые,Petitfee,33.0,16.0,Центральный,16,0,3429.313005733417,13044.84296296296,343.4383157894737,395.29827160493824,7226.052404938271,18.28,26713.92,815.666
165002270,ENOUGH collagen moisture BB Cream SPF47 PA+++ BB,BB крем тональный солнцезащитный с коллагеном,Кремы,ENOUGH,31.0,15.0,"Дальневосточный и Сибирский, Центральный",26,0,0.0,0.0,120.39653008130082,,,5.0,2754.08,189.8560666666667
419630142,FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE,Сыворотка для лица увлажняющая c муцыном улитки,Сыворотки,Farm Stay,31.0,15.0,Дальневосточный и Сибирский,26,0,0.0,7874.681829670329,707.6013706666668,254.02199450549446,0.0,0.0,0.0,1360.7718666666667
212757456,JIGOTT - Daily Real Cica Toner [300ml],Корейский тонер для лица увлажняющий с центеллой,Тоники,Jigott,29.0,15.0,"Дальневосточный и Сибирский, Северо-Западный",31,11,0.0,7832.527938880608,405.37207967479685,270.08717030622785,0.0,0.0,0.0,536.1372666666667
212889027,Enoughcollagenwhiteningcovertip,Консилер для лица плотный 02 корректор,Корректоры,ENOUGH,26.0,13.0,"Дальневосточный и Сибирский, Северо-Западный",25,8,0.0,10769.936952830187,312.32099999999997,414.2283443396226,0.0,0.0,0.0,374.7852
238413828,ENOUGH collagen moisture BB Cream SPF47 PA+++ N,BB-крем тональный увлажняющий для лица с коллагеном,Кремы,ENOUGH,26.0,13.0,"Северо-Западный, Дальневосточный и Сибирский",25,6,0.0,0.0,228.84351351351359,,,0.0,0.0,338.68840000000006
151175880,Petitfee Black Pearl & Gold hydrogel Eye Patch,Патчи для глаз Корея антивозрастные жемчуг и золото,Патчи,Petitfee,25.0,12.0,Дальневосточный и Сибирский,21,0,0.0,7399.44487534626,744.0207425000001,295.9777950138504,0.0,0.0,0.0,1417.182366666667
198147185,Manyo_Complex_Ampoule,Восстанавливающая сыворотка для лица с бифидобактериями,Сыворотки,manyo,25.0,12.0,Дальневосточный и Сибирский,20,0,0.0,35428.7024590164,2220.617607843137,1417.148098360656,0.0,0.0,0.0,3775.049933333333
205054338,manyo_bifida_biome_toner,Укрепляющий тоник для лица с бифидобактериями,Тоники,manyo,24.0,12.0,Центральный,14,0,0.0,15374.453962070318,1074.808,640.6022484195965,0.0,0.0,0.0,2840.564
206057411,ELIZAVECCA_fruit_toner,Корейский тоник для лица от черных точек,Тоники,Elizavecca,24.0,12.0,Дальневосточный и Сибирский,20,0,0.0,8380.753136094674,298.3699696969697,349.19804733727807,0.0,0.0,0.0,656.4139333333334
212760119,JIGOTT - Ultimate Real Collagen Toner [300ml],Корейский тонер для лица антивозрастной,Тоники,Jigott,23.0,11.0,Дальневосточный и Сибирский,19,0,0.0,7055.301962962963,307.0642529411765,306.7522592592593,0.0,0.0,0.0,549.4834000000001
170198337,Enough 8 Peptide Full Cover Perfect Foundation 21 тон,Корейский тональный крем с пептидами 21 тон,Тональные кремы,ENOUGH,21.0,10.0,Дальневосточный и Сибирский,18,0,0.0,7654.167387096773,321.1540444444445,364.48416129032256,0.0,0.0,0.0,481.7310666666667
207796439,ELIZAVECCA - Natural 90% Olive Cleansing Oil,Корейское гидрофильное масло для умывания,Гидрофильные масла,Elizavecca,21.0,10.0,Дальневосточный и Сибирский,18,0,0.0,6191.088953488373,786.22291875,294.8137596899225,0.0,0.0,0.0,1397.7296333333334
150925321,Collagen_Enough_Moisture_Foundation_13,Тональный крем для лица коллаген №13,Тональные кремы,ENOUGH,20.0,10.0,Дальневосточный и Сибирский,17,0,0.0,6187.936250000002,171.82131261261264,309.39681250000007,0.0,0.0,0.0,373.96403333333336
179611278,Petitfee Artichoke Soothing Hydrogel Eye Mask,Патчи под глаза гидрогелевые с артишоком,Патчи,Petitfee,20.0,10.0,Центральный,17,0,0.0,6477.770303030303,178.24084444444446,323.88851515151515,0.0,0.0,0.0,283.08840000000004
170198109,Enough Rich Gold Double Wea Radiance Foundation 21 тон,Тональный крем для лица увлажняющий эффект сияния,Тональные кремы,ENOUGH,19.0,9.0,Дальневосточный и Сибирский,16,0,0.0,5810.041875000001,172.75731063829787,305.791677631579,0.0,0.0,0.0,507.4746
226115141,PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица против морщин,Маски гидрогелевые,Petitfee,19.0,9.0,Северо-Западный,13,0,0.0,8056.756571428572,319.04879259259263,424.03981954887223,0.0,0.0,0.0,662.6398000000002
204258828,COSRX_Salicylic_Acid_Cleanser,Пенка для умывания от прыщей,Скрабы,COSRX,18.0,9.0,Дальневосточный и Сибирский,15,0,0.0,6921.65745,244.3874047619048,384.536525,0.0,0.0,0.0,342.1423666666667
437190353,ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml,Увлажняющий крем для лица с берёзовым соком Корея,Кремы,round lab,17.0,8.0,Дальневосточный и Сибирский,14,0,0.0,6711.142457142858,194.6488,394.77308571428574,0.0,0.0,0.0,291.9732
154159632,Baking Powder BB Deep Cleansing Foam 3в1 30,Очищающая пенка для снятия макияжа Baking Powder 30ml,Скрабы,Etude house,14.0,7.0,Дальневосточный и Сибирский,12,0,0.0,3137.9422988505744,123.14684444444444,224.13873563218388,0.0,0.0,0.0,184.72026666666667
207476777,FARMSTAY - Collagen Pure Cleansing Foam [180ml],Корейская пенка для умывания лица увлажняющая,Скрабы,Farm Stay,14.0,7.0,Дальневосточный и Сибирский,12,0,0.0,3189.0498181818184,144.71957777777774,227.78927272727273,0.0,0.0,0.0,217.07936666666663
212759698,JIGOTT - Moisture Real Aloe Vera Toner [300ml],Корейский успокаивающий тонер с алоэ,Тоники,Jigott,13.0,7.0,Дальневосточный и Сибирский,11,0,2702.293262842105,5226.422644444443,111.94326000000001,402.03251111111103,9335.194907999998,23.22,22842.79,305.29980000000006
154160085,Etude Baking Powder Crunch Pore Scrub треугольники 30,Корейский скраб для лица Baking Powder с содой,Скрабы,Etude house,13.0,7.0,Дальневосточный и Сибирский,10,0,0.0,5358.276327073097,384.9374761904762,412.1751020825459,0.0,0.0,0.0,538.9124666666667
226117746,PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs],Корейские гидрогелевые маски для лица с ромашкой,Маски гидрогелевые,Petitfee,13.0,7.0,Беларусь,11,0,0.0,4436.2063422459905,239.47227333333336,341.24664171123004,0.0,0.0,0.0,870.8082666666667
437254254,ROUND LAB SOYBEAN PANTHENOL CREAM_80ml,Крем для лица с чёрной соей и пантенолом успокаивающий Корея,Кремы,round lab,12.0,6.0,Дальневосточный и Сибирский,10,0,0.0,3925.959999999999,117.59957333333335,327.16333333333324,0.0,0.0,0.0,293.99893333333335
151132052, ENOUGH COLLAGEN 3IN1 21,Отбеливающий тональный крем для лица 3в1 тон 21,Тональные кремы,ENOUGH,9.0,5.0,Южный и Северо-Кавказский,11,8,0.0,2252.8370000000004,94.54369833333337,250.31522222222227,0.0,0.0,0.0,171.89763333333337
