					
Остатки					
Артикул WB					ОстатокВБ
Коротич	Наименование	Ед.изм.	себестоимость	Остаток	Коротич
212753217	JIGOTT - Collagen Healing Cream [100ml] / Крем для лица с коллагеном	шт	175,42	138	46
Косметика/JIGOTT/JIGOTT-MASK					
255574453	JIGOTT - Ассорти набор масок [27ml х 15]	упак	334,05	300	236
Косметика/JIGOTT/JIGOTT-TONER					
212760119	JIGOTT - Ultimate Real Collagen Toner [300ml] / тонер с коллагеном антивозрастной	шт	265,36	1 948	207
212757456	JIGOTT - Daily Real Cica Toner [300ml] / Тонер для лица с центеллой азиатской	шт	265,36	2 168	189
212883090	JIGOTT - Aura Secret Hyaluronec Acid Toner [300ml] / Тонер с гиалуроновой кислотой антивозрастной	шт	265,36	500	141
212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml] / Тонер для лица увлажняющий с экстрактом алоэ	шт	265,36	500	0
Косметика/JMSOLUTION/JM-MASKPACKBLACK					
214977901	JMSOLUTION - MASK PACK BLACK [30ml*10ea] - ассорти набор 10шт в упаковке	шт	463,2	1 210	253
276234188	JMSOLUTION - MASK PACK BLACK [30ml*7ea] - ассорти набор из 7шт	упак.	266,5	0	0
276234187	JMSOLUTION - MASK PACK BLACK [30ml*5ea] - ассорти набор из 5шт	упак.	187,28	0	0
333259568	JMSOLUTION - MASK PACK BLACK [30ml*3ea] - ассорти набор из 3шт	упак.	121,92	0	0
333259565	JMSOLUTION - MASK PACK BLACK [30ml*6ea] - ассорти набор из 6шт	упак.	232,27	0	0
333259566	JMSOLUTION - MASK PACK BLACK [30ml*8ea] - ассорти набор из 8шт	упак.	327,63	0	0
Косметика/LANEIGE					
868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	шт	130,86	1 058	102
					
Косметика/MANYO					
198147185	MANYO - Bifida Biome Complex Ampoule [50ml] / Антивозрастная сыворотка для лица	шт	899,78	1 800	240
198156472	MANYO - Galac Whitening Vita Serum [50ml] / Осветляющая сыворотка с Витамином C	шт	646,83	1 200	239
198156358	MANYO - Pure Aqua Peeling Gel [120ml] / Пилинг гель с кислотой PHA для сияния кожи	шт	413,71	0	0
198143251	MANYO - Bifida Biome Ampoule Lotion [300ml] / Укрепляющий лосьон с бифидобактериями	шт	735,34	1 219	0
198156698	MANYO - Pure Cleansing Oil [200ml] / Гидрофильное масло для глубокого очищения	шт	853	480	50
205054338	MANYO - Bifida Biome Ampoule Toner [400ml] / Ампульный укрепляющий тонер с бифидобактериями	шт	735,34	0	1
868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания с бифидобактериями	шт	739,91	945	176
868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml] / Сыворотка с микроиглами и пробиотиками	шт	996,75	861	103
Косметика/PETITFEE/PETITFEE-EYEPATCH					
179611231	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с коллагеном и коэнзимом Q10	шт	385,05	1 188	59
180988755	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] / Тканевые патчи для век увлажняющие	шт	486,69	714	103
179611278	PETITFEE - Artichoke Soothing Hydrogel Eye Patch [60ea] / Смягчающие гидрогелевые патчи для глаз с экстрактом артишока	шт	415,46	360	113
180992464	PETITFEE - Aura Quartz Hydrogel Eye Patch [60ea]	шт	591,29	112	38
179611304	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] / Тонизирующие гидрогелевые патчи для глаз с экстрактом какао	шт	415,46	797	169
179611318	PETITFEE - Chamomile Lightening Hydrogel Eye Patch [60ea] / Успокаивающие гидрогелевые патчи для глаз с экстрактом ромашки	шт	415,46	374	110
180711041	PETITFEE - Gold & EGF Hydrogel Eye & Spot Patch [60ea]/ гидрогелевые патчи с золотом и EGF	шт	385,05	72	75
340752919	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch (комплект из одинарных патчей)	упак	142,48	0	36
180987509	PETITFEE - Pink Vita Brightening Eye Patch [60ea] / Тканевые патчи для век увлажняющие	шт	486,69	378	30
151175880	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с черным жемчугом и золотом	шт	387,67	1 297	113
151175877	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидрогелевые патчи для глаз с экстрактом агавы	шт	415,46	1 249	131
179611207	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с золотом и улиткой	шт	415,46	1 038	6
180711104	PETITFEE - Gold Hydrogel Eye Patch [60ea] / гидрогелевые патчи для глаз с золотом	шт	415,46	842	34
					
Косметика/PETITFEE/PETITFEE-FACEMASK				0	0
226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с черным жемчугом и золотом	упак.	478,05	750	0
226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs] / Успокаивающая гидрогелевая маска для лица с экстрактом ромашки	упак.	497,34	159	39
664171648	PETITFEE - MASK 6		488	0	0
255574854	PETITFEE - FACE MASK (набор ассорти 7 видов по 1 шт)		688,6	0	0
226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидрогелевая маска для лица с экстрактом агавы	упак.	486,41	1 230	38
226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом	упак.	507,16	840	0
226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] / Тонизирующая гидрогелевая маска для лица с экстрактом какао	упак.	496,86	750	0
226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] / Смягчающая гидрогелевая маска для лица с экстрактом артишока	упак.	498,54	750	0
