Место хранения,Наименование,Кол-во
улица,Задвижка Т-116,2
фойе,"Клинкет Ду 100, сталь не комплект",2
фойе,Клинкет Ду 200,11
фойе,Клинкет Ду 250,2
фойе,Клинкет Ду 250 не комплект,2
фойе,Клинкет Ду 300,16
фойе,Клинкет Ду 350,1
фойе,Фильтр забортной воды Ду 50,1
фойе,Фильтр забортной воды Ду 100,1
фойе,Фильтр заборной воды ДУ 150,5
фойе,Фильтр забортной воды Ду200,8
фойе,Фильтр забортной воды Ду 300,2
