Прио	Товар	Артикул	Цель продаж/мес	Выкупы	ДРР	Реклама ₽/мес	Обоснование
жёл	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидрогелевая маска для лица с экстрактом агавы	226115324	50	50	25%	13750	Маг 217 шт/мес, конкур ~1/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с черным жемчугом и золотом	151175880	50	50	25%	13750	Маг 212 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидрогелевые патчи для глаз с экстрактом агавы	151175877	50	50	25%	13750	Маг 179 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	ROUND LAB MUGWORT CALMING CLEANSER_150ml - Очищающая пенка для умывания лица от прыщей и акне	437242640	50	50	25%	13750	Маг 149 шт/мес, конкур ~176/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 13] / Тональный крем с частичками золота 13 тон	170198180	50	50	25%	13750	Маг 139 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	ETUDE - Baking Powder BB Deep Cleansing Foam [160ml] / Пенка с содой для глубокого очищения и снятия макияжа	307073881	50	50	25%	13750	Маг 132 шт/мес, конкур ~18/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	JIGOTT - Birds Nest Firming Cream [70ml] / Антивозрастной крем с экстрактом ласточкиного гнезда	207483780	50	50	25%	13750	Маг 126 шт/мес, конкур ~82/мес; цель=12% маг, 50 выкупов→~14 отзывов
жёл	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 21] / Тональный крем с пептидами 21 тон	170198337	50	50	25%	13750	Маг 117 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с золотом и улиткой	179611207	50	50	25%	13750	Маг 114 шт/мес, конкур н/д; цель=12% маг, 50 выкупов→~14 отзывов
жёл	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом и экстрактом улитки	226115141	50	50	25%	13750	Маг 102 шт/мес, конкур ~1/мес; цель=12% маг, 50 выкупов→~14 отзывов
