Прио	Товар	Артикул	Главный ключ (цель)	Выкупы	Цель продаж/мес	ДРР	Реклама ₽/мес	Ключи старта (первые выкупы)	Ключи СЧ (цель)	Цель позиции
зел	ROUND LAB 1025 DOKDO CLEANSER_150ml - Увлажняющая пенка для умывания лица	437154709	пенка для умывания лица корея (3 218)	100	635	18%	177965	мягкая пенка для умывания (1 013) · пенка для умывания увлажняющая (875) · пенка для умывания для сухой кожи (757)	пенка для умывания лица корея (3 218) · пенка для умывания лица увлажняющая (2 235) · корейская пенка для умывания (1 460) · пенка для умывания корея оригинал (1 417) · пенка для умывания лица увлажняющая очищающая (1 175)	топ-10
зел	ENOUGH - Collagen Moisture Essential Cream [50ml] / Увлажняющий крем для лица с коллагеном	238415286	крем для лица увлажнение корея (9 203)	100	540	18%	64152	крем для лица с коллагеном (9 102) · крем для лица 50 корея (2 689) · крем для лица корейский (1 075)	крем для лица увлажнение корея (9 203) · крем для лица увлажняющий для сухой кожи (6 662) · крем для лица увлажняющий и питательный (3 444) · крем для лица с коллагеном корея (3 254) · крем для лица увлажняющий корея (2 419)	топ-10
зел	ETUDE - Baking Powder Crunch Pore Scrub [200ml] / Очищающий скраб для лица с содой	151313163	скраб для лица отшелушивающий и увлажняющий (6 596)	100	323	18%	73547	скраб для лица отшелушивающий (2 399) · корейский скраб для лица · скраб для лица от черных точек и прыщей (664)	скраб для лица отшелушивающий и увлажняющий (6 596) · скраб для лица корея (4 372)	топ-10
зел	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]/Сыворотка с ретинолом и микроиглами для лица	551465879	сыворотка для лица от морщин (7 561)	100	185	18%	65368	сыворотка с ретинолом для лица антивозрастной (785) · сыворотка ретинол подтягивающая (из названия)	сыворотка для лица от морщин (7 561) · сыворотка с ретинолом для лица (6 172) · сыворотка для лица корея (4 246) · сыворотка для лица с ретинолом (3 557) · корейская сыворотка для лица (1 547)	топ-10
зел	MANYO - Galac Whitening Vita Serum [50ml] / Осветляющая сыворотка с Витамином C	198156472	сыворотка витамин c (6 338)	100	100	18%	43866	отбеливающая сыворотка для лица (1 491) · витамин с сыворотка (2 350)	сыворотка витамин c (6 338) · витаминная сыворотка для лица (5 457) · сыворотка для лица от пигментных пятен (5 330) · сыворотка от пигментации (4 184) · витамин с для лица (4 027)	топ-10
зел	MANYO - Bifida Biome Complex Ampoule [50ml] / Антивозрастная сыворотка для лица	198147185	сыворотка для лица от морщин (9 837)	100	100	18%	66438	сыворотка с бифидобактериями (372) · сыворотка для лица manyo (264)	сыворотка для лица от морщин (9 837) · сыворотка для лица антивозрастная (4 779) · сыворотка для лица антивозрастная корея (2 563) · сыворотка от морщин (2 021)
Не берём (ВЧ): сыворотка для лица (203 634), увлажняющая сыворотка для лица (114 807), корейская сыворотка для лица (14 589), manyo (21 251 — бренд).	топ-10
зел	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]/Подтягивающий бустер-крем с ретинолом для лица	551387355	—	100	100	18%	27000	нет в файле	нет в файле	топ-10
син	JIGOTT - Snail Lifting Cream [70ml] / Крем для лица увлажняющий антивозрастной	207482718	антивозрастной крем для лица (4 594)	70	157	22%	25525	snail крем с улиткой для лица (719) · крем с улиткой для лица корея (636) · крем с муцином улитки корея для лица (668)	антивозрастной крем для лица (4 594) · корейский крем для лица (4 246) · крем для лица антивозрастной корея (3 227) · крем лифтинг для лица (1 096) · лифтинг крем для лица (1 028)	топ-20
син	HEIMISH - Artless Glow Base SPF50+ PA+++(Renew) [40ml] / База под макияж SPF50+ PA+++	207466866	база под макияж выравнивающая (5 704)	70	70	22%	20020	база под макияж сияющая (664) · база под макияж с спф 50 (1 298) · праймер с spf корея	база под макияж выравнивающая (5 704) · база под макияж с спф (2 985) · сияющая база под макияж (2 000) · база под макияж увлажняющая (1 727) · праймер для лица под макияж выравнивание (1 550)	топ-20
син	JIGOTT - Snail Reparing Cream [100ml] / Крем для лица увлажняющий антивозрастной с муцином улитки	207483179	антивозрастной крем для лица (4 594)	70	70	22%	20020	snail крем с улиткой для лица (719) · крем с муцином улитки корея для лица (668) · крем с улиткой для лица корея (636)	антивозрастной крем для лица (4 594) · корейский крем для лица (4 246) · крем для лица увлажняющий корея (2 413) · восстанавливающий крем для лица (1 022) · крем для лица восстанавливающий кожный барьер (659)
Не берём (ВЧ): крем для лица (344 655), крем для лица антивозрастной (38 292), крем для лица корея (14 671).	топ-20
син	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]/Тонер-пэды от воспалений	551607905	пилинг пэды для лица (7 850)	70	70	22%	20020	пэды с BHA · пэды с центеллой · пэды для лица от прыщей (779)	пилинг пэды для лица (7 850) · пэды для лица очищающие (2 871) · пэды для лица увлажняющие (2 010) · отшелушивающие пэды для лица (998)	топ-20
син	ENOUGH - Collagen Whitening Moisture Cream 3in1 [50g] / Антивозрастной отбеливающий крем с коллагеном	238416010	крем для лица увлажняющий для сухой кожи (6 662)	70	70	22%	20020	крем для лица с коллагеном (865) · крем для лица корея с коллагеном (912) · крем для лица корейский (1 075)	крем для лица увлажняющий для сухой кожи (6 662) · антивозрастной крем для лица (4 557) · крем для лица увлажняющий и питательный (3 444) · крем для лица увлажняющий корея (2 419) · крем для лица увлажняющий под макияж (1 702)	топ-20
син	MANYO - Pure Cleansing Oil [200ml] / Гидрофильное масло для глубокого очищения	198156698	гидрофильное масло для умывания (5 454)	70	70	22%	20020	гидрофильное масло manyo · гидрофильное масло корея (1 838)	гидрофильное масло для умывания (5 454) · гидрофильное масло для снятия макияжа (2 744) · гидрофильное масло для лица умывания (2 280) · гидрофильное масло для лица корея (1 872)
Не берём (ВЧ): гидрофильное масло (85 669), гидрофильное масло для лица (45 558). Мусор: чужие бренды (mixit, celimax, vois, aravia…).	топ-20
син	ENOUGH - Collagen Moisture Foundation [Tone 13] / Тональный крем для лица с коллагеном 13 тон	150925321	collagen тональный крем (3 944)	70	70	22%	20020	тональный крем коллаген 13 оригинал (936) · тональный крем collagen (945) · корейский тональный крем для лица (982)	collagen тональный крем (3 944) · тональный крем коллаген (3 596) · тональный крем для лица корея (3 203) · тональный крем корея (2 501) · корейский тональный крем (2 282)	топ-20
син	JIGOTT - Daily Real Cica Toner [300ml] / Тонер для лица с центеллой азиатской	212757456	тонер для лица корея (7 375)	70	70	22%	20020		тонер для лица корея (7 375) · тонер для лица увлажняющий (4 312)
НЧ-старт: увлажняющий тонер для лица (999) · тонер увлажняющий для лица (990)	топ-20
син	JMSOLUTION - MASK PACK BLACK [30ml*10ea] - ассорти набор 10шт в упаковке	214977901	—	70	70	22%	20020	нет в файле	нет в файле	топ-20
син	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]/Тонер-пэды для выравнивания тона и рельефа кожи	551540924	пилинг пэды для лица (7 850)	70	70	22%	20020	пэды для выравнивания тона · пэды от пигментации · пэды для лица celimax (1 805)	пилинг пэды для лица (7 850) · пэды для лица очищающие (2 871) · пэды для лица увлажняющие (2 010) · отшелушивающие пэды для лица (998)	топ-20
син	JIGOTT - Ultimate Real Collagen Toner [300ml] / тонер с коллагеном антивозрастной	212760119	тонер для лица корея (7 375)	70	70	22%	20020		тонер для лица корея (7 375) · тонер для лица увлажняющий (4 312)
НЧ-старт: увлажняющий тонер для лица (999) · тонер увлажняющий для лица (990)	топ-20
син	PETITFEE - Chamomile Lightening Hydrogel Eye Patch [60ea] / Успокаивающие гидрогелевые патчи для глаз с экстрактом ромашки	179611318	патчи для глаз корея (7 049)	70	70	22%	20020	патчи для глаз осветляющие · патчи для глаз от тёмных кругов под глазами (805)	патчи для глаз корея (7 049) · гидрогелевые патчи для глаз (5 002) · патчи для глаз набор (2 606) · патчи для глаз от отёков и морщин и тёмных кругов (2 351) · патчи для глаз от отёков и тёмных кругов под глазами (1 329)	топ-20
син	PETITFEE - Artichoke Soothing Hydrogel Eye Patch [60ea] / Смягчающие гидрогелевые патчи для глаз с экстрактом артишока	179611278	патчи для глаз корея (7 049)	70	70	22%	20020	патчи для глаз успокаивающие · патчи с артишоком для глаз	патчи для глаз корея (7 049) · гидрогелевые патчи для глаз (5 002) · патчи для глаз набор (2 606) · патчи для глаз от отёков и тёмных кругов под глазами (1 329) · патчи гидрогелевые для глаз (1 902)	топ-20
син	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] / Тканевые патчи для век увлажняющие	180988755	патчи для глаз антивозрастные от морщин и отёков (8 508)	70	70	22%	20020	патчи с бета-глюканом для глаз · патчи для глаз тканевые увлажняющие	патчи для глаз антивозрастные от морщин и отёков (8 508) · патчи для глаз корея (7 049) · патчи для глаз тканевые (6 128) · тканевые патчи для глаз (4 549) · патчи тканевые для глаз (3 672)	топ-20
син	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с черным жемчугом и золотом	226115478	маска для лица увлажняющая (7 022)	70	70	22%	20020	маска для лица с золотом · маска для лица антивозрастная	маска для лица увлажняющая (7 022) · гидрогелевые маски для лица (4 569) · гидрогелевая маска для лица корея (2 931) · маска для лица увлажняющая антивозрастная (903)
НЧ: маски для лица увлажняющие (673)
ВЧ (не берём): гидрогелевая маска для лица (22 609), тканевые маски для лица (15 080)	топ-20
син	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с коллагеном и коэнзимом Q10	179611231	патчи для глаз антивозрастные от морщин и отёков (8 508)	70	70	22%	20020	патчи для глаз с коллагеном	патчи для глаз антивозрастные от морщин и отёков (8 508) · патчи для глаз корея (7 049) · гидрогелевые патчи для глаз (5 002) · патчи для глаз антивозрастные (3 674) · патчи для глаз набор (2 606)	топ-20
син	MANYO - Bifida Biome Ampoule Lotion [300ml] / Укрепляющий лосьон с бифидобактериями	198143251	лосьон для лица (9 289)	70	70	22%	20020	лосьон с бифидобактериями · укрепляющий лосьон для лица · лосьон для лица очищающий (951)	лосьон для лица (9 289) · лосьон для лица очищающий и увлажняющий (1 707)
Не берём: огуречный лосьон (3 324 — другой продукт), от прыщей/подростков.	топ-20
син	PETITFEE - Pink Vita Brightening Eye Patch [60ea] / Тканевые патчи для век увлажняющие	180987509	патчи для глаз корея (7 049)	70	70	22%	20020	патчи для глаз осветляющие · патчи для глаз от тёмных кругов под глазами (805)	патчи для глаз корея (7 049) · патчи для глаз тканевые (6 128) · тканевые патчи для глаз (4 549) · патчи тканевые для глаз (3 672) · патчи для глаз набор (2 606)	топ-20
син	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] / Тонизирующие гидрогелевые патчи для глаз с экстрактом какао	179611304	патчи для глаз корея (7 049)	70	70	22%	20020	патчи для глаз тонизирующие · патчи с какао для глаз	патчи для глаз корея (7 049) · гидрогелевые патчи для глаз (5 002) · патчи для глаз набор (2 606) · патчи для глаз от отёков и тёмных кругов под глазами (1 329) · патчи гидрогелевые для глаз (1 902)	топ-20
син	JIGOTT - Ассорти набор масок [27ml х 15]	255574453	—	70	70	22%	20020	нет в файле	нет в файле	топ-20
син	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]/Крем для восстановления защитного барьера кожи лица	551392965	крем для лица увлажняющий для сухой кожи (6 662)	70	70	22%	20020	крем для лица восстанавливающий кожный барьер (659) · крем для лица для чувствительной кожи · крем для лица корейский (1 075)	крем для лица увлажняющий для сухой кожи (6 662) · крем для лица увлажняющий и питательный (3 444) · крем для лица увлажняющий корея (2 419) · восстанавливающий крем для лица (1 022) · крем для лица увлажняющий для комбинированной кожи (1 030)	топ-20
жёл	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидрогелевая маска для лица с экстрактом агавы	226115324	маска для лица увлажняющая (7 022)	50	50	25%	13750	маска для лица охлаждающая · маска с агавой для лица	маска для лица увлажняющая (7 022) · гидрогелевые маски для лица (4 569) · гидрогелевая маска для лица корея (2 931)
НЧ: маски для лица увлажняющие (673)
ВЧ: гидрогелевая маска для лица (22 609), тканевые маски для лица (15 080)	топ-30
жёл	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с черным жемчугом и золотом	151175880	—	50	50	25%	13750	нет в файле	нет в файле	топ-30
жёл	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидрогелевые патчи для глаз с экстрактом агавы	151175877	—	50	50	25%	13750	нет в файле	нет в файле	топ-30
жёл	ROUND LAB MUGWORT CALMING CLEANSER_150ml - Очищающая пенка для умывания лица от прыщей и акне	437242640	пенка для умывания от прыщей (5 048)	50	50	25%	13750	пенка с полынью для умывания · пенка для умывания лица от прыщей (1 231)	пенка для умывания от прыщей (5 048) · пенка для умывания лица корея (3 218) · пенка для умывания для жирной кожи (1 277) · корейская пенка для умывания (1 460) · пенка для умывания корея оригинал (1 417)	топ-30
жёл	ENOUGH - Premium Rich Gold Double Wear Radiance Foundation [Tone 13] / Тональный крем с частичками золота 13 тон	170198180	тональный крем для лица корея (3 203)	50	50	25%	13750	тональный крем с частичками золота · тональный крем стойкий double wear · тональный крем сияние корея	тональный крем светлый (2 119) · тональный крем для лица корея (3 203) · корейский тональный крем (2 282) · тональный крем корея оригинал (1 256) · тональный крем плотный стойкий (951)	топ-30
жёл	ETUDE - Baking Powder BB Deep Cleansing Foam [160ml] / Пенка с содой для глубокого очищения и снятия макияжа	307073881	пенка для умывания лица корея (3 218)	50	50	25%	13750	корейская пенка для умывания (1 460) · пенка для умывания корея оригинал (1 417) · пенка для снятия макияжа и умывания (1 395)	пенка для умывания лица корея (3 218) · пенка для умывания лица увлажняющая (2 235) · гель пенка для умывания (2 029) · пенка мусс для умывания (1 525) · пенка для умывания для жирной кожи (1 277)	топ-30
жёл	JIGOTT - Birds Nest Firming Cream [70ml] / Антивозрастной крем с экстрактом ласточкиного гнезда	207483780	антивозрастной крем для лица (4 594)	50	50	25%	13750	крем с ласточкиным гнездом для лица · крем для лица для упругости корея · крем лифтинг для лица антивозрастной (658)	антивозрастной крем для лица (4 594) · корейский крем для лица (4 246) · крем для лица антивозрастной корея (3 227) · крем для лица антивозрастной 50 (2 521) · крем лифтинг для лица (1 096)	топ-30
жёл	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 21] / Тональный крем с пептидами 21 тон	170198337	плотный тональный крем (6 732)	50	50	25%	13750	тональный крем с пептидами 21 тон · тональный крем перекрывающий · тональный крем плотное покрытие	плотный тональный крем (6 732) · тональный крем для лица плотный (4 478) · тональный крем для лица матирующий стойкий (2 249) · тональный крем плотный матовый (1 442) · тональный крем для лица корея (3 203)	топ-30
жёл	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с золотом и улиткой	179611207	—	50	50	25%	13750	нет в файле	нет в файле	топ-30
жёл	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом и экстрактом улитки	226115141	маска для лица увлажняющая (7 022)	50	50	25%	13750	маска с улиткой для лица · маска для лица с золотом	маска для лица увлажняющая (7 022) · гидрогелевые маски для лица (4 569) · гидрогелевая маска для лица корея (2 931) · маска для лица увлажняющая антивозрастная (903)
НЧ: маски для лица увлажняющие (673)
ВЧ: гидрогелевая маска для лица (22 609), тканевые маски для лица (15 080)	топ-30
жёл	ENOUGH - Premium 8 Peptide Full Cover Perfect Foundation [Tone 13] / Тональный крем с пептидами 13 тон	170198738	плотный тональный крем (6 732)	50	50	25%	13750	тональный крем с пептидами · тональный крем перекрывающий · тональный крем плотное покрытие	плотный тональный крем (6 732) · тональный крем для лица плотный (4 478) · тональный крем для лица матирующий стойкий (2 249) · тональный крем светлый (2 119) · тональный крем плотный матовый (1 442)	топ-30
жёл	ENOUGH - Collagen Moisture Foundation [Tone 21] / Тональный крем для лица с коллагеном 21 тон	150925322	collagen тональный крем (3 944)	50	50	25%	13750	тональный крем с коллагеном 21 тон · тональный крем коллаген 21 · корейский тональный крем для лица (982)	collagen тональный крем (3 944) · тональный крем коллаген (3 596) · тональный крем для лица корея (3 203) · тональный крем корея (2 501) · корейский тональный крем (2 282)	топ-30
жёл	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом	226114935	маска для лица увлажняющая (7 022)	50	50	25%	13750	маска для лица с золотом · маска для лица антивозрастная	маска для лица увлажняющая (7 022) · гидрогелевые маски для лица (4 569) · гидрогелевая маска для лица корея (2 931) · маска для лица увлажняющая антивозрастная (903)
НЧ: маски для лица увлажняющие (673)
ВЧ: гидрогелевая маска для лица (22 609), тканевые маски для лица (15 080)	топ-30
жёл	ENOUGH - Collagen 3in1 Whitening Moisture Foundation [Tone 13] / Тональный крем для лица с коллагеном 3в1 [13 тон]	151132051	collagen тональный крем (3 944)	50	50	25%	13750	тональный крем коллаген 13 оригинал (936) · тональный крем collagen (945) · корейский тональный крем для лица (982)	тональный крем с спф (3 489) · collagen тональный крем (3 944) · тональный крем коллаген (3 596) · тональный крем для лица корея (3 203) · корейский тональный крем (2 282)	топ-30
жёл	ENOUGH Collagen whitening cover tip concealer #02 [9g]/Консилер для лица	611744611	консилер для лица натуральный (4 085)	50	50	25%	13750	консилер с коллагеном · консилер для лица 02 · консилер корея	консилер для лица натуральный (4 085) · консилер для лица 02 (3 444) · консилер для лица плотный стойкий (2 032) · плотный консилер для лица (1 269) · консилер для лица и глаз (920)	топ-30
жёл	JIGOTT - Moisture Real Aloe Vera Toner [300ml] / Тонер для лица увлажняющий с экстрактом алоэ	212759698	тонер для лица корея (7 375)	50	50	25%	13750		тонер для лица корея (7 375) · тонер для лица увлажняющий (4 312)
НЧ-старт: увлажняющий тонер для лица (999) · тонер увлажняющий для лица (990)	топ-30
жёл	PETITFEE - Gold Hydrogel Eye Patch [60ea] / гидрогелевые патчи для глаз с золотом	180711104	—	50	50	25%	13750	нет в файле	нет в файле	топ-30
жёл	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml -Увлажняющий крем с березовым соком	437190353	крем для лица увлажняющий для сухой кожи (6 662)	50	50	25%	13750	крем для лица с берёзовым соком · крем для лица корейский (1 075)	крем для лица увлажняющий для сухой кожи (6 662) · крем для лица увлажняющий и питательный (3 444) · крем для лица увлажняющий корея (2 419) · крем для лица увлажняющий под макияж (1 702) · крем для лица увлажняющий для комбинированной кожи (1 030)	топ-30
