Бренд	Товар	Источник спроса	Спрос/мес	Маг1 4мес	Маг2 4мес	Остаток	К закупу	Себест/шт	Бюджет	Черновик закуп
DERMA FACTORY	Интенсивная антивозрастная сыворотка для лица PD	план(нет МГ)	0	0	0	0	1530	361	552510	1530
DERMA FACTORY	Осветляющий Крем от пигментации с Транексамовой 	план(нет МГ)	0	0	0	0	1344	227	305529	1344
DERMA FACTORY	Крем для лица укрепляющий с ретиналем 300ppm/[De	план(нет МГ)	0	0	0	0	1248	254	317277	1248
DERMA FACTORY	Сыворотка для лица осветляющая от пигментации/[D	план(нет МГ)	0	0	0	0	1200	291	348669	1200
DERMA FACTORY	Сыворотка с Ниацинамидом для лица от прыщей Niac	план(нет МГ)	0	0	0	0	1020	159	161924	1020
DERMA FACTORY	Антивозрастная сыворотка-стик для лица с волюфил	план(нет МГ)	0	0	0	0	1053	317	333279	1053
DERMA FACTORY	Крем для лица c Бакучиолом и Микроиглами от морщ	план(нет МГ)	0	0	0	0	480	262	125615	480
DERMA FACTORY	Увлажняющий тонер-эссенция для лица с аденозином	МГ	175	210	42	0	290	298	86361	400
DERMA FACTORY	Сыворотка с пептидами Матриксил 15% от морщин/ 	план(нет МГ)	0	0	0	0	420	414	174005	420
ENOUGH	ENOUGH - Premium Ultra X10 Cover Up Collagen Fou	история(факт)	245	979	196	0	1352	230	311423	1000
ENOUGH	ENOUGH - Premium Ultra X10 Cover Up Collagen Fou	история(факт)	107	429	86	149	443	230	102042	200
ENOUGH	ENOUGH - Premium Rich Gold Double Wear Radiance 	история(факт)	139	555	111	149	617	237	146304	200
ENOUGH	ENOUGH - Premium Rich Gold Double Wear Radiance 	история(факт)	124	496	99	173	511	237	121169	400
ENOUGH	ENOUGH - Gold Snail Moisture Foundation [Tone 13	история(факт)	359	1438	288	170	1814	230	417841	700
ENOUGH	ENOUGH - Gold Snail Moisture Foundation [Tone 21	история(факт)	238	953	191	10	1305	188	245413	400
I'm Sorry for My	m Sorry for My Skin Age Крем Capture Firming Enr	история(факт)	18	73	15	0	100	390	39031	560
I'm Sorry for My	I'm Sorry For My Skin Age Capture Hydrating	история(факт)	91	364	73	0	502	390	195935	560
I'm Sorry for My	I'm Sorry for My Skin Крем Age Capture Skin Reli	история(факт)	0	1	0	0	2	390	781	320
I'm Sorry for My	I'm Sorry for My Skin Крем Age Capture Vitalizer	история(факт)	62	248	50	65	277	390	108116	320
Manyo	BIFIDA BIOME AMPOULE TONER 210 мл	план(нет МГ)	0	0	0	0	1200	347	416841	1200
