JMELLA;;;;;;;;
NO;IMAGE;NAME (KOR);NAME (ENG);BARCODE; VOL ;1 BOX; RETAIL PRICE ; SUPPLY PRICE 
33;;제이멜라 인 프랑스 애프리콧 블룸 헤어 트리트먼트 500ml;JMELLA IN FRANCE APRICOT BLOOM HAIR TREATMENT;8809562563006 ;500ml;20; ₩8 900 ;
34;;제이멜라 인 프랑스 애프리콧 블룸 바디 워시 500ml;JMELLA IN FRANCE APRICOT BLOOM BODY WASH;8809562562993 ;500ml;20; ₩7 900 ;
35;;제이멜라 인 프랑스 애프리콧 블룸 바디 로션 500ml;JMELLA IN FRANCE APRICOT BLOOM BODY LOTION;8809562562986 ;500ml;20; ₩8 900 ;
36;;제이멜라 인 프랑스 플뢰르 그레이스 헤어 샴푸 500ml;JMELLA IN FRANCE FLEUR GRACE HAIR SHAMPOO;8809696353351 ;500ml;20; ₩7 900 ; ₩2 750 
37;;제이멜라 인 프랑스 플뢰르 그레이스 헤어 트리트먼트 500ml;JMELLA IN FRANCE FLEUR GRACE HAIR TREATMENT;8809696353368 ;500ml;20; ₩8 900 ; ₩2 970 
38;;제이멜라 인 프랑스 플뢰르 그레이스 바디 워시 500ml;JMELLA IN FRANCE FLEUR GRACE BODY WASH;8809696353375 ;500ml;20; ₩7 900 ; ₩2 750 
39;; 제이멜라 인 프랑스 플뢰르 그레이스 바디 로션 500ml ;JMELLA IN FRANCE FLEUR GRACE BODY LOTION;8809696353382 ;500ml;20; ₩8 900 ; ₩2 970 
40;;제이멜라 인 프랑스 미르 민티 탈모 헤어 샴푸 500ml;JMELLA IN FRANCE MIR MINTY HAIR LOSS CARE SHAMPOO;8809852541905 ;500ml;20; ₩19 000 ; ₩5 060 
41;;제이멜라 인 프랑스 미르 민티 탈모 헤어 샴푸_1000ml;JMELLA IN FRANCE MIR MINTY HAIR LOSS CARE SHAMPOO;8809696352774 ;1000ml;12; ₩28 000 ; ₩7 128 
42;;제이멜라 인 프랑스 미르 민티 스칼프 리프레시 토닉_150ml;JMELLA IN FRANCE MIR MINTY SCALP REFRESH TONIC;8809852542339 ;150ml;40; ₩26 000 ; ₩4 510 
43;;제이멜라 인 프랑스 미르 민티 컬러 체인지 블랙 샴푸;JMELLA IN FRANCE MIR MINTY COLOR CHANGE BLACK SHAMPOO;8809852543879 ;300ml;40; ₩28 000 ; ₩10 010 
44;;제이멜라 인 프랑스 퓨어 네롤리 헤어 샴푸 500ml;JMELLA IN FRANCE PURE NEROLI HAIR SHAMPOO;8809696351753 ;500ml;20; ₩12 000 ; ₩2 750 
45;;제이멜라 인 프랑스 퓨어 네롤리 헤어 트리트먼트 500ml;JMELLA IN FRANCE PURE NEROLI HAIR TREATMENT;8809696351760 ;500ml;20; ₩14 000 ; ₩2 970 
46;;제이멜라 인 프랑스 퓨어 네롤리 바디 워시 500ml;JMELLA IN FRANCE PURE NEROLI BODY WASH;8809696351777 ;500ml;20; ₩12 000 ; ₩2 750 
47;;제이멜라 인 프랑스 퓨어 네롤리 바디 로션 500ml;JMELLA IN FRANCE PURE NEROLI BODY LOTION;8809696351784 ;500ml;20; ₩14 000 ; ₩2 970 
48;;제이멜라 인 프랑스 퓨어 블러썸 츄 헤어 샴푸 500ml;JMELLA IN FRANCE PURE BLOSSOM CHU HAIR SHAMPOO;8809852542728 ;500ml;20; ₩7 900 ; ₩2 750 
49;;제이멜라 인 프랑스 퓨어 블러썸 츄 헤어 트리트먼트 500ml;JMELLA IN FRANCE PURE BLOSSOM CHU HAIR TREATMENT;8809852542735 ;500ml;20; ₩8 900 ; ₩2 970 
