FARMSTAY;;;;;;;;
NO;IMAGE;BARCODE;NAME (KOR);NAME (ENG);VOL;1 BOX; RETAIL PRICE ;SUPPLY PRICE
35;;8809469771245 ;팜스테이 퓨어 클렌징폼 홍삼;FARMSTAY RED GINSENG PURE CLEANSING FOAM;180ml;100; ₩9 000 ; ₩2 398 
36;;8809674692175 ;팜스테이 퓨어 클렌징폼 오이;FARMSTAY CUCUMBER PURE CLEANSING FOAM;180ml;100; ₩9 000 ; ₩2 398 
37;;8809317284781 ;팜스테이 올리브 클렌징폼;FARMSTAY OLIVE INTENSIVE MOISTURE FOAM CLEANSER;100ml;200; ₩3 000 ; ₩1 408 
38;;8809460461107 ;팜스테이 흑진주＆골드 하이드로겔 아이패치;FARMSTAY BLACK PEARL&GOLD HYDROGEL EYE PATCH;90g;100; ₩22 000 ; ₩6 006 
39;;8809426954513 ;팜스테이 스네일 뮤커스 모이스쳐 토너;FARMSTAY SNAIL MUCUS MOISTURE TONER;150ml;60; ₩10 000 ; ₩3 179 
40;;8809426954520 ;팜스테이 스네일 뮤커스 모이스쳐 에멀젼;FARMSTAY SNAIL MUCUS MOISTURE EMULSION;150ml;60; ₩10 000 ; ₩3 179 
41;;8809317118642 ;팜스테이 스네일 뮤커스 모이스쳐 크림;FARMSTAY SNAIL MUCUS MOISTURE CREAM;50g;100; ₩10 000 ; ₩2 948 
42;;8809317289274 ;팜스테이 에스까르고 노블레스 인텐시브 크림;FARMSTAY ESCARGOT NOBLESSE INTENSIVE CREAM;50g;100; ₩20 000 ; ₩4 972 
43;;8809317289281 ;팜스테이 에스까르고 노블레스 인텐시브 아이크림;FARMSTAY ESCARGOT NOBLESSE INTENSIVE EYE CREAM;50g;100; ₩20 000 ; ₩4 983 
44;;8800260032009 ;팜스테이 콜라겐＆히아루론산 올인원 앰플;FARMSTAY COLLAGEN&HYALURONIC ACID ALL-IN ONE AMPOULE;250ml;40; ₩25 000 ; ₩5 764 
45;;8809469770040 ;팜스테이 에스까르고 노블레스 인텐시브 필링젤;FARMSTAY ESCARGOT NOBLESSE INTENSIVE PEELING GEL;180ml;100; ₩12 000 ; ₩3 663 
46;;8809324207315 ;팜스테이 프린세스 마스카라;FARMSTAY PRINCESS CURL & LONGLASH MASCARA;12g;300; ₩12 000 ; ₩2 508 
47;;8809187043075 ;팜스테이 악어 오일 크림;FARMSTAY CROCODILE OIL CREAM;70g;50; ₩35 000 ; ₩6 864 
48;;8800260032139 ;팜스테이 비저블 디퍼런스 마스크 시트 밀크;FARMSTAY VISIBLE DIFFERENCE MASK SHEET MILK;1sheet;600; ₩1 000 ; ₩201 
49;;8809317289250 ;팜스테이 에스까르고 노블레스 인텐시브 토너;FARMSTAY ESCARGOT NOBLESSE INTENSIVE TONER;150ml;50; ₩20 000 ; ₩5 192 
50;;8809809801137 ;팜스테이 골드 에스까르고 노블레스 인텐시브 에센스;FARMSTAY GOLD ESCARGOT NOBLESSE INTENSIVE LIFTING ESSENCE;150ml;50; ₩25 000 ; ₩5 764 
51;;8809469771405 ;팜스테이 잇츠 리얼 젤 미스트 알로에;FARMSTAY IT IS REAL GEL MIST ALOE;120ml;50; ₩8 000 ; ₩2 266 
52;;8809469771399 ;팜스테이 잇츠 리얼 젤 미스트 석류;FARMSTAY IT IS REAL GEL MIST POMEGRANATE;120ml;50; ₩8 000 ; ₩2 266 
53;;8809469771429 ;팜스테이 잇츠 리얼 젤 미스트 콜라겐;FARMSTAY IT IS REAL GEL MIST COLLAGEN;120ml;50; ₩8 000 ; ₩2 266 
54;;8809469771412 ;팜스테이 잇츠 리얼 젤 미스트 에스까르고;FARMSTAY IT IS REAL GEL MIST ESCARGOT;120ml;50; ₩8 000 ; ₩2 266 
55;;8809809800130 ;팜스테이 비저블 디퍼런스 모이스쳐 밀크 스킨;FARMSTAY VISIBLE DIFFERENCE MOISTURE TONER(MILK);350ml;40; ₩10 000 ; ₩2 607 
56;;8809809800147 ;팜스테이 비저블 디퍼런스 모이스쳐 석류 스킨;FARMSTAY VISIBLE DIFFERENCE MOISTURE TONER (POMEGRANATE);350ml;40; ₩10 000 ; ₩2 607 
57;;8809480773143 ;팜스테이 에스까르고 노블레스 인텐시브 클렌징폼;FARMSTAY ESCARGOT NOBLESSE INTENSIVE CLEANSING FOAM;180ml;100; ₩15 000 ; ₩3 113 
58;;8809338560055 ;팜스테이 비저블 디퍼런스 핸드크림 스네일;FARMSTAY VISIBLE DIFFERENCE HAND CREAM SNAIL;100ml;200; ₩3 000 ; ₩902 
59;;8809338560062 ;팜스테이 비저블 디퍼런스 핸드크림 올리브;FARMSTAY VISIBLE DIFFERENCE HAND CREAM OLIVE;100ml;200; ₩3 000 ; ₩902 
60;;8809338560031 ;팜스테이 비저블 디퍼런스 핸드크림 딸기;FARMSTAY VISIBLE DIFFERENCE HAND CREAM STRAWBERRY;100ml;200; ₩3 000 ; ₩902 
61;;8809338560086 ;팜스테이 비저블 디퍼런스 핸드크림 흑진주;FARMSTAY VISIBLE DIFFERENCE HAND CREAM BLACK PEARL;100ml;200; ₩3 000 ; ₩902 
62;;8809338560048 ;팜스테이 비저블 디퍼런스 핸드크림 알로에;FARMSTAY VISIBLE DIFFERENCE HAND CREAM ALOE;100ml;200; ₩3 000 ; ₩902 
63;;8809338560079 ;팜스테이 비저블 디퍼런스 핸드크림 콜라겐;FARMSTAY VISIBLE DIFFERENCE HAND CREAM COLLAGEN;100ml;200; ₩3 000 ; ₩902 
64;;8809469772006 ;팜스테이 씨홀스 워터 풀 크림;FARMSTAY VISIBLE DIFFERENCE SEA HORSE WATER FULL CREAM;50g;50; ₩30 000 ; ₩5 797 
65;;8809809900215 ;팜스테이 비저블 디퍼런스 모이스쳐 스네일 스킨;FARMSTAY VISIBLE DIFFERENCE MOISTURE TONER(SNAIL);350ml;40; ₩10 000 ; ₩2 607 
66;;8809809800161 ;팜스테이 비저블 디퍼런스 모이스쳐 알로에 스킨;FARMSTAY VISIBLE DIFFERENCE MOISTURE TONER(ALOE);350ml;40; ₩10 000 ; ₩2 607 
67;;8809469772778 ;팜스테이 에스까르고 노블레스 인텐시브 앰플;FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE;250ml;40; ₩25 000 ; ₩5 764 
68;;8809469772457 ;팜스테이 스네일 리페어 아이크림;FARMSTAY SNAIL REPAIR EYE CREAM;40g;100; ₩10 000 ; ₩2 145 
69;;8809809801977 ;팜스테이 알로에베라 모이스쳐 수딩젤;FARMSTAY ALOEVERA MOISTURE SOOTHING GEL;200ml;50; ₩5 900 ; ₩1 639 
70;;8809469773690 ;팜스테이 차콜 퓨어 클렌징폼;FARMSTAY CHAR-COAL PURE CLEANSING FOAM;180ml;100; ₩9 000 ; ₩2 398 
71;;8809426954643 ;팜스테이 알로에베라 모이스쳐 수딩 미스트;FARMSTAY ALOEVERA MOISTURE SOOTHING MIST;120ml;100; ₩8 000 ; ₩2 024 
72;;8809809804817 ;팜스테이 알로에베라 퍼펙트 썬크림;FARMSTAY ALOEVERA PERFECT SUN CREAM;70g;100; ₩12 000 ; ₩2 607 
73;;8809809801090 ;팜스테이 모이스쳐 수딩 미스트 콜라겐;FARMSTAY COLLAGEN MOISTURE SOOTHING MIST;120ml;100; ₩8 000 ; ₩2 024 
74;;8809809801076 ;팜스테이 모이스쳐 수딩 미스트 스네일;FARMSTAY SNAIL MOISTURE SOOTHING MIST;120ml;100; ₩8 000 ; ₩2 024 
75;;8809460461138 ;팜스테이 블랙스네일 하이드로겔 아이패치;FARMSTAY BLACK SNAIL HYDROGEL EYE PATCH;90g;100; ₩25 000 ; ₩6 369 
76;;8802221001338 ;팜스테이 콜라겐 워터 풀 모이스트 크림;FARMSTAY COLLAGEN WATER FULL MOIST CREAM;100g;100; ₩35 000 ; ₩7 172 
77;;8800260032153 ;팜스테이 비저블 디퍼런스 마스크 시트 차콜;FARMSTAY VISIBLE DIFFERENCE MASK SHEET CHAR-COAL;1sheet;600; ₩1 000 ; ₩201 
78;;8809469775106 ;팜스테이 블랙 스네일 올인원 크림;FARMSTAY BLACK SNAIL ALL-IN ONE CREAM;100ml;100; ₩32 000 ; ₩5 522 
79;;8802221002168 ;팜스테이 콜라겐 워터 풀 모이스트 토너;FARMSTAY COLLAGEN WATER FULL MOIST TONER;200ml;50; ₩25 000 ; ₩5 313 
80;;8802221002175 ;팜스테이 콜라겐 워터 풀 모이스트 에멀젼;FARMSTAY COLLAGEN WATER FULL MOIST EMULSION;200ml;50; ₩25 000 ; ₩5 313 
81;;8809338560192 ;팜스테이 핑크플라워 핸드크림 2종;FARMSTAY PINK FLOWER BLOOMING HAND CREAM 2SET(WATER LILY, PINK ROSE);"100g
each";80; ₩10 000 ; ₩1 903 
82;;8809338560123 ;팜스테이 핑크플라워 블루밍 핸드크림 체리블러썸;FARMSTAY PINK FLOWER BLOOMING HAND CREAM CHERRY BLOSSOM;100ml;200; ₩5 000 ; ₩968 
83;;8809338560147 ;팜스테이 핑크플라워 블루밍 핸드크림 핑크로터스;FARMSTAY PINK FLOWER BLOOMING HAND CREAM PINK LOTES;100ml;200; ₩5 000 ; ₩968 
84;;8809338560154 ;팜스테이 핑크플라워 블루밍 핸드크림 핑크로즈;FARMSTAY PINK FLOWER BLOOMING HAND CREAM PINK ROSE;100ml;200; ₩5 000 ; ₩968 
85;;8809338560130 ;팜스테이 핑크플라워 블루밍 핸드크림 워터릴리;FARMSTAY PINK FLOWER BLOOMING HAND CREAM WATER LILY;100ml;200; ₩5 000 ; ₩968 
86;;8809469775120 ;팜스테이 오투 프리미엄 아쿠아 클렌징폼;FARMSTAY O2 PREMIUM AQUA FOAM CLEANSING;100ml;200; ₩3 000 ; ₩1 408 
87;;8809469775137 ;팜스테이 그린티씨드 모이스쳐 클렌징폼;FARMSTAY GREEN TEA SEED PREMIUM MOISTURE FOAM CLEANSING;100ml;200; ₩3 000 ; ₩1 408 
88;;8809809801786 ;팜스테이 콜라겐 워터 풀 모이스트 필링젤;FARMSTAY COLLAGEN WATER FULL MOIST PEELING GEL;180ml;100; ₩18 000 ; ₩3 267 
89;;8809338560109 ;팜스테이 레몬 인텐시브 모이스쳐 풋크림;FARMSTAY LEMON INTENSIVE MOISTURE FOOT CREAM;100ml;200; ₩3 000 ; ₩1 034 
90;;8809460461053 ;팜스테이 콜라겐 워터 풀 하이드로겔 아이패치;FARMSTAY COLLAGEN WATER FULL HYDROGEL EYE PATCH;90g;100; ₩25 000 ; ₩6 369 
91;;8809480770876 ;팜스테이 콜라겐 워터 풀 모이스트 세럼;FARMSTAY COLLAGEN WATER FULL MOIST SERUM;250ml;50; ₩25 000 ; ₩5 522 
92;;8809469775434 ;팜스테이 콜라겐 워터 풀 모이스트 아이크림;FARMSTAY COLLAGEN WATER FULL MOIST EYE CREAM;50ml;100; ₩20 000 ; ₩4 092 
93;;8809480770968 ;팜스테이 콜라겐 워터풀 모이스트 딥 클렌징폼;FARMSTAY COLLAGEN WATER FULL MOIST DEEP CLEANSING FOAM;180ml;100; ₩15 000 ; ₩3 267 
94;;8809480770951 ;팜스테이 블랙 스네일 딥 클렌징폼;FARMSTAY BLACK SNAIL DEEP CLEANSING FOAM;180ml;100; ₩15 000 ; ₩3 234 
95;;8809809800116 ;팜스테이 아보카도 프리미엄 포어 크림;FARMSTAY AVOCADO PREMIUM PORE CREAM;100g;100; ₩20 000 ; ₩4 191 
96;;8809674692137 ;팜스테이 아보카도 프리미엄 포어 딥 클렌징폼;FARMSTAY AVOCADO PREMIUM PORE DEEP CLEANSING FOAM;180ml;100; ₩9 000 ; ₩2 398 
97;;8809469775830 ;팜스테이 블랙 스네일 프리미엄 아이크림;FARMSTAY BLACK SNAIL PREMIUM EYE CREAM;50ml;100; ₩20 000 ; ₩4 081 
98;;8809480770975 ;팜스테이 골드 스네일 프리미엄 크림;FARMSTAY GOLD SNAIL PREMIUM CREAM;50ml;50; ₩50 000 ; ₩7 898 
99;;8809469775885 ;팜스테이 닥터 V-8 비타민 클렌징폼;FARMSTAY DR-V8 VITAMIN FOAM CLEANSING;100ml;200; ₩3 000 ; ₩1 408 
100;;8809624720965 ;팜스테이 콜라겐 워터 풀 모이스트 수딩 마스크;FARMSTAY COLLAGEN WATER FULL MOIST SOOTHING MASK;27g;40; ₩20 000 ; ₩5 368 
101;;8809551951418 ;팜스테이 다이아몬드 샤인 임팩트 마스카라;FARMSTAY DIAMOND SHINE IMPACT MASCARA;12g;300; ₩12 000 ; ₩2 508 
102;;8809624723614 ;팜스테이 닥터 V-8 솔루션 크림 콜라겐;FARMSTAY DR-V8 SOLUTION CREAM(COLLAGEN);50g;50; ₩35 000 ; ₩6 787 
103;;8809624723645 ;팜스테이 닥터 V-8 솔루션 크림 히아루론산;FARMSTAY DR-V8 SOLUTION CREAM(HYALURONATE);50g;50; ₩35 000 ; ₩6 787 
104;;8809469776189 ;팜스테이 24K 골드＆펩타이드 퍼펙트 앰플크림;FARMSTAY 24K GOLD & PEPTIDE PERFECT AMPOULE CREAM;80ml;50; ₩38 000 ; ₩8 294 
