Приоритет	Тип	Заголовок	Цена, руб	Категория Авито	Описание	Что входит	Локация	Нужны фото
1	отдельное	Насос НЦВС 63/20 с трубками судовой	500 000	Оборудование для бизнеса / Промышленное	Насос НЦВС 63/20 с трубками В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	Насос НЦВС 63/20 с трубками — 1 шт	Фойе	да
1	отдельное	НЦВ 63/20 или НЦВ 40/30 двиг. АМ52-2 8кВт 2850об/м	500 000	Оборудование для бизнеса / Промышленное	НЦВ 63/20 или НЦВ 40/30 двиг. АМ52-2 8кВт 2850об/м В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	НЦВ 63/20 или НЦВ 40/30 двиг. АМ52-2 8кВт 2850об/м — 1 шт	Фойе	да
1	отдельное	НЦВ 63/20 двиг. ДМ32В2 7,5кВт 2900об/м судовой	500 000	Оборудование для бизнеса / Промышленное	НЦВ 63/20 двиг. ДМ32В2 7,5кВт 2900об/м В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	НЦВ 63/20 двиг. ДМ32В2 7,5кВт 2900об/м — 1 шт	Фойе	да
1	отдельное	НЦВ 25/80 или НЦВС 40/65 двиг.АМ62-2 14кВт	500 000	Оборудование для бизнеса / Промышленное	НЦВ 25/80 или НЦВС 40/65 двиг.АМ62-2 14кВт 2850об/м В наличии 1 шт, Владивосток. Самовывоз или отправка транспортной компанией по России. Есть другое судовое оборудование, пришлем перечень.	НЦВ 25/80 или НЦВС 40/65 двиг.АМ62-2 14кВт 2850об/м — 1 шт	Фойе	да
2	лот	Клапаны судовая, склад Владивосток	750	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: клапаны. | Всего 191 наименований, 2356 единиц. | Цены от 750 до 80 000 руб за единицу. |  | Основные позиции: | - Клапан штуцерный проходной Ду 10 Ру40 (СУНДУК), чертеж 521-01.471-01 — 798 шт, 9 000 руб | - Клапан фланцевый проходной Ду50 Ру 10 + ДУ 50 Ру 25 — 98 шт, 20 000 руб | - Клапан фланцевый проходной Ду50 — 66 шт, 22 500 руб | - Клапан штуцерный проходной Ду 25 (Китай) — 79 шт, 10 000 руб | - Клапан педальный Ду25 Китай, чертеж М528-03.001 — 62 шт, 12 500 руб | - Клапан штуцерный проходной Ду 20 — 100 шт, 7 500 руб | - Клапан фланцевый проходной Ду65 — 25 шт, 27 000 руб | - Клапан штуцерный проходной Ду 20 Ру 100, чертеж 521-01.470-03 — 102 шт, 6 000 руб | - Клапан штуцерный проходной Ду 20 Ру 40, чертеж 522-01.501-02 — 72 шт, 6 000 руб | - Клапан для манометра штущерный сальниковый Ду6Ру100 новый, чертеж 521-02.013 — 95 шт, 4 500 руб | - Клапан штущерный проходной Ду15 — 44 шт, 9 500 руб | - Клапан штуцерный угловой Ду32 Ру100, чертеж 521-01.468-07 — 39 шт, 9 600 руб | - и еще 179 наименований |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	191 наименований, 2356 единиц, на 23 994 150 руб	склад Владивосток	да, общий план и крупные позиции
2	лот	Иллюминаторы судовая, склад Владивосток	20 000	Запчасти и аксессуары / Водный транспорт	Судовое оборудование со склада во Владивостоке: иллюминаторы. | Всего 6 наименований, 104 единиц. | Цены от 20 000 до 90 000 руб за единицу. |  | Основные позиции: | - Иллюминатор круглый в сборе Ф300мм створчатый — 70 шт, 90 000 руб | - иллюминатор б/у д. 300, 350 — 27 шт, 20 000 руб | - Иллюминатор круглый в сборе Ф250мм — 3 шт, 45 000 руб | - Иллюминатор круглый без колец Ф300мм — 2 шт, 45 000 руб | - Иллюминатор квадратный 400*600 — 1 шт, 50 000 руб | - Иллюминатор створч. Ф300мм КИТАЙ — 1 шт, 50 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	6 наименований, 104 единиц, на 7 165 000 руб	склад Владивосток	да, общий план и крупные позиции
2	лот	Светильники и комплектующие судовая, склад	190	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: светильники и комплектующие. | Всего 44 наименований, 4512 единиц. | Цены от 190 до 18 000 руб за единицу. |  | Основные позиции: | - Светильник СС328 220V без амортизаторов (китай) 2-й приход — 1857 шт, 1 533 руб | - Светильник СС328 с амортизаторами (китай) 1-й приход — 967 шт, 1 600 руб | - Светильник СС328 127V без амортизаторов (китай) 2-й приход — 715 шт, 1 533 руб | - Светильник СС-410 б/у — 10 шт, 18 000 руб | - Светильник СС328 (ок. стены) — 76 шт, 2 000 руб | - Светильник СС373 в сборе — 21 шт, 5 000 руб | - Светильник импортный — 80 шт, 1 000 руб | - Резинки для СС328, чертеж 405 — 405 шт, 190 руб | - Светильник СС328 без амортизаторов (китай) 1-й приход — 50 шт, 1 533 руб | - Светильник СС-410(новые) большие, чертеж 2 — 2 шт, 18 000 руб | - Светильник СС-328 решетка, чертеж 38 — 38 шт, 800 руб | - Светильник СС-373 в сборе, чертеж 6 — 6 шт, 4 950 руб | - и еще 32 наименований |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	44 наименований, 4512 единиц, на 6 588 412 руб	склад Владивосток	да, общий план и крупные позиции
2	лот	Клинкеты и задвижки судовая, склад Владивосток	18 000	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: клинкеты и задвижки. | Всего 16 наименований, 148 единиц. | Цены от 18 000 до 75 000 руб за единицу. |  | Основные позиции: | - Задвижка клинкетная Ду100 — 43 шт, 38 000 руб | - Задвижка клинкетная Ду 80 БРОНЗА — 44 шт, 24 000 руб | - Задвижка клинкетная фланцевая Ду80 Ру6 — 18 шт, 32 000 руб | - Задвижка клинкетная Ду65 — 16 шт, 27 000 руб | - Задвижка клинкетная Ду100 — 6 шт, 38 000 руб | - Задвижка клинкетная фланцевая Ду70 Ру6 — 7 шт, 27 000 руб | - Задвижка клинкетная стальная Ду300, чертеж 544-03.067 — 2 шт, 75 000 руб | - Задвижка клинкетная Ду 100 БРОНЗА — 2 шт, 35 000 руб | - Клинкет Ду 100, сталь — 2 шт, 30 000 руб | - Электропривод к задвижке — 1 шт, 50 000 руб | - Задвижка клинкетная Ду80 ( в разборе) — 2 шт, 24 000 руб | - Задвижка клинкетная Ду100 без штока и блинов ( в разборе) — 1 шт, 35 000 руб | - и еще 4 наименований |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	16 наименований, 148 единиц, на 4 611 000 руб	склад Владивосток	да, общий план и крупные позиции
2	лот	Автоматы и контакторы судовая, склад Владивосток	342	Оборудование для бизнеса / Промышленное	Судовое оборудование со склада во Владивостоке: автоматы и контакторы. | Всего 62 наименований, 817 единиц. | Цены от 342 до 21 750 руб за единицу. |  | Основные позиции: | - Автомат.выключ. АК 50 3МГ 10А, чертеж 140 — 140 шт, 4 682 руб | - Автомат.выключ. АК 50 2МГ 10А, чертеж 115 — 115 шт, 4 004 руб | - Автомат.выключ. АК 50 3МГ 16А, чертеж 57 — 57 шт, 4 347 руб | - Автомат.выключ. АК 50 3МГ 5А, чертеж 57 — 57 шт, 4 004 руб | - Автомат.выключ. АК 50 3МГ 20А, чертеж 42 — 42 шт, 4 682 руб | - Автомат.выключ. ТИП А377 2БР 160А 380V, чертеж 22 — 22 шт, 8 500 руб | - КМ 2351-8Д, чертеж 47 — 39 шт, 4 000 руб | - Автомат.выключ. АК 50 3МГ 31,5А, чертеж 31 — 31 шт, 4 347 руб | - Автомат.выключ. ТИП А377 2БР 63А 380V, чертеж 10 — 10 шт, 12 295 руб | - Автомат.выключ. АК 25 2МГ 10А, чертеж 25 — 25 шт, 4 004 руб | - КПМ-121 ОМ, чертеж 4 — 4 шт, 21 750 руб | - КМ 2311-9, чертеж 15 — 20 шт, 3 700 руб | - и еще 50 наименований |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	62 наименований, 817 единиц, на 3 649 762 руб	склад Владивосток	да, общий план и крупные позиции
2	лот	Двери судовая, склад Владивосток	10 000	Запчасти и аксессуары / Водный транспорт	Судовое оборудование со склада во Владивостоке: двери. | Всего 10 наименований, 61 единиц. | Цены от 10 000 до 70 000 руб за единицу. |  | Основные позиции: | - Дверь легкая 1750*650 левая без иллюминатора — 23 шт, 30 000 руб | - Дверь легкая 1600*600 — 10 шт, 50 000 руб | - Дверь легкая 1750*650 левая с иллюминатором — 13 шт, 30 000 руб | - Дверь ВГН 1400*600 КИТАЙ правая — 5 шт, 70 000 руб | - Дверь ВГН 1400*600 КИТАЙ левая — 4 шт, 70 000 руб | - Дверь ВГН 1400*600 КИТАЙ правая — 2 шт, 50 000 руб | - Двери АМГ 1400*600 с иллюминат. б/у правая — 1 шт, 70 000 руб | - Дверь ВГН 1300*500 правая — 1 шт, 65 000 руб | - Дверь ВГН 1400*600 КИТАЙ левая — 1 шт, 50 000 руб | - Дверь ВГН 1400*600 б/у левая — 1 шт, 10 000 руб |  | Продаем поштучно и лотом, на лот скидка. | Пришлем полный перечень с ценами и фото по запросу. | Самовывоз во Владивостоке или отправка транспортной компанией.	10 наименований, 61 единиц, на 2 505 000 руб	склад Владивосток	да, общий план и крупные позиции
