Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 3	Прочее	Такелаж и корпусное	ЭЛЕКТРИКА		Вентилятор РСС 2/4	1	1	1		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		В-1	1	1	1		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		ГПВ 3-60	1	1	1		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		ГПВ 2-60	1	1	1		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		ГПП 3-10	1	1	1		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		ГПП 2-10	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Двигатели и ЗИП	ЭЛЕКТРИКА		Данфас TF-2 -40/+10С R12	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	1ЭЦНУ 16/40	Манжета для Насос 1ЭЦНУ 16/40	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 100/30	Кольцо для Насоса НЦВ 100/30 у-100х95-1	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 100/30	Кольцо для Насоса НЦВ 100/30 у-170х0-1	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 100/30	Шайба стопорная для Насос НЦВ 100/30	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 40/80	Колесо раб.Насос НЦВ 40/80	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ160/80	Колесо раб. Насос НЦВ 160/80	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Двигатели и ЗИП	ЗИП	НЦВ 40/20	Кольцо резин. Ф90х3,6	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Двигатели и ЗИП	ЗИП	НЦВ 40/20	Кольцо резин. Ф60х3,0	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Двигатели и ЗИП	ЗИП	НЦВ 40/20	Кольцо резин. Ф45х4,0	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Двигатели и ЗИП	ЗИП	НЦВ 40/20	Кольцо резин. Ф30х3,0	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Двигатели и ЗИП	ЗИП	НЦВ 40/20	Кольцо резин. Ф28х3,0	1	1	1		0	не указано	комплект			0
Склад 3	Насосное и механическое	Двигатели и ЗИП	ЗИП	НЦВ 40/20	Кольцо резин. Ф25х3,6	1	1	1		0	не указано	комплект			0
Склад электрики	Не разнесено				Посуда к плите ПКЭ-50 (комплект -4шт)		1	1			не указано	комплект			0
Склад электрики	Электрика	Реле, датчики, приборы			Термометр ТКП-60/3М		1	1			не указано	комплект			0
Склад электрики	Электрика	Реле, датчики, приборы	ЗИП	Пилстик 6ЧН40/46	Головка поршня		1	1			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Клапан выпускной 602-062-001		1	1			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Клапан выпускной 602-062-001-01		1	1			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Клапан пусковой главный		1	1			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Опора турбины в сборе		1	1			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Подшипник на турбину (к-т 2шт)		1	1			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Седло впускного клапана		1	1			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Тарелка пружины клапана		1	1			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Крышка цилиндра 6ЧН40/46 (голая)		1	1			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	VD26/20	Фильтр дидероновый VD26/20		1	1			новый	комплект			0
Склад электрики	Не разнесено		ЗИП	VD26/20	Тросик VD26/20		1	1			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	VD26/20	Втулка VD26/20		1	1			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	VD26/20	Плунжерная пара VD26/20		1	1			не указано	комплект			0
Склад электрики	Насосное и механическое	Насосы	ЗИП	3D6	Насос забортной воды 3D6 черт. СБ 584-01-82		1	1			не указано	комплект			0
Склад электрики	Насосное и механическое	Насосы	ЗИП	4Ч 8,5/11	Насос ТНВД НТ5П4		1	1			не указано	комплект			0
Склад электрики	Насосное и механическое	Насосы	ЗИП	4Ч 8,5/11	Насос пресной воды 4Ч 8,5/11 (без крышки)		1	1			не указано	не комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	4Ч10,5/13	Крышка цилиндра 4Ч 10,5/13 (в сборе)		1	1			не указано	комплект			0
Склад электрики	Насосное и механическое	Компрессоры и приводы	ЗИП	Траловая лебедка	Сухарь ваероукладчик на траловую лебедку		1	1			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Сепараторы ЗИП	Ремкомплект СЦ-1,5 ( не полный комплект)		1	1			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Сепараторы ЗИП	Ключ на СЦ-3		1	1			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Сепараторы ЗИП	Ключ на СЦ-1,5		1	1			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Сепараторы ЗИП	Фреон (бутылочка)		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Насосы		Насосы, сепаратор	Насос НЦВП 315/10 новый		1	1			новый	комплект			0
ЗИП и насосы	Насосное и механическое	Насосы		Насосы, сепаратор	Насос НЦВС 40/20, кап. ремонт		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Насосы		Насосы, сепаратор	Насос НЦВ 40/65 б/у		1	1			б/у	комплект			0
ЗИП и насосы	Насосное и механическое	Насосы		Насосы, сепаратор	Насос НЦВС 40/20 б/у		1	1			б/у	комплект			0
ЗИП и насосы	Насосное и механическое	Сепараторы и барабаны		Насосы, сепаратор	Сепаратор СЦ-3		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Сепараторы и барабаны		Насосы, сепаратор	Сепаратор СЦ-3 ( не комплект)		1	1			не указано	не комплект			0
ЗИП и насосы	Насосное и механическое	Сепараторы и барабаны		Насосы, сепаратор	Сепаратор СЦ -1,5		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Компрессоры и приводы		Насосы, сепаратор	Брашпиль Б3		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Компрессоры и приводы		Насосы, сепаратор	Брашпиль Б4		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Компрессоры и приводы		Насосы, сепаратор	Кран-балка		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Двигатели и ЗИП		Насосы, сепаратор	Блок цилиндров NVD48A2U		1	1			не указано	комплект			0
ЗИП и насосы	Прочее	Такелаж и корпусное		Насосы, сепаратор	Трал ЛЭТРС -2		1	1			не указано	комплект			0
ЗИП и насосы	Прочее	Такелаж и корпусное		Насосы, сепаратор	Вентилятор		1	1			не указано	комплект			0
ЗИП и насосы	Прочее	Такелаж и корпусное		Насосы, сепаратор	Кранец курский б/у		1	1			б/у	комплект			0
ЗИП и насосы	Насосное и механическое	Двигатели и ЗИП		Насосы, сепаратор	Коленвал 18/22		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Насосы		Насосы, сепаратор	Насос ЭСН-11А пост. 175/320В, 9,6/19,5кВт, 2400/3750 об/м		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Компрессоры и приводы		Насосы, сепаратор	Компрессор 2ОК1 синий		1	1			не указано	комплект			0
ЗИП и насосы	Арматура	Клинкеты и задвижки		Насосы, сепаратор	Электропривод к задвижке		1	1			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Двигатели и ЗИП		Насосы, сепаратор	Ротор		1	1			не указано	комплект			0
