Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	VD26/20	Кольцо компресс. d=5мм VD26/20		12	12			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	VD26/20	Клапан газораспределения		12	12			не указано	комплект			0
ЗИП и насосы	Не разнесено			6 NVD26 А3	Мотылевый болт ,572-08006		12	12			не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Ротта муфтовая Ду65Ру10	557-3М123	11	11		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Богданова рукавная Ду65Ру10		11	11		0	новый	комплект			0
Склад электрики	Электрика	Светильники и комплектующие			Светильник СС-56		11	11			не указано	комплект			0
Склад электрики	Арматура	Клинкеты и задвижки			Блины к клинкету Ду100		11	11			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Винт толкателя с резьбой		11	11			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Втулка 602-061-212		11	11			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Втулка подвода топлива		11	11			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Ударник длинный		11	11			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Шарнир короткий 602-059-103		11	11			не указано	комплект			0
Склад 3	Арматура	Клапаны	Клапан невозв-запорн.с присоед.под дюрит проходной		Клапан невозв-запорн.с присоед.под дюрит прох. Ду 50	522-03.122-04	10	10		0	не указано	комплект			0
Склад электрики	Насосное и механическое	Насосы	ЗИП	ЦВС 10/40	РТИ ЦВС 10/40		10	10			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Сепараторы ЗИП	Ремкомплект СЦ-3		10	10			не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан редукционный проходной		Клапан редукционный штуц.проход.односедельный Ду20Ру400 у входа	525-03.044	9	9		0	не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Клапан нагнетательный ТНВД		9	9			не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230		Клапан пусковой Ду32Ру125	587-03,082	8	8		0	не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Стакан переборочный		Стакан переборочный Ду20Ру100	554-03.905-06	8	8		0	не указано	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая Ду80		8	8		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	1ЭЦНУ 16/40	Колесо раб.Насос 1ЭЦНУ 16/40	8	8	8		0	не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо турбины		8	8			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо поршнев. Мо		8	8			не указано	комплект			0
Склад электрики	Электрика	Реле, датчики, приборы	ЗИП	VD26/20	Палец поршня VD26/20		8	8			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	VD26/20	Кольцо компресс. d=4мм VD26/20		8	8			не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан предохранительный штуцерный сигнальный Ду6 Ру100-230		Клапан пусковой Ду20Ру125		7	7		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Богданова муфтовая Ду65Ру10	557-35.997-01	7	7		0	новый	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Шторца муфтовая Ду80Ру10		7	7		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		ВК-300	7	7	7		0	не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Кольцо омеднен.		7	7			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Распылитель 10*0,6*140		7	7			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	VD26/20	Седло VD26/20		7	7			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	VD26/20	Кольцо маслосъемное без пружины VD26/20		7	7			не указано	не комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	VD26/20	Клапан газораспредел. VD26/20 б/у		7	7			б/у	комплект			0
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 290*460	546-03.094	6	6		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		ВК-16	6	6	6		0	не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Пружина плунжера		6	6			не указано	комплект			0
Склад электрики	Арматура	Клапаны	ЗИП	Пилстик 6ЧН40/46	Пружина клапана распределения наружная		6	6			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Шарнир длинный 602-061-222		6	6			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	VD26/20	Шатун VD26/20		6	6			не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапана фланцевые проходные титановые		Клапан фланцевый проходной титановые Ду50Ру10	521-182.110	5	5		0	новый	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Стакан переборочный		Стакан переборочный Ду10Ру100	554-35.265	5	5		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Шторца цапковая Ду50Ру16	ВН557-78	5	5		0	не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Сепараторы ЗИП	Ремкомплект СЦ-1,5		5	5			не указано	комплект			0
Склад 3	Арматура	Клапаны	Клапан с электромагнитным ручным управлением		Клапан электромагнитный б/у		4	4		0	б/у	комплект			0
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 120*280	546-03.074-01	4	4		0	не указано	комплект			0
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 290*730	546-03.096	4	4		0	не указано	комплект			0
Склад 3	Электрика	Реле, датчики, приборы	ЭЛЕКТРИКА		Вилка к ПКЭ-300	4	4	4		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 100/30	Втулка насоса НЦВ 100/30	4	4	4		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 40/20	Кольцо уплотнительное верхнее Насос НЦВ 40/20	4	4	4		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 40/20	Кольцо уплотнительное нижнее Насос НЦВ 40/20	4	4	4		0	не указано	комплект			0
Склад 3	Насосное и механическое	Насосы	ЗИП	НЦВ 40/20	Кольцо для Насос НЦВ 40/20 165-170-36-16	4	4	4		0	не указано	комплект			0
Склад электрики	Электрика	Светильники и комплектующие			Светильник СС901А-I (корпус)		4	4			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	НЦВ 100/30	РТИ НЦВ 100/30		4	4			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Ось коромысла 602-061-221		4	4			не указано	комплект			0
Склад электрики	Насосное и механическое	Двигатели и ЗИП	ЗИП	Пилстик 6ЧН40/46	Плунжерная пара		4	4			не указано	комплект			0
Склад электрики	Не разнесено		ЗИП	Пилстик 6ЧН40/46	Ролик толкателя		4	4			не указано	комплект			0
ЗИП и насосы	Насосное и механическое	Насосы		Насосы, сепаратор	Насос НЦВ 40/20 б/у		4	4			б/у	комплект			0
ЗИП и насосы	Прочее	Такелаж и корпусное		Насосы, сепаратор	Весы для ЛБАШ		4	4			не указано	комплект			0
Склад 2	Арматура	Клапаны	Клапан штуцерный проходной бессальниковый с герметизацией		Клапан штуцерный проходной бессальниковый Ду15/1	521-35.2608-01	3	3		0	не указано	комплект			0
Склад 2	Трубопроводная обвязка	Фланцы, стаканы, гайки	Стакан переборочный		Стакан переборочный Ду20Ру100	554-03.909-03	3	3		0	не указано	комплект			0
Склад 2	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая Ду50		3	3		0	не указано	комплект			0
Склад 3	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая Ду80		3	3		0	не указано	комплект			0
