Локация	Группа	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 3	ЗИП	Кольцо для Насос 1ЭЦНУ 16/40 258.5-33-1175	2	2	2		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо уплотнительное верхнее Насос НЦВ 100/30	2	2	2		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо уплотнительное нижнее Насос НЦВ 100/30	2	2	2		0	не указано	комплект			0
Склад 3	ЗИП	Шайба стопорная для Насос НЦВ 40/20	2	2	2		0	не указано	комплект			0
Склад 2	Клапана фланцевые проходные титановые	Клапан фланцевый проходной титановые Ду100Ру10	521-182.116	1	1		0	новый	комплект			0
Склад 2	Клапан самозакрывающий проходной муфтовый	(Кнопка)Клапан самозакрывающий проходной муфтовый Ду15Ру3	528-35.176	1	1		0	не указано	комплект			0
Склад 2	Клапан дроссельный угловой штуцерный	Клапан дроссельный угловой штуцерный	525-35.577	1	1		0	не указано	комплект			0
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду10 Ру100	521-01.493-02	1	1		0	не указано	комплект			0
Склад 2	Клапан штуцерный угловой Ду10 Ру100	Клапан штуцерный угловой Ду НЕРЖ	521-03.472-01	1	1		0	не указано	комплект			0
Склад 2	Клапан с электромагнитным ручным управлением	Клапан с электромагнитным ручным управлением Ду20/10 перем. 220В	587-35.8490-04	1	1		0	не указано	комплект			0
Склад 2	Клапан с электромагнитным ручным управлением	Клапан	587-182.126	1	1		0	не указано	комплект			0
Склад 2	Клапан паровой	Клапан паровой Ду65Ру10	581-03.034	1	1		0	не указано	комплект			0
Склад 2	Клапан фланц. концевой пожарный угловой Ду50 Ру25	Клапан фланц. концевой пожарный угловой Ду50 Ру25	595-3М-48	1	1		0	не указано	комплект			0
Склад 2	Клапан фланц. концевой пожарный угловой Ду50 Ру25	Клапан фланц. концевой пожарный угловой Ду50 Ру25	595-35-021	1	1		0	не указано	комплект			0
Склад 2	Клапан фланц. концевой пожарный угловой Ду50 Ру25	Клапан фланц. концевой пожарный угловой Ду32 Ру10	595-03-006	1	1		0	не указано	комплект			0
Склад 2	Коробка 3-х клапановая фланцевая невозврат.	Коробка 3-х клап.фланцевая Ду100		1	1		0	не указано	комплект			0
Склад 2	Кательная арматура	Кланан Рр18-2 45/25	2619802505	1	1		0	не указано	комплект			0
Склад 3	Коробка 3-х клапановая фланцевая невозврат.	Коробка 3-х клап.фланцевая запорная Ду50 Ру6		1	1		0	не указано	комплект			0
Склад 3	Гайка пожарная	Гайка Шторца рукавная Ду80Ру10	ВН557-92	1	1		0	не указано	комплект			0
Склад 3	Крышка	Крышка с коменсом и жалюзи 190*390	546-03.076	1	1		0	не указано	комплект			0
Склад 3	Крышка	Крышка с коменсом и жалюзи 240*420	546-03.092	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Автомат АЕ 204 М-400-00У3 25А	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Автомат (расцепитель) АМ 8Н-5 375А	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Автоматический выключатель LG 10А	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Автоматический выключатель LG 20А	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Автоматический выключатель MUF 10-5	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. ТИП А377 160А 380V(без крышки)	1	1	1		0	не указано	не комплект			0
Склад 3	ЭЛЕКТРИКА	Автомат.выключ. ТИП А377 5БР 100А 380V	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Вентилятор РСС 2/4	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	В-1	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	ГПВ 3-60	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	ГПВ 2-60	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	ГПП 3-10	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	ГПП 2-10	1	1	1		0	не указано	комплект			0
Склад 3	ЭЛЕКТРИКА	Данфас TF-2 -40/+10С R12	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Манжета для Насос 1ЭЦНУ 16/40	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо для Насоса НЦВ 100/30 у-100х95-1	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо для Насоса НЦВ 100/30 у-170х0-1	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Шайба стопорная для Насос НЦВ 100/30	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Колесо раб.Насос НЦВ 40/80	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Колесо раб. Насос НЦВ 160/80	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо резин. Ф90х3,6	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо резин. Ф60х3,0	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо резин. Ф45х4,0	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо резин. Ф30х3,0	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо резин. Ф28х3,0	1	1	1		0	не указано	комплект			0
Склад 3	ЗИП	Кольцо резин. Ф25х3,6	1	1	1		0	не указано	комплект			0
