													
	Остатки												
Артикул WB	Артикул WB					ОстатокВБ	Остаток ВБ Крона	Распределение по складам					
Крона	Коротич	Наименование	Ед.изм.	себестоимость	Остаток	Коротич		Коледино	Краснодар	Казань	Шушары	Екатеринбург	Итого
	198143251	MANYO - Bifida Biome Ampoule Lotion [300ml] / Укрепляющий лосьон с бифидобактериями	шт	779.46	1 219	0		45	40	25	20	20	150
	198156698	MANYO - Pure Cleansing Oil [200ml] / Гидрофильное масло для глубокого очищения	шт	904.18	480	50		80	55	20	25	20	200
	868575374	MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml] / Гель для умывания с бифидобактериями	шт	784.3	945	176		55	65	20	20	20	180
	868700077	MANYO BIFIDA INFUSION SHOT AMPOULE 1DX [50ml] / Сыворотка с микроиглами и пробиотиками	шт	1056.56	861	103		65	25	20	20	20	150
	Косметика/PETITFEE/PETITFEE-EYEPATCH												
	179611231	PETITFEE - Collagen & CoQ10 Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с коллагеном и коэнзимом Q10	шт	408.15	1 188	59		65	25	20	20	20	150
	180988755	PETITFEE - Bera Glucan Deep Firming Eye Patch [60ea] / Тканевые патчи для век увлажняющие	шт	515.89	714	103		90	20	30	20	20	180
	179611278	PETITFEE - Artichoke Soothing Hydrogel Eye Patch [60ea] / Смягчающие гидрогелевые патчи для глаз с экстрактом артишока	шт	440.39	360	113		80	25	30	25	20	180
	180992464	PETITFEE - Aura Quartz Hydrogel Eye Patch [60ea]	шт	626.77	112	38		65	25	20	20	20	150
	179611304	PETITFEE - Cacao Energizing Hydrogel Eye Patch [60ea] / Тонизирующие гидрогелевые патчи для глаз с экстрактом какао	шт	440.39	797	169		50	35	25	20	20	150
	179611318	PETITFEE - Chamomile Lightening Hydrogel Eye Patch [60ea] / Успокаивающие гидрогелевые патчи для глаз с экстрактом ромашки	шт	440.39	374	110		85	30	25	20	20	180
	180711041	PETITFEE - Gold & EGF Hydrogel Eye & Spot Patch [60ea]/ гидрогелевые патчи с золотом и EGF	шт	408.15	72	75		50	35	25	20	20	150
	180987509	PETITFEE - Pink Vita Brightening Eye Patch [60ea] / Тканевые патчи для век увлажняющие	шт	515.89	378	30		65	25	20	20	20	150
	151175880	PETITFEE - Black Pearl & Gold Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с черным жемчугом и золотом	шт	410.93	1 297	113		100	30	25	25	20	200
	151175877	PETITFEE - Agave Cooling Hydrogel Eye Patch [60ea] / Охлаждающие гидрогелевые патчи для глаз с экстрактом агавы	шт	440.39	1 249	131		100	30	30	20	20	200
	179611207	PETITFEE - Gold & Snail Hydrogel Eye Patch [60ea] / Гидрогелевые патчи для глаз с золотом и улиткой	шт	440.39	1 038	6		90	25	35	30	20	200
	180711104	PETITFEE - Gold Hydrogel Eye Patch [60ea] / гидрогелевые патчи для глаз с золотом	шт	440.39	842	34		95	20	25	20	20	180
													
	Косметика/PETITFEE/PETITFEE-FACEMASK				0	0							
	226115478	PETITFEE - Black Pearl & Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с черным жемчугом и золотом	упак.	485.22	750	0		85	30	25	20	20	180
	226117746	PETITFEE - Chamomile Lightening Hydrogel Mask Pack [5pcs] / Успокаивающая гидрогелевая маска для лица с экстрактом ромашки	упак.	508.03	159	39		85	30	20	25	20	180
	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs] / Охлаждающая гидрогелевая маска для лица с экстрактом агавы	упак.	508.03	1 230	38		95	30	30	25	20	200
	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом	упак.	537.59	840	0		90	30	20	20	20	180
	226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs] / Тонизирующая гидрогелевая маска для лица с экстрактом какао	упак.	508.03	750	0		60	25	25	20	20	150
	226114831	PETITFEE - Artichoke Soothing Hydrogel Face Mask [5pcs] / Смягчающая гидрогелевая маска для лица с экстрактом артишока	упак.	508.03	750	0		50	35	25	20	20	150
	226115141	PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs] / Гидрогелевая маска для лица с золотом и экстрактом улитки	упак.	485.22	673	68		80	25	30	25	20	180
													
	Косметика/ROUND LAB												
1126531855	437154709	ROUND LAB 1025 DOKDO CLEANSER_150ml - Увлажняющая пенка для умывания лица	шт	490.98	18 525	548		65	55	40	20	20	200
	437190353	ROUND LAB BIRCH JUICE MOISTURIZING CREAM_80ml -Увлажняющий крем с березовым соком	шт	1 158,54	820	216		55	30	25	20	20	150
	437242640	ROUND LAB MUGWORT CALMING CLEANSER_150ml - Очищающая пенка для умывания лица от прыщей и акне	шт	543.06	2 975	105		65	60	30	25	20	200
	437254254	ROUND LAB SOYBEAN PANTHENOL CREAM_80ml - Крем для лица с чёрной соей и пантенолом успокаивающий	шт	1 231,09	330	142		65	40	25	30	20	180
	437776835	ROUND LAB PINE CALMING CICA AMPOULE_30ml - Сыворотка для жирной кожи лица увлажняющая с центеллой	шт	868.9	80	104		45	45	20	20	20	150
		1025 DOKDO TONER_200ml / Отшелушивающий тоник с морской водой	шт	0	1200								
													
	Косметика/CELIMAX												
1126664908	868516027	Celimax Dual Barrier Creamy Toner, тонер 150 мл			5 400	569		70	60	30	20	20	200
1126568337	551387355	CELIMAX THE VITA-A RETINAL SHOT TIGHTENING BOOSTER [15ml]/Подтягивающий бустер-крем с ретинолом для лица	шт		10 601	595		60	30	20	20	20	150
1126645805	551465879	CELIMAX THE VITA-A RETINOL SHOT TIGHTENING SERUM [30ml]/Сыворотка с ретинолом и микроиглами для лица	шт		5 586	492		70	55	30	25	20	200
	551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]/Крем для выравнивания тона и рельефа кожи лица	шт		102	197		50	35	25	20	20	150
	551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]/Крем для восстановления защитного барьера кожи лица	шт		501	168		50	35	25	20	20	150
	551607905	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads]/Тонер-пэды от воспалений	шт		2 119	0		75	55	30	20	20	200
	551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]/Восстанавливающая сыворотка с экстрактом нони для лица	шт		93	155		50	35	25	20	20	150
	551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]/Тонер-пэды для выравнивания тона и рельефа кожи	шт		2 010	0		70	60	30	20	20	200
	551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]/Сыворотка для выравнивания тона и рельефа кожи лица	шт		124	117		50	35	25	20	20	150
	551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]/Восстанавливающий тонер с экстрактом нони	шт		194	66		50	35	25	20	20	150
	551600265	CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD_10EA [30ml]/успокаивающие тонер-пэды	шт		2 000	0		50	35	25	20	20	150
													
	Косметика/VT												
		VT PDRN ESSENCE 100 / Укрепляющая бустер-эссенция с ПДРН			1260	0							
		VT REEDLE SHOT 100 / Бустер-сыворотка с микроиглами			768	0							
